,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45,Light46,Light47,Light48,Light49,Light50,Light51,Light52,Light53,Light54,Light55,Light56,Light57,Light58,Light59,Light60,Light61,Light62,Light63,Light64,Light65,Light66,Light67,Light68,Light69,Light70,Light71,Light72,Light73,Light74,Light75,Light76,Light77,Light78,Light79,Light80
Sensor1,0.0,0.011217397191288472,0.09336293901831884,0.18533093926779234,0.011217397191288472,0.0,0.0,0.0,0.0,0.014178367134461497,0.27803995442792123,0.2694797441159588,0.014178367134461497,0.0,0.0,0.0,0.0,0.004910366138395,0.030144869642469534,0.03327376661791501,0.004910366138395,0.0,0.0,0.0,0.0,0.0,0.0014266244899410483,0.0030244639793364993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.0,0.011217397191288472,0.09336293901831884,0.09336293901831884,0.011217397191288472,0.0,0.0,0.0,0.0,0.014178367134461497,0.27803995442792123,0.27803995442792123,0.014178367134461497,0.0,0.0,0.0,0.0,0.004910366138395,0.030144869642469534,0.030144869642469534,0.004910366138395,0.0,0.0,0.0,0.0,0.0,0.0014266244899410483,0.0014266244899410483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0,0.0,0.011217397191288472,0.18533093926779234,0.09336293901831884,0.011217397191288472,0.0,0.0,0.0,0.0,0.014178367134461497,0.2694797441159588,0.27803995442792123,0.014178367134461497,0.0,0.0,0.0,0.0,0.004910366138395,0.03327376661791501,0.030144869642469534,0.004910366138395,0.0,0.0,0.0,0.0,0.0,0.0030244639793364993,0.0014266244899410483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.0,0.004507368847524756,0.026469652986809117,0.029280782392512167,0.004507368847524756,0.0,0.0,0.0,0.0,0.01386342890165834,0.26211310512927344,0.2577921401027394,0.01386342890165834,0.0,0.0,0.0,0.0,0.011864198284325271,0.17431660166936933,0.21432201655894362,0.011864198284325271,0.0,0.0,0.0,0.0,0.002959815697060253,0.010959580754218753,0.011864198284325271,0.002959815697060253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.0,0.004507368847524756,0.026469652986809117,0.026469652986809117,0.004507368847524756,0.0,0.0,0.0,0.0,0.01386342890165834,0.26211310512927344,0.26211310512927344,0.01386342890165834,0.0,0.0,0.0,0.0,0.011864198284325271,0.17431660166936933,0.17431660166936933,0.011864198284325271,0.0,0.0,0.0,0.0,0.002959815697060253,0.010959580754218753,0.010959580754218753,0.002959815697060253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.0,0.004507368847524756,0.029280782392512167,0.026469652986809117,0.004507368847524756,0.0,0.0,0.0,0.0,0.01386342890165834,0.2577921401027394,0.26211310512927344,0.01386342890165834,0.0,0.0,0.0,0.0,0.011864198284325271,0.21432201655894362,0.17431660166936933,0.011864198284325271,0.0,0.0,0.0,0.0,0.002959815697060253,0.011864198284325271,0.010959580754218753,0.002959815697060253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0011145865076239569,0.005019116148004572,0.005357812533215711,0.0011145865076239569,0.0,0.0,0.0,0.0,0.009806704221346246,0.07472335056960565,0.08545424670271691,0.009806704221346246,0.0,0.0,0.0,0.0,0.014546206331976539,0.29767700110204054,0.28445527857028996,0.014546206331976539,0.0,0.0,0.0,0.0,0.005716273372821034,0.0378953847631498,0.065129246174862,0.005716273372821034,0.0,0.0,0.0,0.0,0.0,0.003836077685278725,0.004108376532379334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor8,0.0,0.0,0.0011145865076239569,0.005019116148004572,0.005019116148004572,0.0011145865076239569,0.0,0.0,0.0,0.0,0.009806704221346246,0.07472335056960565,0.07472335056960565,0.009806704221346246,0.0,0.0,0.0,0.0,0.014546206331976539,0.29767700110204054,0.29767700110204054,0.014546206331976539,0.0,0.0,0.0,0.0,0.005716273372821034,0.0378953847631498,0.0378953847631498,0.005716273372821034,0.0,0.0,0.0,0.0,0.0,0.003836077685278725,0.003836077685278725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor9,0.0,0.0,0.0,0.0011145865076239569,0.005357812533215711,0.005019116148004572,0.0011145865076239569,0.0,0.0,0.0,0.0,0.009806704221346246,0.08545424670271691,0.07472335056960565,0.009806704221346246,0.0,0.0,0.0,0.0,0.014546206331976539,0.28445527857028996,0.29767700110204054,0.014546206331976539,0.0,0.0,0.0,0.0,0.005716273372821034,0.065129246174862,0.0378953847631498,0.005716273372821034,0.0,0.0,0.0,0.0,0.0,0.004108376532379334,0.003836077685278725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor10,0.0,0.0011145865076239569,0.005019116148004572,0.005357812533215711,0.0011145865076239569,0.0,0.0,0.0,0.0,0.009806704221346246,0.07472335056960565,0.08545424670271691,0.009806704221346246,0.0,0.0,0.0,0.0,0.014546206331976539,0.29767700110204054,0.28445527857028996,0.014546206331976539,0.0,0.0,0.0,0.0,0.005716273372821034,0.0378953847631498,0.065129246174862,0.005716273372821034,0.0,0.0,0.0,0.0,0.0,0.003836077685278725,0.004108376532379334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
