,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45
Sensor1,0.2396241309737938,0.09518888307363725,0.015451830467377829,0.0038156460041390413,0.0012399442727906167,0.0,0.0,0.0,0.0,0.13493099889743912,0.0648901305181836,0.013150925918123897,0.0035095042495348026,0.0011819137684768242,0.0,0.0,0.0,0.0,0.0209791774193239,0.01473493446330838,0.006314334947658511,0.0022409883490303773,0.0,0.0,0.0,0.0,0.0,0.004777374001291702,0.004077260881421054,0.0023494287523580432,0.001166087358306812,0.0,0.0,0.0,0.0,0.0,0.001473173594299126,0.0013480418994608523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.09518888307363725,0.2396241309737938,0.051533693720069634,0.009344021072468737,0.002565532445650472,0.0,0.0,0.0,0.0,0.0648901305181836,0.13493099889743912,0.039511718531719316,0.008721210320119896,0.0023950233406876916,0.0,0.0,0.0,0.0,0.01473493446330838,0.0209791774193239,0.01133729457488099,0.004465468890184443,0.0016425442206181762,0.0,0.0,0.0,0.0,0.004077260881421054,0.004777374001291702,0.0034288005477294426,0.0018906715820030272,0.0,0.0,0.0,0.0,0.0,0.0013480418994608523,0.001473173594299126,0.001206269896019912,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.028751498710883065,0.17013068890555497,0.17013068890555497,0.028751498710883065,0.006120301357348279,0.001782101745530198,0.0,0.0,0.0,0.022942997915279966,0.10269209123421522,0.10269209123421522,0.022942997915279966,0.005506703236123705,0.001682635911462105,0.0,0.0,0.0,0.008884000987740946,0.018729049794683813,0.018729049794683813,0.008884000987740946,0.003098010691028285,0.001189949146001036,0.0,0.0,0.0,0.00287278113415692,0.004525379403936468,0.004525379403936468,0.00287278113415692,0.0015071844502781242,0.0,0.0,0.0,0.0,0.0010845131395885279,0.0014295907127928127,0.0014295907127928127,0.0010845131395885279,0.0,0.0,0.0,0.0,0.0
Sensor4,0.009344021072468737,0.051533693720069634,0.2396241309737938,0.09518888307363725,0.015451830467377829,0.0038156460041390413,0.0012399442727906167,0.0,0.0,0.008721210320119896,0.039511718531719316,0.13493099889743912,0.0648901305181836,0.013150925918123897,0.0035095042495348026,0.0011819137684768242,0.0,0.0,0.004465468890184443,0.01133729457488099,0.0209791774193239,0.01473493446330838,0.006314334947658511,0.0022409883490303773,0.0,0.0,0.0,0.0018906715820030272,0.0034288005477294426,0.004777374001291702,0.004077260881421054,0.0023494287523580432,0.001166087358306812,0.0,0.0,0.0,0.0,0.001206269896019912,0.001473173594299126,0.0013480418994608523,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0038156460041390413,0.015451830467377829,0.09518888307363725,0.2396241309737938,0.051533693720069634,0.009344021072468737,0.002565532445650472,0.0,0.0,0.0035095042495348026,0.013150925918123897,0.0648901305181836,0.13493099889743912,0.039511718531719316,0.008721210320119896,0.0023950233406876916,0.0,0.0,0.0022409883490303773,0.006314334947658511,0.01473493446330838,0.0209791774193239,0.01133729457488099,0.004465468890184443,0.0016425442206181762,0.0,0.0,0.001166087358306812,0.0023494287523580432,0.004077260881421054,0.004777374001291702,0.0034288005477294426,0.0018906715820030272,0.0,0.0,0.0,0.0,0.0,0.0013480418994608523,0.001473173594299126,0.001206269896019912,0.0,0.0,0.0,0.0
Sensor6,0.13493099889743912,0.0648901305181836,0.013150925918123897,0.0035095042495348026,0.0011819137684768242,0.0,0.0,0.0,0.0,0.2396241309737938,0.09518888307363725,0.015451830467377829,0.0038156460041390413,0.0012399442727906167,0.0,0.0,0.0,0.0,0.04283614541558405,0.02779508082010448,0.009051357993033263,0.0027549534655139964,0.0010240230848171828,0.0,0.0,0.0,0.0,0.00825862985674719,0.006730887007660078,0.0033894902182183386,0.001542388953957608,0.0,0.0,0.0,0.0,0.0,0.002220204050859904,0.001991841962400592,0.001357847679952021,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0648901305181836,0.13493099889743912,0.039511718531719316,0.008721210320119896,0.0023950233406876916,0.0,0.0,0.0,0.0,0.09518888307363725,0.2396241309737938,0.051533693720069634,0.009344021072468737,0.002565532445650472,0.0,0.0,0.0,0.0,0.02779508082010448,0.04283614541558405,0.01925647887941998,0.0060265944273799514,0.001957233057019243,0.0,0.0,0.0,0.0,0.006730887007660078,0.00825862985674719,0.005588603549402428,0.002617605488871129,0.0011582941230171527,0.0,0.0,0.0,0.0,0.001991841962400592,0.002220204050859904,0.001797029403738489,0.0011204852378356891,0.0,0.0,0.0,0.0,0.0
Sensor8,0.022942997915279966,0.10269209123421522,0.10269209123421522,0.022942997915279966,0.005506703236123705,0.001682635911462105,0.0,0.0,0.0,0.028751498710883065,0.17013068890555497,0.17013068890555497,0.028751498710883065,0.006120301357348279,0.001782101745530198,0.0,0.0,0.0,0.01258963902539919,0.03656278901155301,0.03656278901155301,0.01258963902539919,0.004077260881421054,0.0014189977036833832,0.0,0.0,0.0,0.004465468890184443,0.007696609503942872,0.007696609503942872,0.004465468890184443,0.0020094922448929214,0.0,0.0,0.0,0.0,0.0015788436644253714,0.0021398970874104196,0.0021398970874104196,0.0015788436644253714,0.0,0.0,0.0,0.0,0.0
Sensor9,0.008721210320119896,0.039511718531719316,0.13493099889743912,0.0648901305181836,0.013150925918123897,0.0035095042495348026,0.0011819137684768242,0.0,0.0,0.009344021072468737,0.051533693720069634,0.2396241309737938,0.09518888307363725,0.015451830467377829,0.0038156460041390413,0.0012399442727906167,0.0,0.0,0.0060265944273799514,0.01925647887941998,0.04283614541558405,0.02779508082010448,0.009051357993033263,0.0027549534655139964,0.0010240230848171828,0.0,0.0,0.002617605488871129,0.005588603549402428,0.00825862985674719,0.006730887007660078,0.0033894902182183386,0.001542388953957608,0.0,0.0,0.0,0.0011204852378356891,0.001797029403738489,0.002220204050859904,0.001991841962400592,0.001357847679952021,0.0,0.0,0.0,0.0
Sensor10,0.0035095042495348026,0.013150925918123897,0.0648901305181836,0.13493099889743912,0.039511718531719316,0.008721210320119896,0.0023950233406876916,0.0,0.0,0.0038156460041390413,0.015451830467377829,0.09518888307363725,0.2396241309737938,0.051533693720069634,0.009344021072468737,0.002565532445650472,0.0,0.0,0.0027549534655139964,0.009051357993033263,0.02779508082010448,0.04283614541558405,0.01925647887941998,0.0060265944273799514,0.001957233057019243,0.0,0.0,0.001542388953957608,0.0033894902182183386,0.006730887007660078,0.00825862985674719,0.005588603549402428,0.002617605488871129,0.0011582941230171527,0.0,0.0,0.0,0.001357847679952021,0.001991841962400592,0.002220204050859904,0.001797029403738489,0.0011204852378356891,0.0,0.0,0.0
Sensor11,0.004129575448479168,0.003468799822750769,0.002120502251243433,0.0010845131395885279,0.0,0.0,0.0,0.0,0.0,0.01663207876561055,0.01258963902539919,0.0056723284806514795,0.0021013703215069187,0.0,0.0,0.0,0.0,0.0,0.10982840130708633,0.05631013609564431,0.012322687937020538,0.0033894902182183386,0.0011582941230171527,0.0,0.0,0.0,0.0,0.2643677888446596,0.10269209123421522,0.015830552970495237,0.0038626364115168185,0.0012485851456916837,0.0,0.0,0.0,0.0,0.051533693720069634,0.032726260388558644,0.009344021072468737,0.002903421143003566,0.0010569787004743058,0.0,0.0,0.0,0.0
Sensor12,0.003468799822750769,0.004129575448479168,0.003031025397332719,0.0017242161564737088,0.0,0.0,0.0,0.0,0.0,0.01258963902539919,0.01663207876561055,0.009881491504155383,0.004077260881421054,0.0015543987237937316,0.0,0.0,0.0,0.0,0.05631013609564431,0.10982840130708633,0.035211601790646384,0.00825862985674719,0.002327118929051411,0.0,0.0,0.0,0.0,0.10269209123421522,0.2643677888446596,0.05383934504681685,0.009518074309424874,0.0025913724677863125,0.0,0.0,0.0,0.0,0.032726260388558644,0.051533693720069634,0.02225890381999857,0.006517663000544346,0.0020455051616991467,0.0,0.0,0.0,0.0
