,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45,Light46,Light47,Light48,Light49,Light50,Light51,Light52,Light53,Light54,Light55,Light56,Light57,Light58,Light59,Light60,Light61,Light62,Light63,Light64,Light65,Light66,Light67,Light68,Light69,Light70,Light71,Light72,Light73,Light74,Light75,Light76,Light77,Light78,Light79,Light80
Sensor1,0.12196535445591743,0.1780855588097063,0.18433648390196833,0.13724144349740483,0.05320726238771791,0.028665495965189705,0.014473985814289185,0.008366445684970357,0.16786276098584485,0.23857358568316786,0.24295039596426943,0.1780855588097063,0.0651456574489432,0.03359240666335207,0.01670511791486562,0.009137150106057874,0.15561643485921042,0.22380999842936086,0.23087007588000066,0.17452429647939507,0.062422373477967356,0.03251482529637404,0.016333061771699867,0.008991959640320455,0.09721724329114932,0.1499750517723848,0.15561643485921042,0.10874192386810622,0.04745041754575552,0.025200141444458694,0.013630308274750935,0.007996502477424589,0.04658167331234949,0.059867310065817206,0.06112472014302678,0.04926173205241235,0.03098920429159743,0.018110377815098402,0.010712409578790254,0.006648656875262744,0.02219891816456048,0.02759621549188308,0.028016978728651463,0.023086892498269663,0.016424924760386116,0.011047013308096904,0.0074062372307191916,0.004995744318831369,0.012094959846811514,0.013697741322165734,0.013834127524603088,0.012438714836302968,0.009714355426235149,0.007249708260766338,0.005269129221341036,0.0036544198748483608,0.007148128048569321,0.00784964775278855,0.007907894517032618,0.0073013220731737586,0.006041498726587721,0.004825274348063094,0.0036019888322561013,0.0027458305802594667,0.004460263921729262,0.00479772284297997,0.004825274348063094,0.004534866126384193,0.003781455762428181,0.003178274403597003,0.002583445449936986,0.0020552727743258174,0.0028390016210319093,0.0030012212307940415,0.003014291664053738,0.0028752095338641986,0.0025629235294995683,0.0022246605730968485,0.0018733566299551235,0.001520366019627406
Sensor2,0.028665495965189705,0.05320726238771791,0.12196535445591743,0.1780855588097063,0.1780855588097063,0.12196535445591743,0.05320726238771791,0.028665495965189705,0.03359240666335207,0.0651456574489432,0.16786276098584485,0.23857358568316786,0.23857358568316786,0.16786276098584485,0.0651456574489432,0.03359240666335207,0.03251482529637404,0.062422373477967356,0.15561643485921042,0.22380999842936086,0.22380999842936086,0.15561643485921042,0.062422373477967356,0.03251482529637404,0.025200141444458694,0.04745041754575552,0.09721724329114932,0.1499750517723848,0.1499750517723848,0.09721724329114932,0.04745041754575552,0.025200141444458694,0.018110377815098402,0.03098920429159743,0.04658167331234949,0.059867310065817206,0.059867310065817206,0.04658167331234949,0.03098920429159743,0.018110377815098402,0.011047013308096904,0.016424924760386116,0.02219891816456048,0.02759621549188308,0.02759621549188308,0.02219891816456048,0.016424924760386116,0.011047013308096904,0.007249708260766338,0.009714355426235149,0.012094959846811514,0.013697741322165734,0.013697741322165734,0.012094959846811514,0.009714355426235149,0.007249708260766338,0.004825274348063094,0.006041498726587721,0.007148128048569321,0.00784964775278855,0.00784964775278855,0.007148128048569321,0.006041498726587721,0.004825274348063094,0.003178274403597003,0.003781455762428181,0.004460263921729262,0.00479772284297997,0.00479772284297997,0.004460263921729262,0.003781455762428181,0.003178274403597003,0.0022246605730968485,0.0025629235294995683,0.0028390016210319093,0.0030012212307940415,0.0030012212307940415,0.0028390016210319093,0.0025629235294995683,0.0022246605730968485
Sensor3,0.008018889939896261,0.013816967386954808,0.027133556319934634,0.05056733735582176,0.12953306481557272,0.18142586481692305,0.18142586481692305,0.12953306481557272,0.008737526178707718,0.01586295416761738,0.031675423323296426,0.06160653042783928,0.16958787349264623,0.2431006938066142,0.2431006938066142,0.16958787349264623,0.008601770863218219,0.01551800601795727,0.030684310702796154,0.05910111084894048,0.16493476066677198,0.22756457417465842,0.22756457417465842,0.16493476066677198,0.007671763658113815,0.013029623662628005,0.02398798849921561,0.04521953106262268,0.10294613394117252,0.1529935140457699,0.1529935140457699,0.10294613394117252,0.006402570711375672,0.010293206153595384,0.017361829504922575,0.029737001295461387,0.04793107532892223,0.060543515771138964,0.060543515771138964,0.04793107532892223,0.004835668135280045,0.0071670091178384155,0.01070074350881734,0.015950951534433527,0.022648814168055913,0.027823000170983343,0.027823000170983343,0.022648814168055913,0.0035570609938406737,0.005125879187944607,0.007067176146928358,0.009506229206088295,0.012269794994176016,0.013771363837651195,0.013771363837651195,0.012269794994176016,0.0026831274392041327,0.003523410015730392,0.004726526253490781,0.005940613198938764,0.0072262368091815694,0.0078811169400512,0.0078811169400512,0.0072262368091815694,0.0020151723166416135,0.0025363700032659327,0.0031273084498499725,0.0037330273183824978,0.004498366403534316,0.004812616832738382,0.004812616832738382,0.004498366403534316,0.0014954423246410656,0.0018108198379660078,0.00219528969305105,0.0025363700032659327,0.002857519586898009,0.0030082901183928618,0.0030082901183928618,0.002857519586898009
Sensor4,0.05134255679126397,0.06681804800009646,0.06830384354403261,0.054446989748509776,0.0336845079465014,0.019262121357278054,0.011211919130903228,0.006887570020786898,0.10942911651094446,0.16894652632690738,0.17567276169975435,0.12275646706618054,0.050366230109433134,0.027457965093445072,0.014066038540817009,0.008188583631112654,0.16259463130452048,0.23210428165570446,0.23993572967419055,0.1731450194090738,0.06398955340744727,0.03313727851768394,0.016548595122593615,0.009076227341868179,0.16259463130452048,0.23210428165570446,0.23993572967419055,0.1731450194090738,0.06398955340744727,0.03313727851768394,0.016548595122593615,0.009076227341868179,0.10942911651094446,0.16894652632690738,0.17567276169975435,0.12275646706618054,0.050366230109433134,0.027457965093445072,0.014066038540817009,0.008188583631112654,0.04658167331234949,0.059867310065817206,0.06112472014302678,0.04926173205241235,0.03098920429159743,0.018110377815098402,0.010712409578790254,0.006648656875262744,0.024520464566906246,0.03098920429159743,0.03148613087154267,0.02658297029163449,0.017899208521440235,0.011819332001950577,0.007820768228540144,0.005222010754702026,0.013236038538919002,0.015624608255532493,0.015797423614870715,0.013630308274750935,0.010528028334846933,0.007763490836415401,0.005583115568289804,0.0038284884859259177,0.007763490836415401,0.00864385061452394,0.008711826994270996,0.007937264215273312,0.0065156593488639785,0.005160174688685523,0.003809567295885024,0.002881313768896014,0.004811468650220962,0.005190952925076727,0.005222010754702026,0.004895213547189136,0.0040465953994426995,0.0033798706500766116,0.0027288892530521816,0.002156730484064692
Sensor5,0.019262121357278054,0.0336845079465014,0.05134255679126397,0.06681804800009646,0.06681804800009646,0.05134255679126397,0.0336845079465014,0.019262121357278054,0.027457965093445072,0.050366230109433134,0.10942911651094446,0.16894652632690738,0.16894652632690738,0.10942911651094446,0.050366230109433134,0.027457965093445072,0.03313727851768394,0.06398955340744727,0.16259463130452048,0.23210428165570446,0.23210428165570446,0.16259463130452048,0.06398955340744727,0.03313727851768394,0.03313727851768394,0.06398955340744727,0.16259463130452048,0.23210428165570446,0.23210428165570446,0.16259463130452048,0.06398955340744727,0.03313727851768394,0.027457965093445072,0.050366230109433134,0.10942911651094446,0.16894652632690738,0.16894652632690738,0.10942911651094446,0.050366230109433134,0.027457965093445072,0.018110377815098402,0.03098920429159743,0.04658167331234949,0.059867310065817206,0.059867310065817206,0.04658167331234949,0.03098920429159743,0.018110377815098402,0.011819332001950577,0.017899208521440235,0.024520464566906246,0.03098920429159743,0.03098920429159743,0.024520464566906246,0.017899208521440235,0.011819332001950577,0.007763490836415401,0.010528028334846933,0.013236038538919002,0.015624608255532493,0.015624608255532493,0.013236038538919002,0.010528028334846933,0.007763490836415401,0.005160174688685523,0.0065156593488639785,0.007763490836415401,0.00864385061452394,0.00864385061452394,0.007763490836415401,0.0065156593488639785,0.005160174688685523,0.0033798706500766116,0.0040465953994426995,0.004811468650220962,0.005190952925076727,0.005190952925076727,0.004811468650220962,0.0040465953994426995,0.0033798706500766116
Sensor6,0.00662807255224138,0.010763184989592469,0.018443186411504244,0.03227487309023096,0.052903914508357804,0.06761670202319997,0.06761670202319997,0.052903914508357804,0.007852061682922034,0.013436466380254954,0.025041943886321517,0.04793107532892223,0.1160430531705847,0.17254130809565713,0.17254130809565713,0.1160430531705847,0.008680571425020246,0.015717869680500537,0.03125696676336249,0.060543515771138964,0.17254130809565713,0.2362482506682485,0.2362482506682485,0.17254130809565713,0.008680571425020246,0.015717869680500537,0.03125696676336249,0.060543515771138964,0.17254130809565713,0.2362482506682485,0.2362482506682485,0.17254130809565713,0.007852061682922034,0.013436466380254954,0.025041943886321517,0.04793107532892223,0.1160430531705847,0.17254130809565713,0.17254130809565713,0.1160430531705847,0.006402570711375672,0.010293206153595384,0.017361829504922575,0.029737001295461387,0.04793107532892223,0.060543515771138964,0.060543515771138964,0.04793107532892223,0.005050895010089327,0.007561108880462323,0.011436204327459593,0.017361829504922575,0.025041943886321517,0.03125696676336249,0.03125696676336249,0.025041943886321517,0.0037239117529103936,0.005426805867919555,0.007561108880462323,0.010293206153595384,0.013436466380254954,0.015717869680500537,0.015717869680500537,0.013436466380254954,0.0028137802655338606,0.0037239117529103936,0.005050895010089327,0.006402570711375672,0.007852061682922034,0.008680571425020246,0.008680571425020246,0.007852061682922034,0.0021135311060776376,0.0026776615226539032,0.00332383322948644,0.003992830778045005,0.004854230109942165,0.005207740993031158,0.005207740993031158,0.004854230109942165
Sensor7,0.004811468650220962,0.005190952925076727,0.005222010754702026,0.004895213547189136,0.0040465953994426995,0.0033798706500766116,0.0027288892530521816,0.002156730484064692,0.007763490836415401,0.00864385061452394,0.008711826994270996,0.007937264215273312,0.0065156593488639785,0.005160174688685523,0.003809567295885024,0.002881313768896014,0.013236038538919002,0.015624608255532493,0.015797423614870715,0.013630308274750935,0.010528028334846933,0.007763490836415401,0.005583115568289804,0.0038284884859259177,0.024520464566906246,0.03098920429159743,0.03148613087154267,0.02658297029163449,0.017899208521440235,0.011819332001950577,0.007820768228540144,0.005222010754702026,0.04658167331234949,0.059867310065817206,0.06112472014302678,0.04926173205241235,0.03098920429159743,0.018110377815098402,0.010712409578790254,0.006648656875262744,0.10942911651094446,0.16894652632690738,0.17567276169975435,0.12275646706618054,0.050366230109433134,0.027457965093445072,0.014066038540817009,0.008188583631112654,0.16259463130452048,0.23210428165570446,0.23993572967419055,0.1731450194090738,0.06398955340744727,0.03313727851768394,0.016548595122593615,0.009076227341868179,0.16259463130452048,0.23210428165570446,0.23993572967419055,0.1731450194090738,0.06398955340744727,0.03313727851768394,0.016548595122593615,0.009076227341868179,0.10942911651094446,0.16894652632690738,0.17567276169975435,0.12275646706618054,0.050366230109433134,0.027457965093445072,0.014066038540817009,0.008188583631112654,0.05134255679126397,0.06681804800009646,0.06830384354403261,0.054446989748509776,0.0336845079465014,0.019262121357278054,0.011211919130903228,0.006887570020786898
Sensor8,0.0033798706500766116,0.0040465953994426995,0.004811468650220962,0.005190952925076727,0.005190952925076727,0.004811468650220962,0.0040465953994426995,0.0033798706500766116,0.005160174688685523,0.0065156593488639785,0.007763490836415401,0.00864385061452394,0.00864385061452394,0.007763490836415401,0.0065156593488639785,0.005160174688685523,0.007763490836415401,0.010528028334846933,0.013236038538919002,0.015624608255532493,0.015624608255532493,0.013236038538919002,0.010528028334846933,0.007763490836415401,0.011819332001950577,0.017899208521440235,0.024520464566906246,0.03098920429159743,0.03098920429159743,0.024520464566906246,0.017899208521440235,0.011819332001950577,0.018110377815098402,0.03098920429159743,0.04658167331234949,0.059867310065817206,0.059867310065817206,0.04658167331234949,0.03098920429159743,0.018110377815098402,0.027457965093445072,0.050366230109433134,0.10942911651094446,0.16894652632690738,0.16894652632690738,0.10942911651094446,0.050366230109433134,0.027457965093445072,0.03313727851768394,0.06398955340744727,0.16259463130452048,0.23210428165570446,0.23210428165570446,0.16259463130452048,0.06398955340744727,0.03313727851768394,0.03313727851768394,0.06398955340744727,0.16259463130452048,0.23210428165570446,0.23210428165570446,0.16259463130452048,0.06398955340744727,0.03313727851768394,0.027457965093445072,0.050366230109433134,0.10942911651094446,0.16894652632690738,0.16894652632690738,0.10942911651094446,0.050366230109433134,0.027457965093445072,0.019262121357278054,0.0336845079465014,0.05134255679126397,0.06681804800009646,0.06681804800009646,0.05134255679126397,0.0336845079465014,0.019262121357278054
Sensor9,0.0021135311060776376,0.0026776615226539032,0.00332383322948644,0.003992830778045005,0.004854230109942165,0.005207740993031158,0.005207740993031158,0.004854230109942165,0.0028137802655338606,0.0037239117529103936,0.005050895010089327,0.006402570711375672,0.007852061682922034,0.008680571425020246,0.008680571425020246,0.007852061682922034,0.0037239117529103936,0.005426805867919555,0.007561108880462323,0.010293206153595384,0.013436466380254954,0.015717869680500537,0.015717869680500537,0.013436466380254954,0.005050895010089327,0.007561108880462323,0.011436204327459593,0.017361829504922575,0.025041943886321517,0.03125696676336249,0.03125696676336249,0.025041943886321517,0.006402570711375672,0.010293206153595384,0.017361829504922575,0.029737001295461387,0.04793107532892223,0.060543515771138964,0.060543515771138964,0.04793107532892223,0.007852061682922034,0.013436466380254954,0.025041943886321517,0.04793107532892223,0.1160430531705847,0.17254130809565713,0.17254130809565713,0.1160430531705847,0.008680571425020246,0.015717869680500537,0.03125696676336249,0.060543515771138964,0.17254130809565713,0.2362482506682485,0.2362482506682485,0.17254130809565713,0.008680571425020246,0.015717869680500537,0.03125696676336249,0.060543515771138964,0.17254130809565713,0.2362482506682485,0.2362482506682485,0.17254130809565713,0.007852061682922034,0.013436466380254954,0.025041943886321517,0.04793107532892223,0.1160430531705847,0.17254130809565713,0.17254130809565713,0.1160430531705847,0.00662807255224138,0.010763184989592469,0.018443186411504244,0.03227487309023096,0.052903914508357804,0.06761670202319997,0.06761670202319997,0.052903914508357804
Sensor10,0.0028390016210319093,0.0030012212307940415,0.003014291664053738,0.0028752095338641986,0.0025629235294995683,0.0022246605730968485,0.0018733566299551235,0.001520366019627406,0.004460263921729262,0.00479772284297997,0.004825274348063094,0.004534866126384193,0.003781455762428181,0.003178274403597003,0.002583445449936986,0.0020552727743258174,0.007148128048569321,0.00784964775278855,0.007907894517032618,0.0073013220731737586,0.006041498726587721,0.004825274348063094,0.0036019888322561013,0.0027458305802594667,0.012094959846811514,0.013697741322165734,0.013834127524603088,0.012438714836302968,0.009714355426235149,0.007249708260766338,0.005269129221341036,0.0036544198748483608,0.02219891816456048,0.02759621549188308,0.028016978728651463,0.023086892498269663,0.016424924760386116,0.011047013308096904,0.0074062372307191916,0.004995744318831369,0.04658167331234949,0.059867310065817206,0.06112472014302678,0.04926173205241235,0.03098920429159743,0.018110377815098402,0.010712409578790254,0.006648656875262744,0.09721724329114932,0.1499750517723848,0.15561643485921042,0.10874192386810622,0.04745041754575552,0.025200141444458694,0.013630308274750935,0.007996502477424589,0.15561643485921042,0.22380999842936086,0.23087007588000066,0.17452429647939507,0.062422373477967356,0.03251482529637404,0.016333061771699867,0.008991959640320455,0.16786276098584485,0.23857358568316786,0.24295039596426943,0.1780855588097063,0.0651456574489432,0.03359240666335207,0.01670511791486562,0.009137150106057874,0.12196535445591743,0.1780855588097063,0.18433648390196833,0.13724144349740483,0.05320726238771791,0.028665495965189705,0.014473985814289185,0.008366445684970357
