,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45,Light46,Light47,Light48,Light49,Light50,Light51,Light52,Light53,Light54,Light55,Light56,Light57,Light58,Light59,Light60,Light61,Light62,Light63,Light64,Light65,Light66,Light67,Light68,Light69,Light70,Light71,Light72,Light73,Light74,Light75,Light76,Light77,Light78,Light79,Light80
Sensor1,0.13659186203760681,0.18455056660624633,0.18953041521291525,0.14661965977198457,0.08610702656871715,0.04526131542504478,0.022825673299739137,0.014207405874664177,0.17198367290222982,0.23840487485052037,0.24384308006379396,0.18455056660624633,0.10013533027309666,0.05290921527042582,0.026560241597645293,0.014992211561269916,0.16346948623195298,0.22546296779410716,0.23170199677714134,0.17653541531832487,0.09630873349298172,0.05123756666576384,0.025999058679986257,0.01477497920801037,0.11959907069073138,0.15948061384709022,0.16346948623195298,0.12763827793009663,0.07652427470805788,0.03926163384132912,0.02160399104086616,0.013610793793424874,0.07508035521571248,0.09270692143870993,0.09448089638163966,0.07953671047265916,0.04886990150108604,0.028675547463888288,0.0173331046075372,0.01142632702511485,0.03479602166977627,0.04359976772120532,0.04425366862299573,0.036119447756771485,0.026137664267580612,0.01782686406014512,0.012656332122039272,0.008719319116887949,0.019366216609993017,0.021701835487422105,0.021899622752542515,0.01986897055197825,0.015853257901355514,0.012402670980839298,0.009169584771058958,0.006836917051514657,0.012237926658935801,0.013373627625124587,0.013467717547592262,0.012486339694946823,0.01043601985441375,0.008437974059693973,0.006737288824890133,0.005113494823831184,0.007833955578353627,0.008392459361227816,0.008437974059693973,0.007957591784788913,0.0070783873334705726,0.005932909424602949,0.0048062554585603075,0.0038089568366362963,0.00528989567647649,0.005597219235212988,0.005621991351498987,0.005358470348180036,0.0047674463832824395,0.004128429528966377,0.0034662908258225834,0.0027855655223077156
Sensor2,0.04526131542504478,0.08610702656871715,0.13659186203760681,0.18455056660624633,0.18455056660624633,0.13659186203760681,0.08610702656871715,0.04526131542504478,0.05290921527042582,0.10013533027309666,0.17198367290222982,0.23840487485052037,0.23840487485052037,0.17198367290222982,0.10013533027309666,0.05290921527042582,0.05123756666576384,0.09630873349298172,0.16346948623195298,0.22546296779410716,0.22546296779410716,0.16346948623195298,0.09630873349298172,0.05123756666576384,0.03926163384132912,0.07652427470805788,0.11959907069073138,0.15948061384709022,0.15948061384709022,0.11959907069073138,0.07652427470805788,0.03926163384132912,0.028675547463888288,0.04886990150108604,0.07508035521571248,0.09270692143870993,0.09270692143870993,0.07508035521571248,0.04886990150108604,0.028675547463888288,0.01782686406014512,0.026137664267580612,0.03479602166977627,0.04359976772120532,0.04359976772120532,0.03479602166977627,0.026137664267580612,0.01782686406014512,0.012402670980839298,0.015853257901355514,0.019366216609993017,0.021701835487422105,0.021701835487422105,0.019366216609993017,0.015853257901355514,0.012402670980839298,0.008437974059693973,0.01043601985441375,0.012237926658935801,0.013373627625124587,0.013373627625124587,0.012237926658935801,0.01043601985441375,0.008437974059693973,0.005932909424602949,0.0070783873334705726,0.007833955578353627,0.008392459361227816,0.008392459361227816,0.007833955578353627,0.0070783873334705726,0.005932909424602949,0.004128429528966377,0.0047674463832824395,0.00528989567647649,0.005597219235212988,0.005597219235212988,0.00528989567647649,0.0047674463832824395,0.004128429528966377
Sensor3,0.013646932060991775,0.02187474497561221,0.042880634848606713,0.0817096286233034,0.14159926610800969,0.18721780722300008,0.18721780722300008,0.14159926610800969,0.01439364690539698,0.025289264050995852,0.049935013831803224,0.09515990247784924,0.17770078109270623,0.24228295397701985,0.24228295397701985,0.17770078109270623,0.014189835699105091,0.024767916667611755,0.04839658426374528,0.09162456590562659,0.16996553927794633,0.22879133357629508,0.22879133357629508,0.16996553927794633,0.013086088621841083,0.020730820104851014,0.037460517428507235,0.07281759380347931,0.12362470578490299,0.16162027694213393,0.16162027694213393,0.12362470578490299,0.011025462479515389,0.016712864223714975,0.027549597969075332,0.04692566641807586,0.07732342024402088,0.09366127275121744,0.09366127275121744,0.07732342024402088,0.008455141266461517,0.012268556089579599,0.017315868859728287,0.025422189516034328,0.03546678052612421,0.04395222290468876,0.04395222290468876,0.03546678052612421,0.006651933660568963,0.00893379125832691,0.012106563158991543,0.015543247155545682,0.019622049366865114,0.021808620617905256,0.021808620617905256,0.019622049366865114,0.004994826399677011,0.006588012184917616,0.008274786333449174,0.010271043763739173,0.012364613786696104,0.013424465711675522,0.013424465711675522,0.012364613786696104,0.0037333813946846288,0.004717237524003023,0.0058362514390286275,0.00698632124104106,0.007897113977876269,0.008417065547148876,0.008417065547148876,0.007897113977876269,0.002739407845957834,0.003323994123864987,0.004073008359434297,0.004717237524003023,0.00532496558257666,0.005610616562063522,0.005610616562063522,0.00532496558257666
Sensor4,0.083000417976399,0.10247919210619495,0.10455777541711052,0.08817375423179284,0.05305206616435082,0.030404516284045214,0.018069794503842298,0.011814869254894817,0.1281103927724079,0.17272793166806197,0.17731466336761117,0.13711912813430546,0.08137484383059981,0.04338489216086333,0.02223561452016601,0.013920712353892997,0.16834477137513945,0.2327837609313968,0.2395769493874555,0.18057942855287784,0.09851236322351384,0.05220324401423448,0.02632421392123324,0.014901092018952504,0.16834477137513945,0.2327837609313968,0.2395769493874555,0.18057942855287784,0.09851236322351384,0.05220324401423448,0.02632421392123324,0.014901092018952504,0.1281103927724079,0.17272793166806197,0.17731466336761117,0.13711912813430546,0.08137484383059981,0.04338489216086333,0.02223561452016601,0.013920712353892997,0.07508035521571248,0.09270692143870993,0.09448089638163966,0.07953671047265916,0.04886990150108604,0.028675547463888288,0.0173331046075372,0.01142632702511485,0.03825211257201221,0.04886990150108604,0.049641228209795114,0.04202466262434415,0.028358096178645605,0.01896233777808171,0.013326965238105561,0.0090920598199412,0.021031196116897962,0.024929081413748916,0.025190257247658745,0.02160399104086616,0.017060529056519284,0.013234396290574926,0.00968538609816285,0.00716781526868548,0.013234396290574926,0.014253036871366165,0.014355083199279231,0.013515148864101724,0.011209763998007168,0.008990270240013363,0.007131836763917824,0.005370032445125787,0.008415168776047685,0.00904094196879798,0.0090920598199412,0.008553457865403877,0.007582713328572355,0.0063154475375989646,0.005081428798112765,0.0040002658682570524
Sensor5,0.030404516284045214,0.05305206616435082,0.083000417976399,0.10247919210619495,0.10247919210619495,0.083000417976399,0.05305206616435082,0.030404516284045214,0.04338489216086333,0.08137484383059981,0.1281103927724079,0.17272793166806197,0.17272793166806197,0.1281103927724079,0.08137484383059981,0.04338489216086333,0.05220324401423448,0.09851236322351384,0.16834477137513945,0.2327837609313968,0.2327837609313968,0.16834477137513945,0.09851236322351384,0.05220324401423448,0.05220324401423448,0.09851236322351384,0.16834477137513945,0.2327837609313968,0.2327837609313968,0.16834477137513945,0.09851236322351384,0.05220324401423448,0.04338489216086333,0.08137484383059981,0.1281103927724079,0.17272793166806197,0.17272793166806197,0.1281103927724079,0.08137484383059981,0.04338489216086333,0.028675547463888288,0.04886990150108604,0.07508035521571248,0.09270692143870993,0.09270692143870993,0.07508035521571248,0.04886990150108604,0.028675547463888288,0.01896233777808171,0.028358096178645605,0.03825211257201221,0.04886990150108604,0.04886990150108604,0.03825211257201221,0.028358096178645605,0.01896233777808171,0.013234396290574926,0.017060529056519284,0.021031196116897962,0.024929081413748916,0.024929081413748916,0.021031196116897962,0.017060529056519284,0.013234396290574926,0.008990270240013363,0.011209763998007168,0.013234396290574926,0.014253036871366165,0.014253036871366165,0.013234396290574926,0.011209763998007168,0.008990270240013363,0.0063154475375989646,0.007582713328572355,0.008415168776047685,0.00904094196879798,0.00904094196879798,0.008415168776047685,0.007582713328572355,0.0063154475375989646
Sensor6,0.011392821928174805,0.017408105102979205,0.029175571724307143,0.05086525328759098,0.0856014813670637,0.10359691989810925,0.10359691989810925,0.0856014813670637,0.013377527615874714,0.02132253133777648,0.03902675294735791,0.07732342024402088,0.13261533278579915,0.1751861646351276,0.1751861646351276,0.13261533278579915,0.014308169891429027,0.02507004146806326,0.049285536653193865,0.09366127275121744,0.1751861646351276,0.23639440030270983,0.23639440030270983,0.1751861646351276,0.014308169891429027,0.02507004146806326,0.049285536653193865,0.09366127275121744,0.1751861646351276,0.23639440030270983,0.23639440030270983,0.1751861646351276,0.013377527615874714,0.02132253133777648,0.03902675294735791,0.07732342024402088,0.13261533278579915,0.1751861646351276,0.1751861646351276,0.13261533278579915,0.011025462479515389,0.016712864223714975,0.027549597969075332,0.04692566641807586,0.07732342024402088,0.09366127275121744,0.09366127275121744,0.07732342024402088,0.008810243154835494,0.012907074136165488,0.01839977241986078,0.027549597969075332,0.03902675294735791,0.049285536653193865,0.049285536653193865,0.03902675294735791,0.006968993665709792,0.009428780910513697,0.012907074136165488,0.016712864223714975,0.02132253133777648,0.02507004146806326,0.02507004146806326,0.02132253133777648,0.005242135868511307,0.006968993665709792,0.008810243154835494,0.011025462479515389,0.013377527615874714,0.014308169891429027,0.014308169891429027,0.013377527615874714,0.003918792358503157,0.004984483767002065,0.0062090816125968335,0.0074804101124192795,0.008485795384091199,0.009068575088262474,0.009068575088262474,0.008485795384091199
Sensor7,0.008415168776047685,0.00904094196879798,0.0090920598199412,0.008553457865403877,0.007582713328572355,0.0063154475375989646,0.005081428798112765,0.0040002658682570524,0.013234396290574926,0.014253036871366165,0.014355083199279231,0.013515148864101724,0.011209763998007168,0.008990270240013363,0.007131836763917824,0.005370032445125787,0.021031196116897962,0.024929081413748916,0.025190257247658745,0.02160399104086616,0.017060529056519284,0.013234396290574926,0.00968538609816285,0.00716781526868548,0.03825211257201221,0.04886990150108604,0.049641228209795114,0.04202466262434415,0.028358096178645605,0.01896233777808171,0.013326965238105561,0.0090920598199412,0.07508035521571248,0.09270692143870993,0.09448089638163966,0.07953671047265916,0.04886990150108604,0.028675547463888288,0.0173331046075372,0.01142632702511485,0.1281103927724079,0.17272793166806197,0.17731466336761117,0.13711912813430546,0.08137484383059981,0.04338489216086333,0.02223561452016601,0.013920712353892997,0.16834477137513945,0.2327837609313968,0.2395769493874555,0.18057942855287784,0.09851236322351384,0.05220324401423448,0.02632421392123324,0.014901092018952504,0.16834477137513945,0.2327837609313968,0.2395769493874555,0.18057942855287784,0.09851236322351384,0.05220324401423448,0.02632421392123324,0.014901092018952504,0.1281103927724079,0.17272793166806197,0.17731466336761117,0.13711912813430546,0.08137484383059981,0.04338489216086333,0.02223561452016601,0.013920712353892997,0.083000417976399,0.10247919210619495,0.10455777541711052,0.08817375423179284,0.05305206616435082,0.030404516284045214,0.018069794503842298,0.011814869254894817
Sensor8,0.0063154475375989646,0.007582713328572355,0.008415168776047685,0.00904094196879798,0.00904094196879798,0.008415168776047685,0.007582713328572355,0.0063154475375989646,0.008990270240013363,0.011209763998007168,0.013234396290574926,0.014253036871366165,0.014253036871366165,0.013234396290574926,0.011209763998007168,0.008990270240013363,0.013234396290574926,0.017060529056519284,0.021031196116897962,0.024929081413748916,0.024929081413748916,0.021031196116897962,0.017060529056519284,0.013234396290574926,0.01896233777808171,0.028358096178645605,0.03825211257201221,0.04886990150108604,0.04886990150108604,0.03825211257201221,0.028358096178645605,0.01896233777808171,0.028675547463888288,0.04886990150108604,0.07508035521571248,0.09270692143870993,0.09270692143870993,0.07508035521571248,0.04886990150108604,0.028675547463888288,0.04338489216086333,0.08137484383059981,0.1281103927724079,0.17272793166806197,0.17272793166806197,0.1281103927724079,0.08137484383059981,0.04338489216086333,0.05220324401423448,0.09851236322351384,0.16834477137513945,0.2327837609313968,0.2327837609313968,0.16834477137513945,0.09851236322351384,0.05220324401423448,0.05220324401423448,0.09851236322351384,0.16834477137513945,0.2327837609313968,0.2327837609313968,0.16834477137513945,0.09851236322351384,0.05220324401423448,0.04338489216086333,0.08137484383059981,0.1281103927724079,0.17272793166806197,0.17272793166806197,0.1281103927724079,0.08137484383059981,0.04338489216086333,0.030404516284045214,0.05305206616435082,0.083000417976399,0.10247919210619495,0.10247919210619495,0.083000417976399,0.05305206616435082,0.030404516284045214
Sensor9,0.003918792358503157,0.004984483767002065,0.0062090816125968335,0.0074804101124192795,0.008485795384091199,0.009068575088262474,0.009068575088262474,0.008485795384091199,0.005242135868511307,0.006968993665709792,0.008810243154835494,0.011025462479515389,0.013377527615874714,0.014308169891429027,0.014308169891429027,0.013377527615874714,0.006968993665709792,0.009428780910513697,0.012907074136165488,0.016712864223714975,0.02132253133777648,0.02507004146806326,0.02507004146806326,0.02132253133777648,0.008810243154835494,0.012907074136165488,0.01839977241986078,0.027549597969075332,0.03902675294735791,0.049285536653193865,0.049285536653193865,0.03902675294735791,0.011025462479515389,0.016712864223714975,0.027549597969075332,0.04692566641807586,0.07732342024402088,0.09366127275121744,0.09366127275121744,0.07732342024402088,0.013377527615874714,0.02132253133777648,0.03902675294735791,0.07732342024402088,0.13261533278579915,0.1751861646351276,0.1751861646351276,0.13261533278579915,0.014308169891429027,0.02507004146806326,0.049285536653193865,0.09366127275121744,0.1751861646351276,0.23639440030270983,0.23639440030270983,0.1751861646351276,0.014308169891429027,0.02507004146806326,0.049285536653193865,0.09366127275121744,0.1751861646351276,0.23639440030270983,0.23639440030270983,0.1751861646351276,0.013377527615874714,0.02132253133777648,0.03902675294735791,0.07732342024402088,0.13261533278579915,0.1751861646351276,0.1751861646351276,0.13261533278579915,0.011392821928174805,0.017408105102979205,0.029175571724307143,0.05086525328759098,0.0856014813670637,0.10359691989810925,0.10359691989810925,0.0856014813670637
Sensor10,0.00528989567647649,0.005597219235212988,0.005621991351498987,0.005358470348180036,0.0047674463832824395,0.004128429528966377,0.0034662908258225834,0.0027855655223077156,0.007833955578353627,0.008392459361227816,0.008437974059693973,0.007957591784788913,0.0070783873334705726,0.005932909424602949,0.0048062554585603075,0.0038089568366362963,0.012237926658935801,0.013373627625124587,0.013467717547592262,0.012486339694946823,0.01043601985441375,0.008437974059693973,0.006737288824890133,0.005113494823831184,0.019366216609993017,0.021701835487422105,0.021899622752542515,0.01986897055197825,0.015853257901355514,0.012402670980839298,0.009169584771058958,0.006836917051514657,0.03479602166977627,0.04359976772120532,0.04425366862299573,0.036119447756771485,0.026137664267580612,0.01782686406014512,0.012656332122039272,0.008719319116887949,0.07508035521571248,0.09270692143870993,0.09448089638163966,0.07953671047265916,0.04886990150108604,0.028675547463888288,0.0173331046075372,0.01142632702511485,0.11959907069073138,0.15948061384709022,0.16346948623195298,0.12763827793009663,0.07652427470805788,0.03926163384132912,0.02160399104086616,0.013610793793424874,0.16346948623195298,0.22546296779410716,0.23170199677714134,0.17653541531832487,0.09630873349298172,0.05123756666576384,0.025999058679986257,0.01477497920801037,0.17198367290222982,0.23840487485052037,0.24384308006379396,0.18455056660624633,0.10013533027309666,0.05290921527042582,0.026560241597645293,0.014992211561269916,0.13659186203760681,0.18455056660624633,0.18953041521291525,0.14661965977198457,0.08610702656871715,0.04526131542504478,0.022825673299739137,0.014207405874664177
