,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45,Light46,Light47,Light48,Light49,Light50,Light51,Light52,Light53,Light54,Light55,Light56,Light57,Light58,Light59,Light60,Light61,Light62,Light63,Light64,Light65,Light66,Light67,Light68,Light69,Light70,Light71,Light72,Light73,Light74,Light75,Light76,Light77,Light78,Light79,Light80
Sensor1,0.09466549458320943,0.19878116810552265,0.21353738535821504,0.11907769004016706,0.02104023385008276,0.002558795337147718,0.0011403584211009254,0.0,0.18093272809084784,0.2708210152899251,0.2667456783094254,0.19878116810552265,0.0325749503699241,0.0027486937587532794,0.0014180276707329094,0.0,0.1555757461960719,0.2662271455104411,0.2692566751231287,0.18408873592694966,0.029262982223031517,0.002692167923798832,0.0013579246121005434,0.0,0.06404996413091947,0.1460086457157402,0.1555757461960719,0.07380323087766752,0.014663727935656352,0.0025665902436919686,0.0,0.0,0.015406604532514563,0.0262184904304618,0.027708978642295084,0.016293682127914703,0.002610934512046336,0.0013538947799097852,0.0,0.0,0.0018224261653310828,0.0024642089760160265,0.0025014313959268782,0.00190351668377611,0.0013727212144991334,0.0,0.0,0.0,0.0,0.0010095365280760708,0.0010322935286557929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.002558795337147718,0.02104023385008276,0.09466549458320943,0.19878116810552265,0.19878116810552265,0.09466549458320943,0.02104023385008276,0.002558795337147718,0.0027486937587532794,0.0325749503699241,0.18093272809084784,0.2708210152899251,0.2708210152899251,0.18093272809084784,0.0325749503699241,0.0027486937587532794,0.002692167923798832,0.029262982223031517,0.1555757461960719,0.2662271455104411,0.2662271455104411,0.1555757461960719,0.029262982223031517,0.002692167923798832,0.0025665902436919686,0.014663727935656352,0.06404996413091947,0.1460086457157402,0.1460086457157402,0.06404996413091947,0.014663727935656352,0.0025665902436919686,0.0013538947799097852,0.002610934512046336,0.015406604532514563,0.0262184904304618,0.0262184904304618,0.015406604532514563,0.002610934512046336,0.0013538947799097852,0.0,0.0013727212144991334,0.0018224261653310828,0.0024642089760160265,0.0024642089760160265,0.0018224261653310828,0.0013727212144991334,0.0,0.0,0.0,0.0,0.0010095365280760708,0.0010095365280760708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.001029424784087786,0.002423276340228215,0.01748659343082905,0.10206908918350298,0.20410521759293376,0.20410521759293376,0.10206908918350298,0.0,0.0012826562853306344,0.0026476521137754083,0.02828411405598039,0.18510821638320804,0.2663192574480676,0.2663192574480676,0.18510821638320804,0.0,0.0012279206071266217,0.0025945243041199106,0.025317803777708092,0.1751074893551934,0.26838036213622574,0.26838036213622574,0.1751074893551934,0.0,0.0,0.0023143548374790044,0.01348890842966394,0.07022317924037767,0.15111666730833392,0.15111666730833392,0.07022317924037767,0.0,0.0,0.0013151315793880354,0.00254314979881408,0.015093367534363852,0.02701814546807302,0.02701814546807302,0.015093367534363852,0.0,0.0,0.0,0.0012966870657426226,0.0018634823752376654,0.0024842716859497355,0.0024842716859497355,0.0018634823752376654,0.0,0.0,0.0,0.0,0.0,0.0010218086292984904,0.0010218086292984904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.01895404671452111,0.039126797875586816,0.04240515067784351,0.019753430168646186,0.0027534934468366745,0.0015648903258983964,0.0,0.0,0.07440859166466662,0.17674446172136013,0.1856046790891119,0.09382320976310717,0.017301882187539565,0.0024519780460969297,0.0010712156282869747,0.0,0.17047309492872278,0.2697325225110576,0.27201622370880707,0.18922696741956438,0.031160676888985113,0.0027249031112148705,0.0013926860405001108,0.0,0.17047309492872278,0.2697325225110576,0.27201622370880707,0.18922696741956438,0.031160676888985113,0.0027249031112148705,0.0013926860405001108,0.0,0.07440859166466662,0.17674446172136013,0.1856046790891119,0.09382320976310717,0.017301882187539565,0.0024519780460969297,0.0010712156282869747,0.0,0.015406604532514563,0.0262184904304618,0.027708978642295084,0.016293682127914703,0.002610934512046336,0.0013538947799097852,0.0,0.0,0.0024245700649617235,0.002610934512046336,0.0026375532593519535,0.002374559106109892,0.0013430130906108516,0.0,0.0,0.0,0.0,0.0012447906104061676,0.001272225441137941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0015648903258983964,0.0027534934468366745,0.01895404671452111,0.039126797875586816,0.039126797875586816,0.01895404671452111,0.0027534934468366745,0.0015648903258983964,0.0024519780460969297,0.017301882187539565,0.07440859166466662,0.17674446172136013,0.17674446172136013,0.07440859166466662,0.017301882187539565,0.0024519780460969297,0.0027249031112148705,0.031160676888985113,0.17047309492872278,0.2697325225110576,0.2697325225110576,0.17047309492872278,0.031160676888985113,0.0027249031112148705,0.0027249031112148705,0.031160676888985113,0.17047309492872278,0.2697325225110576,0.2697325225110576,0.17047309492872278,0.031160676888985113,0.0027249031112148705,0.0024519780460969297,0.017301882187539565,0.07440859166466662,0.17674446172136013,0.17674446172136013,0.07440859166466662,0.017301882187539565,0.0024519780460969297,0.0013538947799097852,0.002610934512046336,0.015406604532514563,0.0262184904304618,0.0262184904304618,0.015406604532514563,0.002610934512046336,0.0013538947799097852,0.0,0.0013430130906108516,0.0024245700649617235,0.002610934512046336,0.002610934512046336,0.0024245700649617235,0.0013430130906108516,0.0,0.0,0.0,0.0,0.0012447906104061676,0.0012447906104061676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.0013709611759133297,0.0026794865780896287,0.020698334508527847,0.040883767451911475,0.040883767451911475,0.020698334508527847,0.0,0.0,0.0025334029209298174,0.015093367534363852,0.08632438651557287,0.18147424521296707,0.18147424521296707,0.08632438651557287,0.0,0.0012595828559010486,0.0026252971213189167,0.02701814546807302,0.18147424521296707,0.2623431116592721,0.2623431116592721,0.18147424521296707,0.0,0.0012595828559010486,0.0026252971213189167,0.02701814546807302,0.18147424521296707,0.2623431116592721,0.2623431116592721,0.18147424521296707,0.0,0.0,0.0025334029209298174,0.015093367534363852,0.08632438651557287,0.18147424521296707,0.18147424521296707,0.08632438651557287,0.0,0.0,0.0013151315793880354,0.00254314979881408,0.015093367534363852,0.02701814546807302,0.02701814546807302,0.015093367534363852,0.0,0.0,0.0,0.0013151315793880354,0.0025334029209298174,0.0026252971213189167,0.0026252971213189167,0.0025334029209298174,0.0,0.0,0.0,0.0,0.0,0.0012595828559010486,0.0012595828559010486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012447906104061676,0.001272225441137941,0.0,0.0,0.0,0.0,0.0,0.0024245700649617235,0.002610934512046336,0.0026375532593519535,0.002374559106109892,0.0013430130906108516,0.0,0.0,0.0,0.015406604532514563,0.0262184904304618,0.027708978642295084,0.016293682127914703,0.002610934512046336,0.0013538947799097852,0.0,0.0,0.07440859166466662,0.17674446172136013,0.1856046790891119,0.09382320976310717,0.017301882187539565,0.0024519780460969297,0.0010712156282869747,0.0,0.17047309492872278,0.2697325225110576,0.27201622370880707,0.18922696741956438,0.031160676888985113,0.0027249031112148705,0.0013926860405001108,0.0,0.17047309492872278,0.2697325225110576,0.27201622370880707,0.18922696741956438,0.031160676888985113,0.0027249031112148705,0.0013926860405001108,0.0,0.07440859166466662,0.17674446172136013,0.1856046790891119,0.09382320976310717,0.017301882187539565,0.0024519780460969297,0.0010712156282869747,0.0,0.01895404671452111,0.039126797875586816,0.04240515067784351,0.019753430168646186,0.0027534934468366745,0.0015648903258983964,0.0,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012447906104061676,0.0012447906104061676,0.0,0.0,0.0,0.0,0.0013430130906108516,0.0024245700649617235,0.002610934512046336,0.002610934512046336,0.0024245700649617235,0.0013430130906108516,0.0,0.0013538947799097852,0.002610934512046336,0.015406604532514563,0.0262184904304618,0.0262184904304618,0.015406604532514563,0.002610934512046336,0.0013538947799097852,0.0024519780460969297,0.017301882187539565,0.07440859166466662,0.17674446172136013,0.17674446172136013,0.07440859166466662,0.017301882187539565,0.0024519780460969297,0.0027249031112148705,0.031160676888985113,0.17047309492872278,0.2697325225110576,0.2697325225110576,0.17047309492872278,0.031160676888985113,0.0027249031112148705,0.0027249031112148705,0.031160676888985113,0.17047309492872278,0.2697325225110576,0.2697325225110576,0.17047309492872278,0.031160676888985113,0.0027249031112148705,0.0024519780460969297,0.017301882187539565,0.07440859166466662,0.17674446172136013,0.17674446172136013,0.07440859166466662,0.017301882187539565,0.0024519780460969297,0.0015648903258983964,0.0027534934468366745,0.01895404671452111,0.039126797875586816,0.039126797875586816,0.01895404671452111,0.0027534934468366745,0.0015648903258983964
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012595828559010486,0.0012595828559010486,0.0,0.0,0.0,0.0,0.0013151315793880354,0.0025334029209298174,0.0026252971213189167,0.0026252971213189167,0.0025334029209298174,0.0,0.0,0.0013151315793880354,0.00254314979881408,0.015093367534363852,0.02701814546807302,0.02701814546807302,0.015093367534363852,0.0,0.0,0.0025334029209298174,0.015093367534363852,0.08632438651557287,0.18147424521296707,0.18147424521296707,0.08632438651557287,0.0,0.0012595828559010486,0.0026252971213189167,0.02701814546807302,0.18147424521296707,0.2623431116592721,0.2623431116592721,0.18147424521296707,0.0,0.0012595828559010486,0.0026252971213189167,0.02701814546807302,0.18147424521296707,0.2623431116592721,0.2623431116592721,0.18147424521296707,0.0,0.0,0.0025334029209298174,0.015093367534363852,0.08632438651557287,0.18147424521296707,0.18147424521296707,0.08632438651557287,0.0,0.0,0.0013709611759133297,0.0026794865780896287,0.020698334508527847,0.040883767451911475,0.040883767451911475,0.020698334508527847
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010095365280760708,0.0010322935286557929,0.0,0.0,0.0,0.0,0.0,0.0018224261653310828,0.0024642089760160265,0.0025014313959268782,0.00190351668377611,0.0013727212144991334,0.0,0.0,0.0,0.015406604532514563,0.0262184904304618,0.027708978642295084,0.016293682127914703,0.002610934512046336,0.0013538947799097852,0.0,0.0,0.06404996413091947,0.1460086457157402,0.1555757461960719,0.07380323087766752,0.014663727935656352,0.0025665902436919686,0.0,0.0,0.1555757461960719,0.2662271455104411,0.2692566751231287,0.18408873592694966,0.029262982223031517,0.002692167923798832,0.0013579246121005434,0.0,0.18093272809084784,0.2708210152899251,0.2667456783094254,0.19878116810552265,0.0325749503699241,0.0027486937587532794,0.0014180276707329094,0.0,0.09466549458320943,0.19878116810552265,0.21353738535821504,0.11907769004016706,0.02104023385008276,0.002558795337147718,0.0011403584211009254,0.0
