,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.239503577,0.11328125,0.045762176,0.139460317,0.078145589,0.033174992,0.020968118,0.019245847,0.015639481,0.014955357,0.015816454,0.011475674
Sensor2,0.114817372,0.232421875,0.186859583,0.07968254,0.138140768,0.109623046,0.017092149,0.023077264,0.0197405,0.014955357,0.015816454,0.011475674
Sensor3,0.031693235,0.078125,0.19290797,0.027904762,0.056130484,0.117522219,0.011453051,0.01537005,0.021663577,0.011383929,0.01573831,0.013355373
Sensor4,0.198082716,0.099609375,0.041785262,0.284873016,0.126257432,0.043066197,0.064900624,0.048070238,0.027602719,0.039174107,0.029616779,0.021071648
Sensor5,0.10091628,0.189453125,0.159021189,0.127492063,0.296617387,0.215262029,0.045812205,0.067316085,0.060804757,0.029910714,0.041557264,0.038252245
Sensor6,0.031693235,0.068359375,0.169101834,0.035857143,0.086308854,0.223161201,0.022906102,0.040392609,0.066828854,0.018694196,0.027756939,0.040197771
Sensor7,0.041562069,0.033203125,0.02386148,0.073714286,0.052048851,0.027336807,0.295899633,0.132672081,0.049096386,0.196205357,0.10869905,0.044022995
Sensor8,0.033709364,0.037109375,0.039824478,0.049793651,0.074208581,0.064702728,0.120344466,0.286594476,0.224328082,0.093303571,0.19794011,0.155020333
Sensor9,0.017792143,0.02734375,0.041729918,0.019920635,0.040093203,0.064633773,0.032421169,0.082715721,0.222235094,0.027957589,0.071174044,0.153074808
Sensor10,0.019808272,0.015625,0.015962998,0.017936508,0.024128234,0.013668403,0.145188553,0.084631429,0.041319123,0.240401786,0.128625906,0.04784822
Sensor11,0.015846617,0.01171875,0.017923782,0.017920635,0.024055922,0.021498621,0.080171359,0.142309797,0.123872413,0.108426339,0.247171168,0.195218104
Sensor12,0.011884963,0.015625,0.017923782,0.015952381,0.022087418,0.021498621,0.028603485,0.061524579,0.125710534,0.033649554,0.079082271,0.189249876
