,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.009926541395991846,0.012170572959911582,0.0,0.007115035735130047,0.00871505558952525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.030727851021912982,0.0027117222272745856,0.0,0.01653317277366279,0.0021846392651908944,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.002466834252893699,0.03267828716582518,0.0,0.0019876742554655546,0.01736897396977534,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.002538093698829572,0.002828771001843067,0.0,0.01972631649467866,0.027896762339860062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.004589633132596726,0.0011669154064773827,0.0011265627717933814,0.16658114676161367,0.004408454217828631,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0010635477987843282,0.00467782544524778,0.0,0.003829865249578584,0.1880577139343445,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.01972631649467866,0.027896762339860062,0.0,0.002538093698829572,0.002828771001843067,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0011265627717933814,0.16658114676161367,0.004408454217828631,0.0,0.004589633132596726,0.0011669154064773827
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003829865249578584,0.1880577139343445,0.0,0.0010635477987843282,0.00467782544524778
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.007115035735130047,0.00871505558952525,0.0,0.009926541395991846,0.012170572959911582,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01653317277366279,0.0021846392651908944,0.0,0.030727851021912982,0.0027117222272745856
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019876742554655546,0.01736897396977534,0.0,0.002466834252893699,0.03267828716582518
