,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.030727851021912982,0.0027117222272745856,0.0,0.01653317277366279,0.0021846392651908944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0027117222272745856,0.030727851021912982,0.0,0.0021846392651908944,0.01653317277366279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.010743045312968148,0.010743045312968148,0.0,0.007905137167987243,0.007905137167987243,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.004589633132596726,0.0011669154064773827,0.0,0.16658114676161367,0.004408454217828631,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0011669154064773827,0.004589633132596726,0.0,0.004408454217828631,0.16658114676161367,0.0011265627717933814,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0026832930384729525,0.0026832930384729525,0.0,0.023504505075053472,0.023504505075053472,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.16658114676161367,0.004408454217828631,0.0,0.004589633132596726,0.0011669154064773827,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.004408454217828631,0.16658114676161367,0.0011265627717933814,0.0011669154064773827,0.004589633132596726,0.0
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023504505075053472,0.023504505075053472,0.0,0.0026832930384729525,0.0026832930384729525
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.01653317277366279,0.0021846392651908944,0.0,0.030727851021912982,0.0027117222272745856,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0021846392651908944,0.01653317277366279,0.0,0.0027117222272745856,0.030727851021912982,0.0
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007905137167987243,0.007905137167987243,0.0,0.010743045312968148,0.010743045312968148
