,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.003023462518963722,0.0037186086399011997,0.0,0.018101447528457455,0.024185582660079058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.005737539748894311,0.0013804943313727696,0.0010810089012307784,0.12773095499743428,0.004143032811857502,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0012605346343113185,0.005908571717311155,0.0,0.0035934499929405226,0.14633089844839295,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.0,0.0,0.0,0.01972631649467866,0.027896762339860062,0.0,0.0021074289937913163,0.002347659484763491,0.0,0.0,0.0,0.0
Sensor5,0.0,0.001251427416749356,0.0,0.0011265627717933814,0.16658114676161367,0.004408454217828631,0.0,0.0037186086399011997,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.0012752286727218223,0.0,0.003829865249578584,0.1880577139343445,0.0,0.0,0.003829865249578584,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.008811808687712738,0.010011512717178568,0.0,0.008811808687712738,0.010011512717178568,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022279628646347208,0.002448387730854724,0.0,0.022279628646347208,0.002448387730854724
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002227632648768838,0.023504505075053472,0.0,0.002227632648768838,0.023504505075053472
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0021074289937913163,0.002347659484763491,0.0,0.02191284720595591,0.030727851021912982,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037186086399011997,0.0,0.0011601041717048048,0.20066134665748284,0.004606704005639011
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003829865249578584,0.0,0.004006260540792338,0.2246649278769449
