,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.005737539748894311,0.0013804943313727696,0.0,0.12773095499743428,0.004143032811857502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0013804943313727696,0.005737539748894311,0.0,0.004143032811857502,0.12773095499743428,0.0010810089012307784,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.003431746507930578,0.003431746507930578,0.0,0.020338084995069377,0.020338084995069377,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.001251427416749356,0.0,0.0,0.16658114676161367,0.004408454217828631,0.0,0.0037186086399011997,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.001251427416749356,0.0,0.004408454217828631,0.16658114676161367,0.0011265627717933814,0.0,0.0037186086399011997,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.0,0.0,0.023504505075053472,0.023504505075053472,0.0,0.002227632648768838,0.002227632648768838,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.022279628646347208,0.002448387730854724,0.0,0.022279628646347208,0.002448387730854724,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.002448387730854724,0.022279628646347208,0.0,0.002448387730854724,0.022279628646347208,0.0
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00929337902029684,0.00929337902029684,0.0,0.00929337902029684,0.00929337902029684
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0037186086399011997,0.0,0.0,0.20066134665748284,0.004606704005639011,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037186086399011997,0.0,0.004606704005639011,0.20066134665748284,0.0011601041717048048
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002227632648768838,0.002227632648768838,0.0,0.025492388949569483,0.025492388949569483
