,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.0013804943313727696,0.006056881914380403,0.0,0.004143032811857502,0.16050301342359055,0.0010810089012307784,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.003023462518963722,0.003023462518963722,0.0,0.018101447528457455,0.018101447528457455,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0,0.005908571717311155,0.0,0.0,0.14633089844839295,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.0,0.001295683113852956,0.0,0.004408454217828631,0.20725967599464298,0.0011265627717933814,0.0,0.003926084100728859,0.0,0.0,0.0,0.0
Sensor5,0.0,0.0,0.0,0.0,0.01972631649467866,0.01972631649467866,0.0,0.0021074289937913163,0.0021074289937913163,0.0,0.0,0.0
Sensor6,0.0,0.0,0.0012752286727218223,0.0,0.0,0.1880577139343445,0.0,0.0,0.003829865249578584,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.002448387730854724,0.024581774566205316,0.0,0.002448387730854724,0.024581774566205316,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008811808687712738,0.008811808687712738,0.0,0.008811808687712738,0.008811808687712738
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023504505075053472,0.0,0.0,0.023504505075053472
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003926084100728859,0.0,0.004606704005639011,0.23636926903732156,0.0011601041717048048
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021074289937913163,0.0021074289937913163,0.0,0.02191284720595591,0.02191284720595591
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003829865249578584,0.0,0.0,0.2246649278769449
