,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.0038402221494774932,0.12076407081306569,0.0,0.0028343366036214014,0.057241990400017546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.0232971117520552,0.0232971117520552,0.0,0.013614882927564579,0.013614882927564579,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0,0.11474547434892905,0.0,0.0,0.05440140843988724,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.001209247389011276,0.008084091647813154,0.0,0.006586547021332742,0.25107212204622925,0.001165005362944208,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.0035060070223377465,0.0035060070223377465,0.0,0.06708773720957216,0.06708773720957216,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.007855323047180982,0.0,0.0,0.2430250428298743,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.006586547021332742,0.25107212204622925,0.001165005362944208,0.001209247389011276,0.008084091647813154,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06708773720957216,0.06708773720957216,0.0,0.0035060070223377465,0.0035060070223377465
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2430250428298743,0.0,0.0,0.007855323047180982
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0028343366036214014,0.057241990400017546,0.0,0.0038402221494774932,0.12076407081306569,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013614882927564579,0.013614882927564579,0.0,0.0232971117520552,0.0232971117520552
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05440140843988724,0.0,0.0,0.11474547434892905
