,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.24814935893589526,0.0069101552875017735,0.0,0.0054114625776853975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0069101552875017735,0.24814935893589526,0.0012017787001991614,0.0,0.0054114625776853975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.09094183424346813,0.09094183424346813,0.0,0.002922228306745475,0.002922228306745475,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.07548134627277663,0.003375629659039006,0.0,0.07548134627277663,0.003375629659039006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.003375629659039006,0.07548134627277663,0.0,0.003375629659039006,0.07548134627277663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.020177996021873618,0.020177996021873618,0.0,0.020177996021873618,0.020177996021873618,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0054114625776853975,0.0,0.0,0.2341228020892069,0.006586547021332742,0.0,0.0013019478722658918,0.0,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0054114625776853975,0.0,0.006586547021332742,0.2341228020892069,0.001165005362944208,0.0,0.0013019478722658918,0.0
Sensor9,0.0,0.0,0.0,0.0,0.002922228306745475,0.002922228306745475,0.0,0.08023838370879512,0.08023838370879512,0.0,0.0,0.0
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.2204053550073025,0.0061535787780255605,0.0,0.010965630558851207,0.0013319124224320429,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0061535787780255605,0.2204053550073025,0.0011150775225747583,0.0013319124224320429,0.010965630558851207,0.0
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07006887667985963,0.07006887667985963,0.0,0.004992586189644651,0.004992586189644651
