,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.0069101552875017735,0.2622658311073109,0.0012017787001991614,0.0,0.005714427357332889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.07405758986876813,0.07405758986876813,0.0,0.002494468274436003,0.002494468274436003,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0,0.258195867565922,0.0,0.0,0.005573923470028116,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.003375629659039006,0.08679111602967478,0.0,0.003375629659039006,0.08679111602967478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.017612597823533322,0.017612597823533322,0.0,0.017612597823533322,0.017612597823533322,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.08023838370879512,0.0,0.0,0.08023838370879512,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.005714427357332889,0.0,0.006586547021332742,0.25107212204622925,0.001165005362944208,0.0,0.0012663835659940611,0.0
Sensor8,0.0,0.0,0.0,0.0,0.002494468274436003,0.002494468274436003,0.0,0.06708773720957216,0.06708773720957216,0.0,0.0,0.0
Sensor9,0.0,0.0,0.0,0.0,0.0,0.005573923470028116,0.0,0.0,0.2430250428298743,0.0,0.0,0.0012505510708610732
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0061535787780255605,0.23146034880141184,0.0011150775225747583,0.0013319124224320429,0.011803351534643987,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057241990400017546,0.057241990400017546,0.0,0.00452180982610953,0.00452180982610953
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22721644151817,0.0,0.0,0.01141403451324968
