,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20
Sensor1,0.20212141655925697,0.1527862221835127,0.04649191053630953,0.014157721251824244,0.25408732272936363,0.19007055598133218,0.05067843627448925,0.015066957573217932,0.0911251450878764,0.0754791459895333,0.031122901827244625,0.01124799891949022,0.024239315739868372,0.021891957391957494,0.012264546757063082,0.006634858590711056,0.008580208010594155,0.008080589880057365,0.005681746226999106,0.0034068774390829696
Sensor2,0.08119088901649826,0.20212141655925697,0.14128716771034758,0.04649191053630953,0.09486624813956242,0.25408732272936363,0.17415624220465653,0.05067843627448925,0.0500155562071341,0.0911251450878764,0.07159741012328717,0.031122901827244625,0.016268327227113723,0.024239315739868372,0.021253874327251225,0.012264546757063082,0.006891401792278671,0.008580208010594155,0.007939137134182126,0.005681746226999106
Sensor3,0.024462423962798033,0.07736951762728193,0.20409481333798593,0.14701445524585285,0.026652930258985973,0.09000349725828788,0.2587390732112116,0.1820395692127574,0.017232068115227914,0.04811706882158725,0.09211512895244695,0.07355209753436671,0.009206508948858735,0.01592205406494215,0.02437706940990905,0.021578251313245454,0.004420494564262519,0.006793495888620689,0.008608573036261735,0.008011363585017264
Sensor4,0.10269209123421522,0.08298509931050667,0.032726260388558644,0.01165187163516852,0.2643677888446596,0.19694356286784903,0.051533693720069634,0.015207022386999596,0.18540924671401227,0.14188882947079712,0.04465958490162632,0.013855802142723611,0.0500155562071341,0.04333118177710139,0.02074314994580557,0.009390500864888886,0.014488554720350143,0.01342944614552525,0.009272122571978408,0.0050946206980989955
Sensor5,0.052284837233108394,0.10269209123421522,0.07849178942182716,0.032726260388558644,0.09716150693171927,0.2643677888446596,0.18006729247664183,0.051533693720069634,0.07707835966837809,0.18540924671401227,0.13316043339219621,0.04465958490162632,0.030757953528429364,0.0500155562071341,0.04158841046631894,0.02074314994580557,0.011023283255718356,0.014488554720350143,0.01313481940257071,0.009272122571978408
Sensor6,0.018793789189974538,0.050348488487435436,0.1039262573761008,0.08075183712935431,0.026996760683794245,0.09211512895244695,0.26950779555843,0.18841652080118204,0.023750880083181155,0.07355209753436671,0.18841652080118204,0.13676034125644784,0.012791866813703225,0.029829909154572707,0.05042142863774878,0.04247046627588502,0.0067750819483028595,0.010832267990775192,0.014549553195914193,0.013284970409925453
Sensor7,0.009331032153927703,0.008765981504111509,0.006083603939567499,0.003590733596327276,0.026836304389331156,0.02411318977324891,0.01313481940257071,0.006986610356751681,0.0911251450878764,0.0754791459895333,0.031122901827244625,0.01124799891949022,0.2643677888446596,0.19694356286784903,0.051533693720069634,0.015207022386999596,0.18540924671401227,0.14188882947079712,0.04465958490162632,0.013855802142723611
Sensor8,0.007429689227136216,0.009331032153927703,0.008606386158058407,0.006083603939567499,0.018361445856577258,0.026836304389331156,0.023376653045620227,0.01313481940257071,0.0500155562071341,0.0911251450878764,0.07159741012328717,0.031122901827244625,0.09716150693171927,0.2643677888446596,0.18006729247664183,0.051533693720069634,0.07707835966837809,0.18540924671401227,0.13316043339219621,0.04465958490162632
Sensor9,0.004695543125607822,0.007320232467764015,0.009363174517371413,0.008687854997085976,0.009186413692360753,0.017232068115227914,0.026996760683794245,0.023750880083181155,0.017232068115227914,0.04811706882158725,0.09211512895244695,0.07355209753436671,0.026996760683794245,0.09211512895244695,0.26950779555843,0.18841652080118204,0.023750880083181155,0.07355209753436671,0.18841652080118204,0.13676034125644784
Sensor10,0.005330973526719793,0.005082615299209686,0.0037142490374796515,0.002493020357747583,0.013280877669979653,0.012351917503989172,0.008632683400939407,0.004828789384502113,0.04486941983103971,0.03916661476471903,0.01931644916134683,0.008957808093246405,0.1693442370943298,0.13259749491469425,0.042738166169580774,0.013529915155263934,0.27239193646394116,0.20212141655925697,0.05215846474425606,0.01530829678930227
Sensor11,0.004472067215498436,0.005330973526719793,0.005011458345306196,0.0037142490374796515,0.010222765277312931,0.013280877669979653,0.01209262990064329,0.008632683400939407,0.02821418163181012,0.04486941983103971,0.037668712988192604,0.01931644916134683,0.07285589767134193,0.1693442370943298,0.12307204505694938,0.042738166169580774,0.09885503734521138,0.27239193646394116,0.1845003579545678,0.05215846474425606
Sensor12,0.0030278247876676587,0.004420494564262519,0.005344938076935887,0.005047838799970794,0.006371255176375521,0.010052567363404846,0.013334234808952797,0.012224818864589319,0.01212458108916718,0.0273979032647692,0.04521360086566019,0.03842742380211496,0.02299166803926361,0.06962368105704837,0.17192269838080818,0.12782759613403208,0.027246435477898047,0.09367157041622631,0.27800434995566864,0.19320929392093658
