,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20
Sensor1,0.1845003579545678,0.27920197948751374,0.09885503734521138,0.02869708049939649,0.12307204505694938,0.17415624220465653,0.07285589767134193,0.02411318977324891,0.037668712988192604,0.045507964552727924,0.02821418163181012,0.012529553668906181,0.01209262990064329,0.013379640834502774,0.010222765277312931,0.006529243384759918,0.005011458345306196,0.005356796760896632,0.004472067215498436,0.0030791822902728463
Sensor2,0.05215846474425606,0.1845003579545678,0.27239193646394116,0.09885503734521138,0.042738166169580774,0.12307204505694938,0.1693442370943298,0.07285589767134193,0.01931644916134683,0.037668712988192604,0.04486941983103971,0.02821418163181012,0.008632683400939407,0.01209262990064329,0.013280877669979653,0.010222765277312931,0.0037142490374796515,0.005011458345306196,0.005330973526719793,0.004472067215498436
Sensor3,0.014644170157057311,0.05105566849552814,0.19320929392093658,0.27800434995566864,0.012979356477450856,0.04068836090396254,0.12782759613403208,0.17192269838080818,0.008652484923502493,0.018678927133853794,0.03842742380211496,0.04521360086566019,0.004706214226425563,0.008444698465368841,0.012224818864589319,0.013334234808952797,0.002447592623711554,0.003660804594509927,0.005047838799970794,0.005344938076935887
Sensor4,0.13316043339219621,0.19102693348922006,0.07707835966837809,0.024928959309807198,0.18006729247664183,0.27408112221020736,0.09716150693171927,0.028427289281549174,0.07159741012328717,0.09296609021530802,0.0500155562071341,0.018700383691219215,0.023376653045620227,0.027133655862395963,0.018361445856577258,0.00944979895748883,0.008606386158058407,0.009390500864888886,0.007429689227136216,0.004795642815576738
Sensor5,0.04465958490162632,0.13316043339219621,0.18540924671401227,0.07707835966837809,0.051533693720069634,0.18006729247664183,0.2643677888446596,0.09716150693171927,0.031122901827244625,0.07159741012328717,0.0911251450878764,0.0500155562071341,0.01313481940257071,0.023376653045620227,0.026836304389331156,0.018361445856577258,0.006083603939567499,0.008606386158058407,0.009331032153927703,0.007429689227136216
Sensor6,0.013284970409925453,0.04247046627588502,0.13676034125644784,0.18841652080118204,0.014549553195914193,0.05042142863774878,0.18841652080118204,0.26950779555843,0.010832267990775192,0.029829909154572707,0.07355209753436671,0.09211512895244695,0.0067750819483028595,0.012791866813703225,0.023750880083181155,0.026996760683794245,0.0035123575550757655,0.005971644943086605,0.008687854997085976,0.009363174517371413
Sensor7,0.01313481940257071,0.014601475929245556,0.011023283255718356,0.006948293459101294,0.04158841046631894,0.05076877240301466,0.030757953528429364,0.013231915507308574,0.13316043339219621,0.19102693348922006,0.07707835966837809,0.024928959309807198,0.18006729247664183,0.27408112221020736,0.09716150693171927,0.028427289281549174,0.07849178942182716,0.10498865665886913,0.052284837233108394,0.019620530360510764
Sensor8,0.009272122571978408,0.01313481940257071,0.014488554720350143,0.011023283255718356,0.02074314994580557,0.04158841046631894,0.0500155562071341,0.030757953528429364,0.04465958490162632,0.13316043339219621,0.18540924671401227,0.07707835966837809,0.051533693720069634,0.18006729247664183,0.2643677888446596,0.09716150693171927,0.032726260388558644,0.07849178942182716,0.10269209123421522,0.052284837233108394
Sensor9,0.004961947869764755,0.009063153929430414,0.013284970409925453,0.014549553195914193,0.009063153929430414,0.0200345864959264,0.04247046627588502,0.05042142863774878,0.013284970409925453,0.04247046627588502,0.13676034125644784,0.18841652080118204,0.014549553195914193,0.05042142863774878,0.18841652080118204,0.26950779555843,0.011213214005453177,0.03169837118281097,0.08075183712935431,0.1039262573761008
Sensor10,0.007939137134182126,0.008632683400939407,0.006891401792278671,0.00451196315984647,0.021253874327251225,0.024494547251735273,0.016268327227113723,0.009480767822568582,0.07159741012328717,0.09296609021530802,0.0500155562071341,0.018700383691219215,0.17415624220465653,0.26283718253397115,0.09486624813956242,0.028055916896754438,0.14128716771034758,0.206998208133395,0.08119088901649826,0.025694379398197766
Sensor11,0.005681746226999106,0.007939137134182126,0.008580208010594155,0.006891401792278671,0.012264546757063082,0.021253874327251225,0.024239315739868372,0.016268327227113723,0.031122901827244625,0.07159741012328717,0.0911251450878764,0.0500155562071341,0.05067843627448925,0.17415624220465653,0.25408732272936363,0.09486624813956242,0.04649191053630953,0.14128716771034758,0.20212141655925697,0.08119088901649826
Sensor12,0.0033344211534394527,0.005580561802618692,0.008011363585017264,0.008608573036261735,0.006438868688115732,0.011955658912469781,0.021578251313245454,0.02437706940990905,0.010832267990775192,0.029829909154572707,0.07355209753436671,0.09211512895244695,0.014418658632160733,0.04955336573161863,0.1820395692127574,0.2587390732112116,0.013567888962087167,0.04416714398645146,0.14701445524585285,0.20409481333798593
