,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.14128716771034758,0.1527862221835127,0.025694379398197766,0.12307204505694938,0.13259749491469425,0.02411318977324891,0.021253874327251225,0.021891957391957494,0.009480767822568582,0.005011458345306196,0.005082615299209686,0.0030791822902728463
Sensor2,0.04649191053630953,0.20212141655925697,0.08119088901649826,0.042738166169580774,0.1693442370943298,0.07285589767134193,0.012264546757063082,0.024239315739868372,0.016268327227113723,0.0037142490374796515,0.005330973526719793,0.004472067215498436
Sensor3,0.013567888962087167,0.07736951762728193,0.20409481333798593,0.012979356477450856,0.06962368105704837,0.17192269838080818,0.006438868688115732,0.01592205406494215,0.02437706940990905,0.002447592623711554,0.004420494564262519,0.005344938076935887
Sensor4,0.07849178942182716,0.08298509931050667,0.019620530360510764,0.18006729247664183,0.19694356286784903,0.028427289281549174,0.04158841046631894,0.04333118177710139,0.013231915507308574,0.008606386158058407,0.008765981504111509,0.004795642815576738
Sensor5,0.032726260388558644,0.10269209123421522,0.052284837233108394,0.051533693720069634,0.2643677888446596,0.09716150693171927,0.02074314994580557,0.0500155562071341,0.030757953528429364,0.006083603939567499,0.009331032153927703,0.007429689227136216
Sensor6,0.011213214005453177,0.050348488487435436,0.1039262573761008,0.014549553195914193,0.09211512895244695,0.26950779555843,0.009063153929430414,0.029829909154572707,0.05042142863774878,0.0035123575550757655,0.007320232467764015,0.009363174517371413
Sensor7,0.008606386158058407,0.008765981504111509,0.004795642815576738,0.04158841046631894,0.04333118177710139,0.013231915507308574,0.18006729247664183,0.19694356286784903,0.028427289281549174,0.07849178942182716,0.08298509931050667,0.019620530360510764
Sensor8,0.006083603939567499,0.009331032153927703,0.007429689227136216,0.02074314994580557,0.0500155562071341,0.030757953528429364,0.051533693720069634,0.2643677888446596,0.09716150693171927,0.032726260388558644,0.10269209123421522,0.052284837233108394
Sensor9,0.0035123575550757655,0.007320232467764015,0.009363174517371413,0.009063153929430414,0.029829909154572707,0.05042142863774878,0.014549553195914193,0.09211512895244695,0.26950779555843,0.011213214005453177,0.050348488487435436,0.1039262573761008
Sensor10,0.005011458345306196,0.005082615299209686,0.0030791822902728463,0.021253874327251225,0.021891957391957494,0.009480767822568582,0.12307204505694938,0.13259749491469425,0.02411318977324891,0.14128716771034758,0.1527862221835127,0.025694379398197766
Sensor11,0.0037142490374796515,0.005330973526719793,0.004472067215498436,0.012264546757063082,0.024239315739868372,0.016268327227113723,0.042738166169580774,0.1693442370943298,0.07285589767134193,0.04649191053630953,0.20212141655925697,0.08119088901649826
Sensor12,0.002447592623711554,0.004420494564262519,0.005344938076935887,0.006438868688115732,0.01592205406494215,0.02437706940990905,0.012979356477450856,0.06962368105704837,0.17192269838080818,0.013567888962087167,0.07736951762728193,0.20409481333798593
