,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.20212141655925697,0.08119088901649826,0.014157721251824244,0.1693442370943298,0.07285589767134193,0.013529915155263934,0.024239315739868372,0.016268327227113723,0.006634858590711056,0.005330973526719793,0.004472067215498436,0.002493020357747583
Sensor2,0.08119088901649826,0.20212141655925697,0.04649191053630953,0.07285589767134193,0.1693442370943298,0.042738166169580774,0.016268327227113723,0.024239315739868372,0.012264546757063082,0.004472067215498436,0.005330973526719793,0.0037142490374796515
Sensor3,0.024462423962798033,0.14701445524585285,0.14701445524585285,0.02299166803926361,0.12782759613403208,0.12782759613403208,0.009206508948858735,0.021578251313245454,0.021578251313245454,0.0030278247876676587,0.005047838799970794,0.005047838799970794
Sensor4,0.10269209123421522,0.052284837233108394,0.01165187163516852,0.2643677888446596,0.09716150693171927,0.015207022386999596,0.0500155562071341,0.030757953528429364,0.009390500864888886,0.009331032153927703,0.007429689227136216,0.003590733596327276
Sensor5,0.052284837233108394,0.10269209123421522,0.032726260388558644,0.09716150693171927,0.2643677888446596,0.051533693720069634,0.030757953528429364,0.0500155562071341,0.02074314994580557,0.007429689227136216,0.009331032153927703,0.006083603939567499
Sensor6,0.018793789189974538,0.08075183712935431,0.08075183712935431,0.026996760683794245,0.18841652080118204,0.18841652080118204,0.012791866813703225,0.04247046627588502,0.04247046627588502,0.004695543125607822,0.008687854997085976,0.008687854997085976
Sensor7,0.009331032153927703,0.007429689227136216,0.003590733596327276,0.0500155562071341,0.030757953528429364,0.009390500864888886,0.2643677888446596,0.09716150693171927,0.015207022386999596,0.10269209123421522,0.052284837233108394,0.01165187163516852
Sensor8,0.007429689227136216,0.009331032153927703,0.006083603939567499,0.030757953528429364,0.0500155562071341,0.02074314994580557,0.09716150693171927,0.2643677888446596,0.051533693720069634,0.052284837233108394,0.10269209123421522,0.032726260388558644
Sensor9,0.004695543125607822,0.008687854997085976,0.008687854997085976,0.012791866813703225,0.04247046627588502,0.04247046627588502,0.026996760683794245,0.18841652080118204,0.18841652080118204,0.018793789189974538,0.08075183712935431,0.08075183712935431
Sensor10,0.005330973526719793,0.004472067215498436,0.002493020357747583,0.024239315739868372,0.016268327227113723,0.006634858590711056,0.1693442370943298,0.07285589767134193,0.013529915155263934,0.20212141655925697,0.08119088901649826,0.014157721251824244
Sensor11,0.004472067215498436,0.005330973526719793,0.0037142490374796515,0.016268327227113723,0.024239315739868372,0.012264546757063082,0.07285589767134193,0.1693442370943298,0.042738166169580774,0.08119088901649826,0.20212141655925697,0.04649191053630953
Sensor12,0.0030278247876676587,0.005047838799970794,0.005047838799970794,0.009206508948858735,0.021578251313245454,0.021578251313245454,0.02299166803926361,0.12782759613403208,0.12782759613403208,0.024462423962798033,0.14701445524585285,0.14701445524585285
