,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.08119088901649826,0.206998208133395,0.04649191053630953,0.07285589767134193,0.17415624220465653,0.042738166169580774,0.016268327227113723,0.024494547251735273,0.012264546757063082,0.004472067215498436,0.005356796760896632,0.0037142490374796515
Sensor2,0.025694379398197766,0.14128716771034758,0.14128716771034758,0.02411318977324891,0.12307204505694938,0.12307204505694938,0.009480767822568582,0.021253874327251225,0.021253874327251225,0.0030791822902728463,0.005011458345306196,0.005011458345306196
Sensor3,0.00884060568574333,0.04416714398645146,0.20409481333798593,0.008521738919229093,0.04068836090396254,0.17192269838080818,0.004499439046364517,0.011955658912469781,0.02437706940990905,0.0019499007615104143,0.003660804594509927,0.005344938076935887
Sensor4,0.052284837233108394,0.10498865665886913,0.032726260388558644,0.09716150693171927,0.27408112221020736,0.051533693720069634,0.030757953528429364,0.05076877240301466,0.02074314994580557,0.007429689227136216,0.009390500864888886,0.006083603939567499
Sensor5,0.019620530360510764,0.07849178942182716,0.07849178942182716,0.028427289281549174,0.18006729247664183,0.18006729247664183,0.013231915507308574,0.04158841046631894,0.04158841046631894,0.004795642815576738,0.008606386158058407,0.008606386158058407
Sensor6,0.007538008552601241,0.03169837118281097,0.1039262573761008,0.009363174517371413,0.05042142863774878,0.26950779555843,0.005971644943086605,0.0200345864959264,0.05042142863774878,0.00268229273812335,0.005971644943086605,0.009363174517371413
Sensor7,0.007429689227136216,0.009390500864888886,0.006083603939567499,0.030757953528429364,0.05076877240301466,0.02074314994580557,0.09716150693171927,0.27408112221020736,0.051533693720069634,0.052284837233108394,0.10498865665886913,0.032726260388558644
Sensor8,0.004795642815576738,0.008606386158058407,0.008606386158058407,0.013231915507308574,0.04158841046631894,0.04158841046631894,0.028427289281549174,0.18006729247664183,0.18006729247664183,0.019620530360510764,0.07849178942182716,0.07849178942182716
Sensor9,0.00268229273812335,0.005971644943086605,0.009363174517371413,0.005971644943086605,0.0200345864959264,0.05042142863774878,0.009363174517371413,0.05042142863774878,0.26950779555843,0.007538008552601241,0.03169837118281097,0.1039262573761008
Sensor10,0.004472067215498436,0.005356796760896632,0.0037142490374796515,0.016268327227113723,0.024494547251735273,0.012264546757063082,0.07285589767134193,0.17415624220465653,0.042738166169580774,0.08119088901649826,0.206998208133395,0.04649191053630953
Sensor11,0.0030791822902728463,0.005011458345306196,0.005011458345306196,0.009480767822568582,0.021253874327251225,0.021253874327251225,0.02411318977324891,0.12307204505694938,0.12307204505694938,0.025694379398197766,0.14128716771034758,0.14128716771034758
Sensor12,0.0019499007615104143,0.003660804594509927,0.005344938076935887,0.004499439046364517,0.011955658912469781,0.02437706940990905,0.008521738919229093,0.04068836090396254,0.17192269838080818,0.00884060568574333,0.04416714398645146,0.20409481333798593
