,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.08593305299654565,0.0911251450878764,0.02054398709142289,0.17415624220465653,0.19007055598133218,0.028055916896754438,0.037668712988192604,0.03916661476471903,0.012529553668906181,0.007939137134182126,0.008080589880057365,0.00451196315984647
Sensor2,0.03470646552465389,0.11457739447490585,0.05616826519517794,0.05067843627448925,0.25408732272936363,0.09486624813956242,0.01931644916134683,0.04486941983103971,0.02821418163181012,0.005681746226999106,0.008580208010594155,0.006891401792278671
Sensor3,0.011588555195116701,0.054005412287588477,0.11604200485543173,0.014418658632160733,0.09000349725828788,0.2587390732112116,0.008652484923502493,0.0273979032647692,0.04521360086566019,0.0033344211534394527,0.006793495888620689,0.008608573036261735
Sensor4,0.04594134044758582,0.0479710928334503,0.013961222806933111,0.18006729247664183,0.19694356286784903,0.028427289281549174,0.07159741012328717,0.0754791459895333,0.018700383691219215,0.01313481940257071,0.01342944614552525,0.006948293459101294
Sensor5,0.02225890381999857,0.05383934504681685,0.033121690495542644,0.051533693720069634,0.2643677888446596,0.09716150693171927,0.031122901827244625,0.0911251450878764,0.0500155562071341,0.009272122571978408,0.014488554720350143,0.011023283255718356
Sensor6,0.009483293657945062,0.03209874527305569,0.054272787883936205,0.014549553195914193,0.09211512895244695,0.26950779555843,0.010832267990775192,0.04811706882158725,0.09211512895244695,0.004961947869764755,0.010832267990775192,0.014549553195914193
Sensor7,0.005395881735311668,0.005475334524259091,0.003261188610150404,0.023376653045620227,0.02411318977324891,0.00944979895748883,0.13316043339219621,0.14188882947079712,0.024928959309807198,0.13316043339219621,0.14188882947079712,0.024928959309807198
Sensor8,0.004074383437586931,0.005753126446876779,0.004795642815576738,0.01313481940257071,0.026836304389331156,0.018361445856577258,0.04465958490162632,0.18540924671401227,0.07707835966837809,0.04465958490162632,0.18540924671401227,0.07707835966837809
Sensor9,0.002575893469759655,0.004738444694608766,0.0057687678820847925,0.0067750819483028595,0.017232068115227914,0.026996760683794245,0.013284970409925453,0.07355209753436671,0.18841652080118204,0.013284970409925453,0.07355209753436671,0.18841652080118204
Sensor10,0.0032067175032439955,0.003242878131352822,0.0022019712919207593,0.01209262990064329,0.012351917503989172,0.006529243384759918,0.07159741012328717,0.0754791459895333,0.018700383691219215,0.1845003579545678,0.20212141655925697,0.02869708049939649
Sensor11,0.0025769688864575057,0.0033679430255087557,0.0029275929790807246,0.008632683400939407,0.013280877669979653,0.010222765277312931,0.031122901827244625,0.0911251450878764,0.0500155562071341,0.05215846474425606,0.27239193646394116,0.09885503734521138
Sensor12,0.0018106677172962232,0.002900420760080903,0.0033749232357982556,0.004706214226425563,0.010052567363404846,0.013334234808952797,0.010832267990775192,0.04811706882158725,0.09211512895244695,0.014644170157057311,0.09367157041622631,0.27800434995566864
