,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.11457739447490585,0.05616826519517794,0.012050229195489322,0.25408732272936363,0.09486624813956242,0.015066957573217932,0.04486941983103971,0.02821418163181012,0.008957808093246405,0.008580208010594155,0.006891401792278671,0.0034068774390829696
Sensor2,0.05616826519517794,0.11457739447490585,0.03470646552465389,0.09486624813956242,0.25408732272936363,0.05067843627448925,0.02821418163181012,0.04486941983103971,0.01931644916134683,0.006891401792278671,0.008580208010594155,0.005681746226999106
Sensor3,0.019659043051103758,0.08854139738936864,0.08854139738936864,0.026652930258985973,0.1820395692127574,0.1820395692127574,0.01212458108916718,0.03842742380211496,0.03842742380211496,0.004420494564262519,0.008011363585017264,0.008011363585017264
Sensor4,0.05383934504681685,0.033121690495542644,0.009230690426865128,0.2643677888446596,0.09716150693171927,0.015207022386999596,0.0911251450878764,0.0500155562071341,0.01124799891949022,0.014488554720350143,0.011023283255718356,0.0050946206980989955
Sensor5,0.033121690495542644,0.05383934504681685,0.02225890381999857,0.09716150693171927,0.2643677888446596,0.051533693720069634,0.0500155562071341,0.0911251450878764,0.031122901827244625,0.011023283255718356,0.014488554720350143,0.009272122571978408
Sensor6,0.01348372402678605,0.04696779434370463,0.04696779434370463,0.026996760683794245,0.18841652080118204,0.18841652080118204,0.017232068115227914,0.07355209753436671,0.07355209753436671,0.0067750819483028595,0.013284970409925453,0.013284970409925453
Sensor7,0.005753126446876779,0.004795642815576738,0.0026249632595197235,0.026836304389331156,0.018361445856577258,0.006986610356751681,0.18540924671401227,0.07707835966837809,0.013855802142723611,0.18540924671401227,0.07707835966837809,0.013855802142723611
Sensor8,0.004795642815576738,0.005753126446876779,0.004074383437586931,0.018361445856577258,0.026836304389331156,0.01313481940257071,0.07707835966837809,0.18540924671401227,0.04465958490162632,0.07707835966837809,0.18540924671401227,0.04465958490162632
Sensor9,0.0032052239769166293,0.005436495911187572,0.005436495911187572,0.009186413692360753,0.023750880083181155,0.023750880083181155,0.023750880083181155,0.13676034125644784,0.13676034125644784,0.023750880083181155,0.13676034125644784,0.13676034125644784
Sensor10,0.0033679430255087557,0.0029275929790807246,0.0018394950106694547,0.013280877669979653,0.010222765277312931,0.004828789384502113,0.0911251450878764,0.0500155562071341,0.01124799891949022,0.27239193646394116,0.09885503734521138,0.01530829678930227
Sensor11,0.0029275929790807246,0.0033679430255087557,0.0025769688864575057,0.010222765277312931,0.013280877669979653,0.008632683400939407,0.0500155562071341,0.0911251450878764,0.031122901827244625,0.09885503734521138,0.27239193646394116,0.05215846474425606
Sensor12,0.002170877959563379,0.003225223952098278,0.003225223952098278,0.006371255176375521,0.012224818864589319,0.012224818864589319,0.017232068115227914,0.07355209753436671,0.07355209753436671,0.027246435477898047,0.19320929392093658,0.19320929392093658
