,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45,Light46,Light47,Light48,Light49,Light50,Light51,Light52,Light53,Light54,Light55,Light56,Light57,Light58,Light59,Light60,Light61,Light62,Light63,Light64,Light65,Light66,Light67,Light68,Light69,Light70,Light71,Light72,Light73,Light74,Light75,Light76,Light77,Light78,Light79,Light80
Sensor1,0.14128716771034758,0.20212141655925697,0.206998208133395,0.1527862221835127,0.08119088901649826,0.04649191053630953,0.025694379398197766,0.014157721251824244,0.1845003579545678,0.27239193646394116,0.27920197948751374,0.20212141655925697,0.09885503734521138,0.05215846474425606,0.02869708049939649,0.01530829678930227,0.17415624220465653,0.25408732272936363,0.26283718253397115,0.19007055598133218,0.09486624813956242,0.05067843627448925,0.028055916896754438,0.015066957573217932,0.12307204505694938,0.1693442370943298,0.17415624220465653,0.13259749491469425,0.07285589767134193,0.042738166169580774,0.02411318977324891,0.013529915155263934,0.07159741012328717,0.0911251450878764,0.09296609021530802,0.0754791459895333,0.0500155562071341,0.031122901827244625,0.018700383691219215,0.01124799891949022,0.037668712988192604,0.04486941983103971,0.045507964552727924,0.03916661476471903,0.02821418163181012,0.01931644916134683,0.012529553668906181,0.008957808093246405,0.021253874327251225,0.024239315739868372,0.024494547251735273,0.021891957391957494,0.016268327227113723,0.012264546757063082,0.009480767822568582,0.006634858590711056,0.01209262990064329,0.013280877669979653,0.013379640834502774,0.012351917503989172,0.010222765277312931,0.008632683400939407,0.006529243384759918,0.004828789384502113,0.007939137134182126,0.008580208010594155,0.008632683400939407,0.008080589880057365,0.006891401792278671,0.005681746226999106,0.00451196315984647,0.0034068774390829696,0.005011458345306196,0.005330973526719793,0.005356796760896632,0.005082615299209686,0.004472067215498436,0.0037142490374796515,0.0030791822902728463,0.002493020357747583
Sensor2,0.04649191053630953,0.08119088901649826,0.14128716771034758,0.20212141655925697,0.20212141655925697,0.14128716771034758,0.08119088901649826,0.04649191053630953,0.05215846474425606,0.09885503734521138,0.1845003579545678,0.27239193646394116,0.27239193646394116,0.1845003579545678,0.09885503734521138,0.05215846474425606,0.05067843627448925,0.09486624813956242,0.17415624220465653,0.25408732272936363,0.25408732272936363,0.17415624220465653,0.09486624813956242,0.05067843627448925,0.042738166169580774,0.07285589767134193,0.12307204505694938,0.1693442370943298,0.1693442370943298,0.12307204505694938,0.07285589767134193,0.042738166169580774,0.031122901827244625,0.0500155562071341,0.07159741012328717,0.0911251450878764,0.0911251450878764,0.07159741012328717,0.0500155562071341,0.031122901827244625,0.01931644916134683,0.02821418163181012,0.037668712988192604,0.04486941983103971,0.04486941983103971,0.037668712988192604,0.02821418163181012,0.01931644916134683,0.012264546757063082,0.016268327227113723,0.021253874327251225,0.024239315739868372,0.024239315739868372,0.021253874327251225,0.016268327227113723,0.012264546757063082,0.008632683400939407,0.010222765277312931,0.01209262990064329,0.013280877669979653,0.013280877669979653,0.01209262990064329,0.010222765277312931,0.008632683400939407,0.005681746226999106,0.006891401792278671,0.007939137134182126,0.008580208010594155,0.008580208010594155,0.007939137134182126,0.006891401792278671,0.005681746226999106,0.0037142490374796515,0.004472067215498436,0.005011458345306196,0.005330973526719793,0.005330973526719793,0.005011458345306196,0.004472067215498436,0.0037142490374796515
Sensor3,0.013567888962087167,0.024462423962798033,0.04416714398645146,0.07736951762728193,0.14701445524585285,0.20409481333798593,0.20409481333798593,0.14701445524585285,0.014644170157057311,0.027246435477898047,0.05105566849552814,0.09367157041622631,0.19320929392093658,0.27800434995566864,0.27800434995566864,0.19320929392093658,0.014418658632160733,0.026652930258985973,0.04955336573161863,0.09000349725828788,0.1820395692127574,0.2587390732112116,0.2587390732112116,0.1820395692127574,0.012979356477450856,0.02299166803926361,0.04068836090396254,0.06962368105704837,0.12782759613403208,0.17192269838080818,0.17192269838080818,0.12782759613403208,0.010832267990775192,0.017232068115227914,0.029829909154572707,0.04811706882158725,0.07355209753436671,0.09211512895244695,0.09211512895244695,0.07355209753436671,0.008652484923502493,0.01212458108916718,0.018678927133853794,0.0273979032647692,0.03842742380211496,0.04521360086566019,0.04521360086566019,0.03842742380211496,0.006438868688115732,0.009206508948858735,0.011955658912469781,0.01592205406494215,0.021578251313245454,0.02437706940990905,0.02437706940990905,0.021578251313245454,0.004706214226425563,0.006371255176375521,0.008444698465368841,0.010052567363404846,0.012224818864589319,0.013334234808952797,0.013334234808952797,0.012224818864589319,0.0033344211534394527,0.004420494564262519,0.005580561802618692,0.006793495888620689,0.008011363585017264,0.008608573036261735,0.008608573036261735,0.008011363585017264,0.002447592623711554,0.0030278247876676587,0.003660804594509927,0.004420494564262519,0.005047838799970794,0.005344938076935887,0.005344938076935887,0.005047838799970794
Sensor4,0.07849178942182716,0.10269209123421522,0.10498865665886913,0.08298509931050667,0.052284837233108394,0.032726260388558644,0.019620530360510764,0.01165187163516852,0.13316043339219621,0.18540924671401227,0.19102693348922006,0.14188882947079712,0.07707835966837809,0.04465958490162632,0.024928959309807198,0.013855802142723611,0.18006729247664183,0.2643677888446596,0.27408112221020736,0.19694356286784903,0.09716150693171927,0.051533693720069634,0.028427289281549174,0.015207022386999596,0.18006729247664183,0.2643677888446596,0.27408112221020736,0.19694356286784903,0.09716150693171927,0.051533693720069634,0.028427289281549174,0.015207022386999596,0.13316043339219621,0.18540924671401227,0.19102693348922006,0.14188882947079712,0.07707835966837809,0.04465958490162632,0.024928959309807198,0.013855802142723611,0.07159741012328717,0.0911251450878764,0.09296609021530802,0.0754791459895333,0.0500155562071341,0.031122901827244625,0.018700383691219215,0.01124799891949022,0.04158841046631894,0.0500155562071341,0.05076877240301466,0.04333118177710139,0.030757953528429364,0.02074314994580557,0.013231915507308574,0.009390500864888886,0.023376653045620227,0.026836304389331156,0.027133655862395963,0.02411318977324891,0.018361445856577258,0.01313481940257071,0.00944979895748883,0.006986610356751681,0.01313481940257071,0.014488554720350143,0.014601475929245556,0.01342944614552525,0.011023283255718356,0.009272122571978408,0.006948293459101294,0.0050946206980989955,0.008606386158058407,0.009331032153927703,0.009390500864888886,0.008765981504111509,0.007429689227136216,0.006083603939567499,0.004795642815576738,0.003590733596327276
Sensor5,0.032726260388558644,0.052284837233108394,0.07849178942182716,0.10269209123421522,0.10269209123421522,0.07849178942182716,0.052284837233108394,0.032726260388558644,0.04465958490162632,0.07707835966837809,0.13316043339219621,0.18540924671401227,0.18540924671401227,0.13316043339219621,0.07707835966837809,0.04465958490162632,0.051533693720069634,0.09716150693171927,0.18006729247664183,0.2643677888446596,0.2643677888446596,0.18006729247664183,0.09716150693171927,0.051533693720069634,0.051533693720069634,0.09716150693171927,0.18006729247664183,0.2643677888446596,0.2643677888446596,0.18006729247664183,0.09716150693171927,0.051533693720069634,0.04465958490162632,0.07707835966837809,0.13316043339219621,0.18540924671401227,0.18540924671401227,0.13316043339219621,0.07707835966837809,0.04465958490162632,0.031122901827244625,0.0500155562071341,0.07159741012328717,0.0911251450878764,0.0911251450878764,0.07159741012328717,0.0500155562071341,0.031122901827244625,0.02074314994580557,0.030757953528429364,0.04158841046631894,0.0500155562071341,0.0500155562071341,0.04158841046631894,0.030757953528429364,0.02074314994580557,0.01313481940257071,0.018361445856577258,0.023376653045620227,0.026836304389331156,0.026836304389331156,0.023376653045620227,0.018361445856577258,0.01313481940257071,0.009272122571978408,0.011023283255718356,0.01313481940257071,0.014488554720350143,0.014488554720350143,0.01313481940257071,0.011023283255718356,0.009272122571978408,0.006083603939567499,0.007429689227136216,0.008606386158058407,0.009331032153927703,0.009331032153927703,0.008606386158058407,0.007429689227136216,0.006083603939567499
Sensor6,0.011213214005453177,0.018793789189974538,0.03169837118281097,0.050348488487435436,0.08075183712935431,0.1039262573761008,0.1039262573761008,0.08075183712935431,0.013284970409925453,0.023750880083181155,0.04247046627588502,0.07355209753436671,0.13676034125644784,0.18841652080118204,0.18841652080118204,0.13676034125644784,0.014549553195914193,0.026996760683794245,0.05042142863774878,0.09211512895244695,0.18841652080118204,0.26950779555843,0.26950779555843,0.18841652080118204,0.014549553195914193,0.026996760683794245,0.05042142863774878,0.09211512895244695,0.18841652080118204,0.26950779555843,0.26950779555843,0.18841652080118204,0.013284970409925453,0.023750880083181155,0.04247046627588502,0.07355209753436671,0.13676034125644784,0.18841652080118204,0.18841652080118204,0.13676034125644784,0.010832267990775192,0.017232068115227914,0.029829909154572707,0.04811706882158725,0.07355209753436671,0.09211512895244695,0.09211512895244695,0.07355209753436671,0.009063153929430414,0.012791866813703225,0.0200345864959264,0.029829909154572707,0.04247046627588502,0.05042142863774878,0.05042142863774878,0.04247046627588502,0.0067750819483028595,0.009186413692360753,0.012791866813703225,0.017232068115227914,0.023750880083181155,0.026996760683794245,0.026996760683794245,0.023750880083181155,0.004961947869764755,0.0067750819483028595,0.009063153929430414,0.010832267990775192,0.013284970409925453,0.014549553195914193,0.014549553195914193,0.013284970409925453,0.0035123575550757655,0.004695543125607822,0.005971644943086605,0.007320232467764015,0.008687854997085976,0.009363174517371413,0.009363174517371413,0.008687854997085976
Sensor7,0.008606386158058407,0.009331032153927703,0.009390500864888886,0.008765981504111509,0.007429689227136216,0.006083603939567499,0.004795642815576738,0.003590733596327276,0.01313481940257071,0.014488554720350143,0.014601475929245556,0.01342944614552525,0.011023283255718356,0.009272122571978408,0.006948293459101294,0.0050946206980989955,0.023376653045620227,0.026836304389331156,0.027133655862395963,0.02411318977324891,0.018361445856577258,0.01313481940257071,0.00944979895748883,0.006986610356751681,0.04158841046631894,0.0500155562071341,0.05076877240301466,0.04333118177710139,0.030757953528429364,0.02074314994580557,0.013231915507308574,0.009390500864888886,0.07159741012328717,0.0911251450878764,0.09296609021530802,0.0754791459895333,0.0500155562071341,0.031122901827244625,0.018700383691219215,0.01124799891949022,0.13316043339219621,0.18540924671401227,0.19102693348922006,0.14188882947079712,0.07707835966837809,0.04465958490162632,0.024928959309807198,0.013855802142723611,0.18006729247664183,0.2643677888446596,0.27408112221020736,0.19694356286784903,0.09716150693171927,0.051533693720069634,0.028427289281549174,0.015207022386999596,0.18006729247664183,0.2643677888446596,0.27408112221020736,0.19694356286784903,0.09716150693171927,0.051533693720069634,0.028427289281549174,0.015207022386999596,0.13316043339219621,0.18540924671401227,0.19102693348922006,0.14188882947079712,0.07707835966837809,0.04465958490162632,0.024928959309807198,0.013855802142723611,0.07849178942182716,0.10269209123421522,0.10498865665886913,0.08298509931050667,0.052284837233108394,0.032726260388558644,0.019620530360510764,0.01165187163516852
Sensor8,0.006083603939567499,0.007429689227136216,0.008606386158058407,0.009331032153927703,0.009331032153927703,0.008606386158058407,0.007429689227136216,0.006083603939567499,0.009272122571978408,0.011023283255718356,0.01313481940257071,0.014488554720350143,0.014488554720350143,0.01313481940257071,0.011023283255718356,0.009272122571978408,0.01313481940257071,0.018361445856577258,0.023376653045620227,0.026836304389331156,0.026836304389331156,0.023376653045620227,0.018361445856577258,0.01313481940257071,0.02074314994580557,0.030757953528429364,0.04158841046631894,0.0500155562071341,0.0500155562071341,0.04158841046631894,0.030757953528429364,0.02074314994580557,0.031122901827244625,0.0500155562071341,0.07159741012328717,0.0911251450878764,0.0911251450878764,0.07159741012328717,0.0500155562071341,0.031122901827244625,0.04465958490162632,0.07707835966837809,0.13316043339219621,0.18540924671401227,0.18540924671401227,0.13316043339219621,0.07707835966837809,0.04465958490162632,0.051533693720069634,0.09716150693171927,0.18006729247664183,0.2643677888446596,0.2643677888446596,0.18006729247664183,0.09716150693171927,0.051533693720069634,0.051533693720069634,0.09716150693171927,0.18006729247664183,0.2643677888446596,0.2643677888446596,0.18006729247664183,0.09716150693171927,0.051533693720069634,0.04465958490162632,0.07707835966837809,0.13316043339219621,0.18540924671401227,0.18540924671401227,0.13316043339219621,0.07707835966837809,0.04465958490162632,0.032726260388558644,0.052284837233108394,0.07849178942182716,0.10269209123421522,0.10269209123421522,0.07849178942182716,0.052284837233108394,0.032726260388558644
Sensor9,0.0035123575550757655,0.004695543125607822,0.005971644943086605,0.007320232467764015,0.008687854997085976,0.009363174517371413,0.009363174517371413,0.008687854997085976,0.004961947869764755,0.0067750819483028595,0.009063153929430414,0.010832267990775192,0.013284970409925453,0.014549553195914193,0.014549553195914193,0.013284970409925453,0.0067750819483028595,0.009186413692360753,0.012791866813703225,0.017232068115227914,0.023750880083181155,0.026996760683794245,0.026996760683794245,0.023750880083181155,0.009063153929430414,0.012791866813703225,0.0200345864959264,0.029829909154572707,0.04247046627588502,0.05042142863774878,0.05042142863774878,0.04247046627588502,0.010832267990775192,0.017232068115227914,0.029829909154572707,0.04811706882158725,0.07355209753436671,0.09211512895244695,0.09211512895244695,0.07355209753436671,0.013284970409925453,0.023750880083181155,0.04247046627588502,0.07355209753436671,0.13676034125644784,0.18841652080118204,0.18841652080118204,0.13676034125644784,0.014549553195914193,0.026996760683794245,0.05042142863774878,0.09211512895244695,0.18841652080118204,0.26950779555843,0.26950779555843,0.18841652080118204,0.014549553195914193,0.026996760683794245,0.05042142863774878,0.09211512895244695,0.18841652080118204,0.26950779555843,0.26950779555843,0.18841652080118204,0.013284970409925453,0.023750880083181155,0.04247046627588502,0.07355209753436671,0.13676034125644784,0.18841652080118204,0.18841652080118204,0.13676034125644784,0.011213214005453177,0.018793789189974538,0.03169837118281097,0.050348488487435436,0.08075183712935431,0.1039262573761008,0.1039262573761008,0.08075183712935431
Sensor10,0.005011458345306196,0.005330973526719793,0.005356796760896632,0.005082615299209686,0.004472067215498436,0.0037142490374796515,0.0030791822902728463,0.002493020357747583,0.007939137134182126,0.008580208010594155,0.008632683400939407,0.008080589880057365,0.006891401792278671,0.005681746226999106,0.00451196315984647,0.0034068774390829696,0.01209262990064329,0.013280877669979653,0.013379640834502774,0.012351917503989172,0.010222765277312931,0.008632683400939407,0.006529243384759918,0.004828789384502113,0.021253874327251225,0.024239315739868372,0.024494547251735273,0.021891957391957494,0.016268327227113723,0.012264546757063082,0.009480767822568582,0.006634858590711056,0.037668712988192604,0.04486941983103971,0.045507964552727924,0.03916661476471903,0.02821418163181012,0.01931644916134683,0.012529553668906181,0.008957808093246405,0.07159741012328717,0.0911251450878764,0.09296609021530802,0.0754791459895333,0.0500155562071341,0.031122901827244625,0.018700383691219215,0.01124799891949022,0.12307204505694938,0.1693442370943298,0.17415624220465653,0.13259749491469425,0.07285589767134193,0.042738166169580774,0.02411318977324891,0.013529915155263934,0.17415624220465653,0.25408732272936363,0.26283718253397115,0.19007055598133218,0.09486624813956242,0.05067843627448925,0.028055916896754438,0.015066957573217932,0.1845003579545678,0.27239193646394116,0.27920197948751374,0.20212141655925697,0.09885503734521138,0.05215846474425606,0.02869708049939649,0.01530829678930227,0.14128716771034758,0.20212141655925697,0.206998208133395,0.1527862221835127,0.08119088901649826,0.04649191053630953,0.025694379398197766,0.014157721251824244
