,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.003972027888657602,0.005040143416780527,0.0,0.0013236765791758468,0.0015889238629763394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.017337732825827377,0.0,0.0,0.010004446884301792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0,0.026635419251639814,0.0,0.0,0.010541411222940052,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.0,0.0,0.0,0.012282721750330001,0.01610662631866145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.0,0.0,0.0,0.22886433069446316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.0,0.0,0.0,0.2597608469871918,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.012282721750330001,0.01610662631866145,0.0,0.0,0.0,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22886433069446316,0.0,0.0,0.0,0.0
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2597608469871918,0.0,0.0,0.0
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0013236765791758468,0.0015889238629763394,0.0,0.003972027888657602,0.005040143416780527,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010004446884301792,0.0,0.0,0.017337732825827377,0.0
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010541411222940052,0.0,0.0,0.026635419251639814
