,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.0,0.28583580326590463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.013259132061570544,0.013259132061570544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0,0.31508936230275286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.0,0.014733085013663194,0.0,0.0,0.014733085013663194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.0016049395180377755,0.0016049395180377755,0.0,0.0016049395180377755,0.0016049395180377755,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.014138359281922476,0.0,0.0,0.014138359281922476,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28882552436611697,0.0,0.0,0.0,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012282721750330001,0.012282721750330001,0.0,0.0,0.0
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2597608469871918,0.0,0.0,0.0
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21999513535021165,0.0,0.0,0.001168540319124518,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011012128665749353,0.011012128665749353,0.0,0.0,0.0
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11669064150091646,0.0,0.0,0.001135161937281343
