,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.0010966963589917362,0.0,0.0,0.10743048531089351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.0010966963589917362,0.0,0.0,0.10743048531089351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0,0.0,0.0,0.012714648171265252,0.012714648171265252,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.0,0.0,0.0,0.22886433069446316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.0,0.0,0.0,0.22886433069446316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.0,0.0,0.014138359281922476,0.014138359281922476,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.013461798086779027,0.0,0.0,0.013461798086779027,0.0,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013461798086779027,0.0,0.0,0.013461798086779027,0.0
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035681355812310052,0.0035681355812310052,0.0,0.0035681355812310052,0.0035681355812310052
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27790582713297957,0.0,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27790582713297957,0.0
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015235591721717063,0.015235591721717063
