,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20
Sensor1,0.24271515633620752,0.03468276557147016,0.0,0.0,0.019458086884200004,0.0029082801888674387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.24271515633620752,0.026208747773641693,0.0,0.0,0.019458086884200004,0.0024161723047245345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0,0.2620280842078324,0.030313405014500076,0.0,0.0,0.020571003151952958,0.0026592809719971065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.026629471870219287,0.00679998212525178,0.0,0.0,0.2169777843322501,0.032123438674826255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.026629471870219287,0.0029380001110265092,0.0,0.0,0.2169777843322501,0.024182341514285763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.028034260582306045,0.006039023224910388,0.0,0.0,0.23322869532727583,0.028034260582306045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026629471870219287,0.00679998212525178,0.0,0.0,0.2169777843322501,0.032123438674826255,0.0,0.0,0.001436888786338469,0.0,0.0,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026629471870219287,0.0029380001110265092,0.0,0.0,0.2169777843322501,0.024182341514285763,0.0,0.0,0.001436888786338469,0.0,0.0
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028034260582306045,0.006039023224910388,0.0,0.0,0.23322869532727583,0.028034260582306045,0.0,0.0,0.0014931173769097397,0.0
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19942996808757144,0.028815226818793425,0.0,0.0,0.03468276557147016,0.008482655413841493,0.0,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19942996808757144,0.021546897841622017,0.0,0.0,0.03468276557147016,0.006709664799133507,0.0
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21591384955764453,0.02507862727173511,0.0,0.0,0.05547080407805546,0.007580470934746265
