,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.03468276557147016,0.0,0.0,0.019458086884200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.03468276557147016,0.0,0.0,0.019458086884200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.007580470934746265,0.007580470934746265,0.0,0.0026592809719971065,0.0026592809719971065,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.001436888786338469,0.0,0.0,0.2169777843322501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.001436888786338469,0.0,0.0,0.2169777843322501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.0,0.0,0.028034260582306045,0.028034260582306045,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.2169777843322501,0.0,0.0,0.001436888786338469,0.0,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2169777843322501,0.0,0.0,0.001436888786338469,0.0
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028034260582306045,0.028034260582306045,0.0,0.0,0.0
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.019458086884200004,0.0,0.0,0.03468276557147016,0.0,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019458086884200004,0.0,0.0,0.03468276557147016,0.0
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026592809719971065,0.0026592809719971065,0.0,0.007580470934746265,0.007580470934746265
