,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.0,0.058749213349634316,0.0,0.0,0.021546897841622017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.006709664799133507,0.006709664799133507,0.0,0.0024161723047245345,0.0024161723047245345,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0,0.05547080407805546,0.0,0.0,0.020571003151952958,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.0,0.0015418543963832316,0.0,0.0,0.24840428476291143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.0,0.0,0.0,0.024182341514285763,0.024182341514285763,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.0014931173769097397,0.0,0.0,0.23322869532727583,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24840428476291143,0.0,0.0,0.0015418543963832316,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024182341514285763,0.024182341514285763,0.0,0.0,0.0
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23322869532727583,0.0,0.0,0.0014931173769097397
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021546897841622017,0.0,0.0,0.058749213349634316,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024161723047245345,0.0024161723047245345,0.0,0.006709664799133507,0.006709664799133507
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020571003151952958,0.0,0.0,0.05547080407805546
