,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.0,0.0,0.0,0.021546897841622017,0.028815226818793425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.0019952406492246477,0.0,0.0,0.19942996808757144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0,0.002066561389616052,0.0,0.0,0.21591384955764453,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.0,0.0,0.0,0.024182341514285763,0.032123438674826255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.0,0.0,0.0,0.2169777843322501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.0,0.0,0.0,0.23322869532727583,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.0029380001110265092,0.00679998212525178,0.0,0.0029380001110265092,0.00679998212525178,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026629471870219287,0.0,0.0,0.026629471870219287,0.0
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028034260582306045,0.0,0.0,0.028034260582306045
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026208747773641693,0.03468276557147016,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24271515633620752,0.0
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2620280842078324
