,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.0,0.002128454266887071,0.0,0.0,0.21228925112031893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.0,0.0,0.0,0.021546897841622017,0.021546897841622017,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0,0.002066561389616052,0.0,0.0,0.21591384955764453,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.0,0.0,0.0,0.0,0.24840428476291143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.0,0.0,0.0,0.024182341514285763,0.024182341514285763,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.0,0.0,0.0,0.23322869532727583,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02926947750444962,0.0,0.0,0.02926947750444962,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029380001110265092,0.0029380001110265092,0.0,0.0029380001110265092,0.0029380001110265092
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028034260582306045,0.0,0.0,0.028034260582306045
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26386949547016225,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026208747773641693,0.026208747773641693
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2620280842078324
