,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45,Light46,Light47,Light48,Light49,Light50,Light51,Light52,Light53,Light54,Light55,Light56,Light57,Light58,Light59,Light60,Light61,Light62,Light63,Light64,Light65,Light66,Light67,Light68,Light69,Light70,Light71,Light72,Light73,Light74,Light75,Light76,Light77,Light78,Light79,Light80
Sensor1,0.006709664799133507,0.03468276557147016,0.058749213349634316,0.008482655413841493,0.0,0.0,0.0,0.0,0.026208747773641693,0.24271515633620752,0.26386949547016225,0.03468276557147016,0.0,0.0,0.0,0.0,0.021546897841622017,0.19942996808757144,0.21228925112031893,0.028815226818793425,0.0,0.0,0.0,0.0,0.0024161723047245345,0.019458086884200004,0.021546897841622017,0.0029082801888674387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0,0.0,0.006709664799133507,0.03468276557147016,0.03468276557147016,0.006709664799133507,0.0,0.0,0.0,0.0,0.026208747773641693,0.24271515633620752,0.24271515633620752,0.026208747773641693,0.0,0.0,0.0,0.0,0.021546897841622017,0.19942996808757144,0.19942996808757144,0.021546897841622017,0.0,0.0,0.0,0.0,0.0024161723047245345,0.019458086884200004,0.019458086884200004,0.0024161723047245345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0,0.0,0.0,0.007580470934746265,0.05547080407805546,0.05547080407805546,0.007580470934746265,0.0,0.0,0.0,0.0,0.030313405014500076,0.2620280842078324,0.2620280842078324,0.030313405014500076,0.0,0.0,0.0,0.0,0.02507862727173511,0.21591384955764453,0.21591384955764453,0.02507862727173511,0.0,0.0,0.0,0.0,0.0026592809719971065,0.020571003151952958,0.020571003151952958,0.0026592809719971065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.0,0.001436888786338469,0.0015418543963832316,0.0,0.0,0.0,0.0,0.0,0.0029380001110265092,0.026629471870219287,0.02926947750444962,0.00679998212525178,0.0,0.0,0.0,0.0,0.024182341514285763,0.2169777843322501,0.24840428476291143,0.032123438674826255,0.0,0.0,0.0,0.0,0.024182341514285763,0.2169777843322501,0.24840428476291143,0.032123438674826255,0.0,0.0,0.0,0.0,0.0029380001110265092,0.026629471870219287,0.02926947750444962,0.00679998212525178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.0,0.0,0.0,0.001436888786338469,0.001436888786338469,0.0,0.0,0.0,0.0,0.0,0.0029380001110265092,0.026629471870219287,0.026629471870219287,0.0029380001110265092,0.0,0.0,0.0,0.0,0.024182341514285763,0.2169777843322501,0.2169777843322501,0.024182341514285763,0.0,0.0,0.0,0.0,0.024182341514285763,0.2169777843322501,0.2169777843322501,0.024182341514285763,0.0,0.0,0.0,0.0,0.0029380001110265092,0.026629471870219287,0.026629471870219287,0.0029380001110265092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.0,0.0,0.0,0.0,0.0014931173769097397,0.0014931173769097397,0.0,0.0,0.0,0.0,0.0,0.006039023224910388,0.028034260582306045,0.028034260582306045,0.006039023224910388,0.0,0.0,0.0,0.0,0.028034260582306045,0.23322869532727583,0.23322869532727583,0.028034260582306045,0.0,0.0,0.0,0.0,0.028034260582306045,0.23322869532727583,0.23322869532727583,0.028034260582306045,0.0,0.0,0.0,0.0,0.006039023224910388,0.028034260582306045,0.028034260582306045,0.006039023224910388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029380001110265092,0.026629471870219287,0.02926947750444962,0.00679998212525178,0.0,0.0,0.0,0.0,0.024182341514285763,0.2169777843322501,0.24840428476291143,0.032123438674826255,0.0,0.0,0.0,0.0,0.024182341514285763,0.2169777843322501,0.24840428476291143,0.032123438674826255,0.0,0.0,0.0,0.0,0.0029380001110265092,0.026629471870219287,0.02926947750444962,0.00679998212525178,0.0,0.0,0.0,0.0,0.0,0.001436888786338469,0.0015418543963832316,0.0,0.0,0.0,0.0,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029380001110265092,0.026629471870219287,0.026629471870219287,0.0029380001110265092,0.0,0.0,0.0,0.0,0.024182341514285763,0.2169777843322501,0.2169777843322501,0.024182341514285763,0.0,0.0,0.0,0.0,0.024182341514285763,0.2169777843322501,0.2169777843322501,0.024182341514285763,0.0,0.0,0.0,0.0,0.0029380001110265092,0.026629471870219287,0.026629471870219287,0.0029380001110265092,0.0,0.0,0.0,0.0,0.0,0.001436888786338469,0.001436888786338469,0.0,0.0,0.0
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006039023224910388,0.028034260582306045,0.028034260582306045,0.006039023224910388,0.0,0.0,0.0,0.0,0.028034260582306045,0.23322869532727583,0.23322869532727583,0.028034260582306045,0.0,0.0,0.0,0.0,0.028034260582306045,0.23322869532727583,0.23322869532727583,0.028034260582306045,0.0,0.0,0.0,0.0,0.006039023224910388,0.028034260582306045,0.028034260582306045,0.006039023224910388,0.0,0.0,0.0,0.0,0.0,0.0014931173769097397,0.0014931173769097397,0.0
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024161723047245345,0.019458086884200004,0.021546897841622017,0.0029082801888674387,0.0,0.0,0.0,0.0,0.021546897841622017,0.19942996808757144,0.21228925112031893,0.028815226818793425,0.0,0.0,0.0,0.0,0.026208747773641693,0.24271515633620752,0.26386949547016225,0.03468276557147016,0.0,0.0,0.0,0.0,0.006709664799133507,0.03468276557147016,0.058749213349634316,0.008482655413841493,0.0,0.0,0.0,0.0
