,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45,Light46,Light47,Light48,Light49,Light50,Light51,Light52,Light53,Light54,Light55,Light56,Light57,Light58,Light59,Light60,Light61,Light62,Light63,Light64,Light65,Light66,Light67,Light68,Light69,Light70,Light71,Light72,Light73,Light74,Light75,Light76,Light77,Light78,Light79,Light80
Sensor1,0.12551179694549955,0.17545489334652625,0.17972529186002986,0.13486809145856457,0.06822943123480046,0.03163795785969725,0.012369231209361002,0.00524885187124259,0.1613453826804064,0.23408762318452384,0.24059563825832658,0.17545489334652625,0.08716627672803465,0.038159560785320464,0.013989775669087181,0.0058370703759261875,0.15299318214522303,0.22056557035360286,0.22775167547508116,0.16582114033307904,0.08290437674594296,0.03678554652464118,0.013595697550242035,0.005712972332288857,0.10842279193889323,0.14942334366159554,0.15299318214522303,0.11644592315618048,0.05962652521401565,0.02748389721828473,0.011240851002163967,0.00493172514237552,0.05787441854176914,0.07892567185975793,0.08088122496164271,0.06255618262572583,0.03562194100728448,0.01686815191826675,0.007674328094809492,0.003797867251366704,0.02288443081385543,0.029947594972271625,0.03061123612498164,0.0243885701868994,0.013692872889821088,0.007847226120587655,0.004373344227843995,0.002540131132046352,0.009241764794483714,0.011330296720255838,0.011511606161494714,0.009682870083560963,0.006582123774160495,0.004253491303251995,0.002697537962840984,0.00184885845724739,0.004175969474210281,0.004806729242989517,0.004856244103957487,0.004292958871054874,0.00336703696187636,0.0024423769882405194,0.0018137874150647639,0.0013083015680073575,0.002234162357271826,0.002426607627246624,0.0024423769882405194,0.002276591677546749,0.0019342756334238451,0.001520907219433544,0.001189965115061095,0.0,0.0013621656717093455,0.0014565804051034255,0.0014642213822271069,0.0013831708964867485,0.0011797516808289275,0.00101221680154906,0.0,0.0
Sensor2,0.03163795785969725,0.06822943123480046,0.12551179694549955,0.17545489334652625,0.17545489334652625,0.12551179694549955,0.06822943123480046,0.03163795785969725,0.038159560785320464,0.08716627672803465,0.1613453826804064,0.23408762318452384,0.23408762318452384,0.1613453826804064,0.08716627672803465,0.038159560785320464,0.03678554652464118,0.08290437674594296,0.15299318214522303,0.22056557035360286,0.22056557035360286,0.15299318214522303,0.08290437674594296,0.03678554652464118,0.02748389721828473,0.05962652521401565,0.10842279193889323,0.14942334366159554,0.14942334366159554,0.10842279193889323,0.05962652521401565,0.02748389721828473,0.01686815191826675,0.03562194100728448,0.05787441854176914,0.07892567185975793,0.07892567185975793,0.05787441854176914,0.03562194100728448,0.01686815191826675,0.007847226120587655,0.013692872889821088,0.02288443081385543,0.029947594972271625,0.029947594972271625,0.02288443081385543,0.013692872889821088,0.007847226120587655,0.004253491303251995,0.006582123774160495,0.009241764794483714,0.011330296720255838,0.011330296720255838,0.009241764794483714,0.006582123774160495,0.004253491303251995,0.0024423769882405194,0.00336703696187636,0.004175969474210281,0.004806729242989517,0.004806729242989517,0.004175969474210281,0.00336703696187636,0.0024423769882405194,0.001520907219433544,0.0019342756334238451,0.002234162357271826,0.002426607627246624,0.002426607627246624,0.002234162357271826,0.0019342756334238451,0.001520907219433544,0.00101221680154906,0.0011797516808289275,0.0013621656717093455,0.0014565804051034255,0.0014565804051034255,0.0013621656717093455,0.0011797516808289275,0.00101221680154906
Sensor3,0.0049508256245065175,0.011488764367679292,0.029220201821141482,0.0646789069893125,0.13002143043830353,0.17823672324382397,0.17823672324382397,0.13002143043830353,0.005496474599071628,0.013099714641339258,0.03677150440564907,0.08163181988538402,0.1683367050775839,0.23924010521046613,0.23924010521046613,0.1683367050775839,0.005381479567691784,0.012737207679260749,0.03511282458256453,0.07773645023038708,0.15936330739620058,0.22438444110620492,0.22438444110620492,0.15936330739620058,0.004656025645375103,0.010450017144836296,0.0255481188575176,0.05585900016689218,0.11266798002000723,0.15118257145560718,0.15118257145560718,0.11266798002000723,0.003659682005295428,0.007211876193961592,0.015669585326474396,0.033537620982031315,0.06040218513634265,0.07997672207602725,0.07997672207602725,0.06040218513634265,0.0024483281481087055,0.004190363203686139,0.007661388607082768,0.01319238666691003,0.023644450535566495,0.030305039049791822,0.030305039049791822,0.023644450535566495,0.0017157352698912534,0.002614963294908906,0.004114338043117171,0.006154288212188429,0.009465625536191574,0.011428102709068405,0.011428102709068405,0.009465625536191574,0.0012722072648566145,0.0016983767842928496,0.002385896788210486,0.0032860239556763084,0.004235560691574127,0.004833470620748421,0.004833470620748421,0.004235560691574127,0.0,0.0011665443906595458,0.0014947919988538914,0.0019016400294809424,0.002255824450211086,0.0024351312978061856,0.0024351312978061856,0.002255824450211086,0.0,0.0,0.0010205106743759965,0.0011665443906595458,0.0013729034560712994,0.0014607122663513013,0.0014607122663513013,0.0013729034560712994
Sensor4,0.06541667807734713,0.0897940045135754,0.0921350221613176,0.07034166331825341,0.038277147984997956,0.01794120095477799,0.008008375026464846,0.003978075221093442,0.11692234426024162,0.1620767105993163,0.16658812348325036,0.12570410015393688,0.06435134796794625,0.02972998000434881,0.011821123613376892,0.005095987880876257,0.15777255000088206,0.22901024311452817,0.23512297254252862,0.17132364377557552,0.0853543734775941,0.0375788347102833,0.013823824956469825,0.005784949716800937,0.15777255000088206,0.22901024311452817,0.23512297254252862,0.17132364377557552,0.0853543734775941,0.0375788347102833,0.013823824956469825,0.005784949716800937,0.11692234426024162,0.1620767105993163,0.16658812348325036,0.12570410015393688,0.06435134796794625,0.02972998000434881,0.011821123613376892,0.005095987880876257,0.05787441854176914,0.07892567185975793,0.08088122496164271,0.06255618262572583,0.03562194100728448,0.01686815191826675,0.007674328094809492,0.003797867251366704,0.02639567203970703,0.03562194100728448,0.03645389234260036,0.028357817277541296,0.01652846728309267,0.008606249249097805,0.00478220964119295,0.002670354295965866,0.010720553238702461,0.012849104869536294,0.013030754140044641,0.011240851002163967,0.007470284320220351,0.004733639689589972,0.0028792356053206278,0.0019660552432601806,0.004733639689589972,0.005417085039649258,0.005474677359553196,0.004881241963835874,0.00375217506283039,0.0026347135845791315,0.001953260414242563,0.001386716069223956,0.002434474117813629,0.0026524485325085533,0.002670354295965866,0.002482444824996043,0.002114484387194111,0.0016244409919609622,0.0012985369611516538,0.0
Sensor5,0.01794120095477799,0.038277147984997956,0.06541667807734713,0.0897940045135754,0.0897940045135754,0.06541667807734713,0.038277147984997956,0.01794120095477799,0.02972998000434881,0.06435134796794625,0.11692234426024162,0.1620767105993163,0.1620767105993163,0.11692234426024162,0.06435134796794625,0.02972998000434881,0.0375788347102833,0.0853543734775941,0.15777255000088206,0.22901024311452817,0.22901024311452817,0.15777255000088206,0.0853543734775941,0.0375788347102833,0.0375788347102833,0.0853543734775941,0.15777255000088206,0.22901024311452817,0.22901024311452817,0.15777255000088206,0.0853543734775941,0.0375788347102833,0.02972998000434881,0.06435134796794625,0.11692234426024162,0.1620767105993163,0.1620767105993163,0.11692234426024162,0.06435134796794625,0.02972998000434881,0.01686815191826675,0.03562194100728448,0.05787441854176914,0.07892567185975793,0.07892567185975793,0.05787441854176914,0.03562194100728448,0.01686815191826675,0.008606249249097805,0.01652846728309267,0.02639567203970703,0.03562194100728448,0.03562194100728448,0.02639567203970703,0.01652846728309267,0.008606249249097805,0.004733639689589972,0.007470284320220351,0.010720553238702461,0.012849104869536294,0.012849104869536294,0.010720553238702461,0.007470284320220351,0.004733639689589972,0.0026347135845791315,0.00375217506283039,0.004733639689589972,0.005417085039649258,0.005417085039649258,0.004733639689589972,0.00375217506283039,0.0026347135845791315,0.0016244409919609622,0.002114484387194111,0.002434474117813629,0.0026524485325085533,0.0026524485325085533,0.002434474117813629,0.002114484387194111,0.0016244409919609622
Sensor6,0.003782398382049438,0.007571075649203555,0.017405937005718165,0.03648003267392733,0.06777106821482431,0.09105161494834188,0.09105161494834188,0.06777106821482431,0.004808779662792681,0.010984472121154838,0.027229981410994662,0.06040218513634265,0.1214774710103611,0.1644936405748924,0.1644936405748924,0.1214774710103611,0.005448184981417519,0.012947095364869937,0.036069894825813804,0.07997672207602725,0.1644936405748924,0.23324163041621296,0.23324163041621296,0.1644936405748924,0.005448184981417519,0.012947095364869937,0.036069894825813804,0.07997672207602725,0.1644936405748924,0.23324163041621296,0.23324163041621296,0.1644936405748924,0.004808779662792681,0.010984472121154838,0.027229981410994662,0.06040218513634265,0.1214774710103611,0.1644936405748924,0.1644936405748924,0.1214774710103611,0.003659682005295428,0.007211876193961592,0.015669585326474396,0.033537620982031315,0.06040218513634265,0.07997672207602725,0.07997672207602725,0.06040218513634265,0.002571823166333908,0.004562676087780722,0.008228361194319312,0.015669585326474396,0.027229981410994662,0.036069894825813804,0.036069894825813804,0.027229981410994662,0.001895507096498916,0.002788664096089779,0.004562676087780722,0.007211876193961592,0.010984472121154838,0.012947095364869937,0.012947095364869937,0.010984472121154838,0.0013475578744621725,0.001895507096498916,0.002571823166333908,0.003659682005295428,0.004808779662792681,0.005448184981417519,0.005448184981417519,0.004808779662792681,0.0,0.0012690669453666152,0.0015956250991387342,0.0020777376590828617,0.0024589591139094823,0.002662126146809606,0.002662126146809606,0.0024589591139094823
Sensor7,0.002434474117813629,0.0026524485325085533,0.002670354295965866,0.002482444824996043,0.002114484387194111,0.0016244409919609622,0.0012985369611516538,0.0,0.004733639689589972,0.005417085039649258,0.005474677359553196,0.004881241963835874,0.00375217506283039,0.0026347135845791315,0.001953260414242563,0.001386716069223956,0.010720553238702461,0.012849104869536294,0.013030754140044641,0.011240851002163967,0.007470284320220351,0.004733639689589972,0.0028792356053206278,0.0019660552432601806,0.02639567203970703,0.03562194100728448,0.03645389234260036,0.028357817277541296,0.01652846728309267,0.008606249249097805,0.00478220964119295,0.002670354295965866,0.05787441854176914,0.07892567185975793,0.08088122496164271,0.06255618262572583,0.03562194100728448,0.01686815191826675,0.007674328094809492,0.003797867251366704,0.11692234426024162,0.1620767105993163,0.16658812348325036,0.12570410015393688,0.06435134796794625,0.02972998000434881,0.011821123613376892,0.005095987880876257,0.15777255000088206,0.22901024311452817,0.23512297254252862,0.17132364377557552,0.0853543734775941,0.0375788347102833,0.013823824956469825,0.005784949716800937,0.15777255000088206,0.22901024311452817,0.23512297254252862,0.17132364377557552,0.0853543734775941,0.0375788347102833,0.013823824956469825,0.005784949716800937,0.11692234426024162,0.1620767105993163,0.16658812348325036,0.12570410015393688,0.06435134796794625,0.02972998000434881,0.011821123613376892,0.005095987880876257,0.06541667807734713,0.0897940045135754,0.0921350221613176,0.07034166331825341,0.038277147984997956,0.01794120095477799,0.008008375026464846,0.003978075221093442
Sensor8,0.0016244409919609622,0.002114484387194111,0.002434474117813629,0.0026524485325085533,0.0026524485325085533,0.002434474117813629,0.002114484387194111,0.0016244409919609622,0.0026347135845791315,0.00375217506283039,0.004733639689589972,0.005417085039649258,0.005417085039649258,0.004733639689589972,0.00375217506283039,0.0026347135845791315,0.004733639689589972,0.007470284320220351,0.010720553238702461,0.012849104869536294,0.012849104869536294,0.010720553238702461,0.007470284320220351,0.004733639689589972,0.008606249249097805,0.01652846728309267,0.02639567203970703,0.03562194100728448,0.03562194100728448,0.02639567203970703,0.01652846728309267,0.008606249249097805,0.01686815191826675,0.03562194100728448,0.05787441854176914,0.07892567185975793,0.07892567185975793,0.05787441854176914,0.03562194100728448,0.01686815191826675,0.02972998000434881,0.06435134796794625,0.11692234426024162,0.1620767105993163,0.1620767105993163,0.11692234426024162,0.06435134796794625,0.02972998000434881,0.0375788347102833,0.0853543734775941,0.15777255000088206,0.22901024311452817,0.22901024311452817,0.15777255000088206,0.0853543734775941,0.0375788347102833,0.0375788347102833,0.0853543734775941,0.15777255000088206,0.22901024311452817,0.22901024311452817,0.15777255000088206,0.0853543734775941,0.0375788347102833,0.02972998000434881,0.06435134796794625,0.11692234426024162,0.1620767105993163,0.1620767105993163,0.11692234426024162,0.06435134796794625,0.02972998000434881,0.01794120095477799,0.038277147984997956,0.06541667807734713,0.0897940045135754,0.0897940045135754,0.06541667807734713,0.038277147984997956,0.01794120095477799
Sensor9,0.0,0.0012690669453666152,0.0015956250991387342,0.0020777376590828617,0.0024589591139094823,0.002662126146809606,0.002662126146809606,0.0024589591139094823,0.0013475578744621725,0.001895507096498916,0.002571823166333908,0.003659682005295428,0.004808779662792681,0.005448184981417519,0.005448184981417519,0.004808779662792681,0.001895507096498916,0.002788664096089779,0.004562676087780722,0.007211876193961592,0.010984472121154838,0.012947095364869937,0.012947095364869937,0.010984472121154838,0.002571823166333908,0.004562676087780722,0.008228361194319312,0.015669585326474396,0.027229981410994662,0.036069894825813804,0.036069894825813804,0.027229981410994662,0.003659682005295428,0.007211876193961592,0.015669585326474396,0.033537620982031315,0.06040218513634265,0.07997672207602725,0.07997672207602725,0.06040218513634265,0.004808779662792681,0.010984472121154838,0.027229981410994662,0.06040218513634265,0.1214774710103611,0.1644936405748924,0.1644936405748924,0.1214774710103611,0.005448184981417519,0.012947095364869937,0.036069894825813804,0.07997672207602725,0.1644936405748924,0.23324163041621296,0.23324163041621296,0.1644936405748924,0.005448184981417519,0.012947095364869937,0.036069894825813804,0.07997672207602725,0.1644936405748924,0.23324163041621296,0.23324163041621296,0.1644936405748924,0.004808779662792681,0.010984472121154838,0.027229981410994662,0.06040218513634265,0.1214774710103611,0.1644936405748924,0.1644936405748924,0.1214774710103611,0.003782398382049438,0.007571075649203555,0.017405937005718165,0.03648003267392733,0.06777106821482431,0.09105161494834188,0.09105161494834188,0.06777106821482431
Sensor10,0.0013621656717093455,0.0014565804051034255,0.0014642213822271069,0.0013831708964867485,0.0011797516808289275,0.00101221680154906,0.0,0.0,0.002234162357271826,0.002426607627246624,0.0024423769882405194,0.002276591677546749,0.0019342756334238451,0.001520907219433544,0.001189965115061095,0.0,0.004175969474210281,0.004806729242989517,0.004856244103957487,0.004292958871054874,0.00336703696187636,0.0024423769882405194,0.0018137874150647639,0.0013083015680073575,0.009241764794483714,0.011330296720255838,0.011511606161494714,0.009682870083560963,0.006582123774160495,0.004253491303251995,0.002697537962840984,0.00184885845724739,0.02288443081385543,0.029947594972271625,0.03061123612498164,0.0243885701868994,0.013692872889821088,0.007847226120587655,0.004373344227843995,0.002540131132046352,0.05787441854176914,0.07892567185975793,0.08088122496164271,0.06255618262572583,0.03562194100728448,0.01686815191826675,0.007674328094809492,0.003797867251366704,0.10842279193889323,0.14942334366159554,0.15299318214522303,0.11644592315618048,0.05962652521401565,0.02748389721828473,0.011240851002163967,0.00493172514237552,0.15299318214522303,0.22056557035360286,0.22775167547508116,0.16582114033307904,0.08290437674594296,0.03678554652464118,0.013595697550242035,0.005712972332288857,0.1613453826804064,0.23408762318452384,0.24059563825832658,0.17545489334652625,0.08716627672803465,0.038159560785320464,0.013989775669087181,0.0058370703759261875,0.12551179694549955,0.17545489334652625,0.17972529186002986,0.13486809145856457,0.06822943123480046,0.03163795785969725,0.012369231209361002,0.00524885187124259
