,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45,Light46,Light47,Light48,Light49,Light50,Light51,Light52,Light53,Light54,Light55,Light56,Light57,Light58,Light59,Light60,Light61,Light62,Light63,Light64,Light65,Light66,Light67,Light68,Light69,Light70,Light71,Light72,Light73,Light74,Light75,Light76,Light77,Light78,Light79,Light80
Sensor1,0.1479931162250168,0.19193571324502776,0.1961572142802382,0.15696558606465397,0.09752728292117914,0.06076389258950192,0.037552682278739,0.024284474869967244,0.18198244972067698,0.23881953271270498,0.2440345923998691,0.19193571324502776,0.11401521450932948,0.06834802744810127,0.04119076935359208,0.02549697740623912,0.1741619382804585,0.22804984391164088,0.23331088764005106,0.18612875103237317,0.11034491267549278,0.06671211124674076,0.040449695427553764,0.025156337895268485,0.13244794052680414,0.17046906406336731,0.1741619382804585,0.13985722275488532,0.08936189034472365,0.057461712520419234,0.035698086023382224,0.023340481101916652,0.08811015562216636,0.10686598957616755,0.10858242661358682,0.09195477082702272,0.06437481576768733,0.043964915488624634,0.029143644093630502,0.019856875408052723,0.051839249244580055,0.059080173031739985,0.05974445404004157,0.05351544108090932,0.04063293840916645,0.029907565459735056,0.021823880252300674,0.01546932167955901,0.03227841852340047,0.035846928952127696,0.036147640462118664,0.03304937677625373,0.02684331993357641,0.02141943021693832,0.01620542808148582,0.012041526994250672,0.02115642762783123,0.022964385678241845,0.023113650579045138,0.02155290257471425,0.018261837413578785,0.01500793580023415,0.011885968522687859,0.009311591608862267,0.01401343520435656,0.014933187689034507,0.01500793580023415,0.014217453327200752,0.012417539629945185,0.010620417451317832,0.008815021019462669,0.007177201362679596,0.00959519265993648,0.010086808934992066,0.01012630436120985,0.00970515671763364,0.008752049955247037,0.007706559325625768,0.006603813686224692,0.0055582109082214885
Sensor2,0.06076389258950192,0.09752728292117914,0.1479931162250168,0.19193571324502776,0.19193571324502776,0.1479931162250168,0.09752728292117914,0.06076389258950192,0.06834802744810127,0.11401521450932948,0.18198244972067698,0.23881953271270498,0.23881953271270498,0.18198244972067698,0.11401521450932948,0.06834802744810127,0.06671211124674076,0.11034491267549278,0.1741619382804585,0.22804984391164088,0.22804984391164088,0.1741619382804585,0.11034491267549278,0.06671211124674076,0.057461712520419234,0.08936189034472365,0.13244794052680414,0.17046906406336731,0.17046906406336731,0.13244794052680414,0.08936189034472365,0.057461712520419234,0.043964915488624634,0.06437481576768733,0.08811015562216636,0.10686598957616755,0.10686598957616755,0.08811015562216636,0.06437481576768733,0.043964915488624634,0.029907565459735056,0.04063293840916645,0.051839249244580055,0.059080173031739985,0.059080173031739985,0.051839249244580055,0.04063293840916645,0.029907565459735056,0.02141943021693832,0.02684331993357641,0.03227841852340047,0.035846928952127696,0.035846928952127696,0.03227841852340047,0.02684331993357641,0.02141943021693832,0.01500793580023415,0.018261837413578785,0.02115642762783123,0.022964385678241845,0.022964385678241845,0.02115642762783123,0.018261837413578785,0.01500793580023415,0.010620417451317832,0.012417539629945185,0.01401343520435656,0.014933187689034507,0.014933187689034507,0.01401343520435656,0.012417539629945185,0.010620417451317832,0.007706559325625768,0.008752049955247037,0.00959519265993648,0.010086808934992066,0.010086808934992066,0.00959519265993648,0.008752049955247037,0.007706559325625768
Sensor3,0.023397746290138213,0.03610982901513047,0.05834708948122693,0.09380994560313548,0.1524916309646753,0.1942018998846955,0.1942018998846955,0.1524916309646753,0.024557394564396318,0.039509150791541936,0.06542927280805906,0.10923786923666932,0.18606247853726696,0.2419217903251221,0.2419217903251221,0.18606247853726696,0.024236754060839135,0.038815961587792665,0.06390461819399765,0.10581584782059261,0.18013635861900731,0.2308707659052282,0.2308707659052282,0.18013635861900731,0.02250775074188755,0.03436734109517903,0.05520529529593197,0.0861365395522928,0.13617074082689123,0.17245225276557546,0.17245225276557546,0.13617074082689123,0.019212508910818923,0.02818153417242437,0.04249197487048954,0.062436887983512164,0.09005215872869855,0.10779011386626203,0.10779011386626203,0.09005215872869855,0.015036121401219958,0.0212053449880422,0.029116946240551722,0.03968556802627011,0.05268988887011034,0.05943849316026706,0.05943849316026706,0.05268988887011034,0.011752496221637418,0.015820291828331074,0.02094652813033118,0.026359279969065876,0.03267093072069456,0.03600931034017707,0.03600931034017707,0.03267093072069456,0.009120199170721136,0.011652417991307335,0.014739793873245248,0.01799505406051624,0.021358697614397845,0.0230450451183445,0.0230450451183445,0.021358697614397845,0.007051258362964887,0.008670497083770776,0.010467120153534246,0.012274343573591315,0.014117685910765497,0.0149736018195638,0.0149736018195638,0.014117685910765497,0.0054747087801977085,0.006523296425555847,0.007615067454235783,0.008670497083770776,0.009651449147605124,0.010108171351006133,0.010108171351006133,0.009651449147605124
Sensor4,0.09490617137262207,0.11625062925056216,0.11822514910279457,0.09925792355900827,0.06848729415353215,0.04621115681010664,0.030282785164282042,0.02047984022532451,0.14028923491546724,0.1826620655598505,0.18683616491294525,0.1484685178022505,0.09352492221836348,0.05886140951724813,0.03665796977433633,0.023831222798646263,0.17865032950020976,0.2342108732730518,0.2397645007772027,0.1885400264282288,0.11246171730483127,0.06765855165717784,0.04087935112688024,0.025354142688610585,0.17865032950020976,0.2342108732730518,0.2397645007772027,0.1885400264282288,0.11246171730483127,0.06765855165717784,0.04087935112688024,0.025354142688610585,0.14028923491546724,0.1826620655598505,0.18683616491294525,0.1484685178022505,0.09352492221836348,0.05886140951724813,0.03665796977433633,0.023831222798646263,0.08811015562216636,0.10686598957616755,0.10858242661358682,0.09195477082702272,0.06437481576768733,0.043964915488624634,0.029143644093630502,0.019856875408052723,0.05619881082029184,0.06437481576768733,0.0651389237171988,0.057470975860997746,0.04355046453313449,0.03165790758021482,0.022890331545004187,0.016078884239365827,0.034825629989880355,0.03903046453325145,0.039377665597031715,0.035698086023382224,0.02872117668274346,0.022743366299704353,0.017045373232290325,0.012556438454392076,0.022743366299704353,0.024336223037440374,0.024496753453910003,0.023188866866181237,0.01950897448923251,0.01591261085069504,0.012500579696341855,0.009723681941087352,0.01497048680591125,0.015995400641120063,0.016078884239365827,0.01519745813575421,0.013198433524929077,0.011224472773024482,0.009259923446022139,0.007494768414534686
Sensor5,0.04621115681010664,0.06848729415353215,0.09490617137262207,0.11625062925056216,0.11625062925056216,0.09490617137262207,0.06848729415353215,0.04621115681010664,0.05886140951724813,0.09352492221836348,0.14028923491546724,0.1826620655598505,0.1826620655598505,0.14028923491546724,0.09352492221836348,0.05886140951724813,0.06765855165717784,0.11246171730483127,0.17865032950020976,0.2342108732730518,0.2342108732730518,0.17865032950020976,0.11246171730483127,0.06765855165717784,0.06765855165717784,0.11246171730483127,0.17865032950020976,0.2342108732730518,0.2342108732730518,0.17865032950020976,0.11246171730483127,0.06765855165717784,0.05886140951724813,0.09352492221836348,0.14028923491546724,0.1826620655598505,0.1826620655598505,0.14028923491546724,0.09352492221836348,0.05886140951724813,0.043964915488624634,0.06437481576768733,0.08811015562216636,0.10686598957616755,0.10686598957616755,0.08811015562216636,0.06437481576768733,0.043964915488624634,0.03165790758021482,0.04355046453313449,0.05619881082029184,0.06437481576768733,0.06437481576768733,0.05619881082029184,0.04355046453313449,0.03165790758021482,0.022743366299704353,0.02872117668274346,0.034825629989880355,0.03903046453325145,0.03903046453325145,0.034825629989880355,0.02872117668274346,0.022743366299704353,0.01591261085069504,0.01950897448923251,0.022743366299704353,0.024336223037440374,0.024336223037440374,0.022743366299704353,0.01950897448923251,0.01591261085069504,0.011224472773024482,0.013198433524929077,0.01497048680591125,0.015995400641120063,0.015995400641120063,0.01497048680591125,0.013198433524929077,0.011224472773024482
Sensor6,0.01980308276473026,0.02925979350377025,0.04461643117338319,0.06634617141366456,0.09710237331712436,0.11731331137251261,0.11731331137251261,0.09710237331712436,0.022970574180010115,0.03526961717028633,0.05716828547506519,0.09005215872869855,0.14439453732230711,0.18490220248321834,0.18490220248321834,0.14439453732230711,0.024422964967725846,0.03921791655025635,0.06478688736841419,0.10779011386626203,0.18490220248321834,0.237185093685927,0.237185093685927,0.18490220248321834,0.024422964967725846,0.03921791655025635,0.06478688736841419,0.10779011386626203,0.18490220248321834,0.237185093685927,0.237185093685927,0.18490220248321834,0.022970574180010115,0.03526961717028633,0.05716828547506519,0.09005215872869855,0.14439453732230711,0.18490220248321834,0.18490220248321834,0.14439453732230711,0.019212508910818923,0.02818153417242437,0.04249197487048954,0.062436887983512164,0.09005215872869855,0.10779011386626203,0.10779011386626203,0.09005215872869855,0.01561819100262529,0.022223089453533008,0.030791802047831333,0.04249197487048954,0.05716828547506519,0.06478688736841419,0.06478688736841419,0.05716828547506519,0.012247370030911472,0.01662793834001404,0.022223089453533008,0.02818153417242437,0.03526961717028633,0.03921791655025635,0.03921791655025635,0.03526961717028633,0.009518513592457988,0.012247370030911472,0.01561819100262529,0.019212508910818923,0.022970574180010115,0.024422964967725846,0.024422964967725846,0.022970574180010115,0.007359738338924377,0.009103494500848882,0.011056926534124156,0.01304049630158033,0.015086439544369222,0.016040534291519543,0.016040534291519543,0.015086439544369222
Sensor7,0.01497048680591125,0.015995400641120063,0.016078884239365827,0.01519745813575421,0.013198433524929077,0.011224472773024482,0.009259923446022139,0.007494768414534686,0.022743366299704353,0.024336223037440374,0.024496753453910003,0.023188866866181237,0.01950897448923251,0.01591261085069504,0.012500579696341855,0.009723681941087352,0.034825629989880355,0.03903046453325145,0.039377665597031715,0.035698086023382224,0.02872117668274346,0.022743366299704353,0.017045373232290325,0.012556438454392076,0.05619881082029184,0.06437481576768733,0.0651389237171988,0.057470975860997746,0.04355046453313449,0.03165790758021482,0.022890331545004187,0.016078884239365827,0.08811015562216636,0.10686598957616755,0.10858242661358682,0.09195477082702272,0.06437481576768733,0.043964915488624634,0.029143644093630502,0.019856875408052723,0.14028923491546724,0.1826620655598505,0.18683616491294525,0.1484685178022505,0.09352492221836348,0.05886140951724813,0.03665796977433633,0.023831222798646263,0.17865032950020976,0.2342108732730518,0.2397645007772027,0.1885400264282288,0.11246171730483127,0.06765855165717784,0.04087935112688024,0.025354142688610585,0.17865032950020976,0.2342108732730518,0.2397645007772027,0.1885400264282288,0.11246171730483127,0.06765855165717784,0.04087935112688024,0.025354142688610585,0.14028923491546724,0.1826620655598505,0.18683616491294525,0.1484685178022505,0.09352492221836348,0.05886140951724813,0.03665796977433633,0.023831222798646263,0.09490617137262207,0.11625062925056216,0.11822514910279457,0.09925792355900827,0.06848729415353215,0.04621115681010664,0.030282785164282042,0.02047984022532451
Sensor8,0.011224472773024482,0.013198433524929077,0.01497048680591125,0.015995400641120063,0.015995400641120063,0.01497048680591125,0.013198433524929077,0.011224472773024482,0.01591261085069504,0.01950897448923251,0.022743366299704353,0.024336223037440374,0.024336223037440374,0.022743366299704353,0.01950897448923251,0.01591261085069504,0.022743366299704353,0.02872117668274346,0.034825629989880355,0.03903046453325145,0.03903046453325145,0.034825629989880355,0.02872117668274346,0.022743366299704353,0.03165790758021482,0.04355046453313449,0.05619881082029184,0.06437481576768733,0.06437481576768733,0.05619881082029184,0.04355046453313449,0.03165790758021482,0.043964915488624634,0.06437481576768733,0.08811015562216636,0.10686598957616755,0.10686598957616755,0.08811015562216636,0.06437481576768733,0.043964915488624634,0.05886140951724813,0.09352492221836348,0.14028923491546724,0.1826620655598505,0.1826620655598505,0.14028923491546724,0.09352492221836348,0.05886140951724813,0.06765855165717784,0.11246171730483127,0.17865032950020976,0.2342108732730518,0.2342108732730518,0.17865032950020976,0.11246171730483127,0.06765855165717784,0.06765855165717784,0.11246171730483127,0.17865032950020976,0.2342108732730518,0.2342108732730518,0.17865032950020976,0.11246171730483127,0.06765855165717784,0.05886140951724813,0.09352492221836348,0.14028923491546724,0.1826620655598505,0.1826620655598505,0.14028923491546724,0.09352492221836348,0.05886140951724813,0.04621115681010664,0.06848729415353215,0.09490617137262207,0.11625062925056216,0.11625062925056216,0.09490617137262207,0.06848729415353215,0.04621115681010664
Sensor9,0.007359738338924377,0.009103494500848882,0.011056926534124156,0.01304049630158033,0.015086439544369222,0.016040534291519543,0.016040534291519543,0.015086439544369222,0.009518513592457988,0.012247370030911472,0.01561819100262529,0.019212508910818923,0.022970574180010115,0.024422964967725846,0.024422964967725846,0.022970574180010115,0.012247370030911472,0.01662793834001404,0.022223089453533008,0.02818153417242437,0.03526961717028633,0.03921791655025635,0.03921791655025635,0.03526961717028633,0.01561819100262529,0.022223089453533008,0.030791802047831333,0.04249197487048954,0.05716828547506519,0.06478688736841419,0.06478688736841419,0.05716828547506519,0.019212508910818923,0.02818153417242437,0.04249197487048954,0.062436887983512164,0.09005215872869855,0.10779011386626203,0.10779011386626203,0.09005215872869855,0.022970574180010115,0.03526961717028633,0.05716828547506519,0.09005215872869855,0.14439453732230711,0.18490220248321834,0.18490220248321834,0.14439453732230711,0.024422964967725846,0.03921791655025635,0.06478688736841419,0.10779011386626203,0.18490220248321834,0.237185093685927,0.237185093685927,0.18490220248321834,0.024422964967725846,0.03921791655025635,0.06478688736841419,0.10779011386626203,0.18490220248321834,0.237185093685927,0.237185093685927,0.18490220248321834,0.022970574180010115,0.03526961717028633,0.05716828547506519,0.09005215872869855,0.14439453732230711,0.18490220248321834,0.18490220248321834,0.14439453732230711,0.01980308276473026,0.02925979350377025,0.04461643117338319,0.06634617141366456,0.09710237331712436,0.11731331137251261,0.11731331137251261,0.09710237331712436
Sensor10,0.00959519265993648,0.010086808934992066,0.01012630436120985,0.00970515671763364,0.008752049955247037,0.007706559325625768,0.006603813686224692,0.0055582109082214885,0.01401343520435656,0.014933187689034507,0.01500793580023415,0.014217453327200752,0.012417539629945185,0.010620417451317832,0.008815021019462669,0.007177201362679596,0.02115642762783123,0.022964385678241845,0.023113650579045138,0.02155290257471425,0.018261837413578785,0.01500793580023415,0.011885968522687859,0.009311591608862267,0.03227841852340047,0.035846928952127696,0.036147640462118664,0.03304937677625373,0.02684331993357641,0.02141943021693832,0.01620542808148582,0.012041526994250672,0.051839249244580055,0.059080173031739985,0.05974445404004157,0.05351544108090932,0.04063293840916645,0.029907565459735056,0.021823880252300674,0.01546932167955901,0.08811015562216636,0.10686598957616755,0.10858242661358682,0.09195477082702272,0.06437481576768733,0.043964915488624634,0.029143644093630502,0.019856875408052723,0.13244794052680414,0.17046906406336731,0.1741619382804585,0.13985722275488532,0.08936189034472365,0.057461712520419234,0.035698086023382224,0.023340481101916652,0.1741619382804585,0.22804984391164088,0.23331088764005106,0.18612875103237317,0.11034491267549278,0.06671211124674076,0.040449695427553764,0.025156337895268485,0.18198244972067698,0.23881953271270498,0.2440345923998691,0.19193571324502776,0.11401521450932948,0.06834802744810127,0.04119076935359208,0.02549697740623912,0.1479931162250168,0.19193571324502776,0.1961572142802382,0.15696558606465397,0.09752728292117914,0.06076389258950192,0.037552682278739,0.024284474869967244
