,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45,Light46,Light47,Light48,Light49,Light50,Light51,Light52,Light53,Light54,Light55,Light56,Light57,Light58,Light59,Light60,Light61,Light62,Light63,Light64,Light65,Light66,Light67,Light68,Light69,Light70,Light71,Light72,Light73,Light74,Light75,Light76,Light77,Light78,Light79,Light80
Sensor1,0.11439020440139909,0.17126058830660496,0.177828496695812,0.12732838274130787,0.051198357200526554,0.027287181578947908,0.014604371750744085,0.006823870482903033,0.15469691685661083,0.23772508094767467,0.2405563783018788,0.17126058830660496,0.06786917267390485,0.03164977520935644,0.016741397414442267,0.008719986333302994,0.14415753867789116,0.21868882130919604,0.22767250303233436,0.16041519467339546,0.06459876672060864,0.030698232070323118,0.016340415585763376,0.008563430789043211,0.09328303884553046,0.1392901249095908,0.14415753867789116,0.10313693115713328,0.04562343149622019,0.026000479138060525,0.013659842518304903,0.006540774830941913,0.04478242991823673,0.061544350012626155,0.06304577542274936,0.04737715495810987,0.029348627271437198,0.01825988021860722,0.010432258451859567,0.005502991163354639,0.022709239030581974,0.026336052449194864,0.026710521649587135,0.02368100060736258,0.01643937789926418,0.010798942495587563,0.006087585612817214,0.004213737060706403,0.011953407202208218,0.013735166338428396,0.013887603908428985,0.012333984725675182,0.0093445691049777,0.005967080851835068,0.004428471027623338,0.003409102732964193,0.005888802209660821,0.006428199972768527,0.006472863971313042,0.006006831723562685,0.005031801589150094,0.004079496657923838,0.003358143529336635,0.0025300931999490133,0.003791116065132456,0.004057774972802781,0.004079496657923838,0.0038501652678167614,0.0035326786640254653,0.002947326489441426,0.002374026616583778,0.0018691048126167995,0.0026197952949315894,0.0027762322369442594,0.00278885047078571,0.0026546846705041904,0.0023543288631546347,0.002030547879506424,0.0016963015026924602,0.0012728285204339884
Sensor2,0.027287181578947908,0.051198357200526554,0.11439020440139909,0.17126058830660496,0.17126058830660496,0.11439020440139909,0.051198357200526554,0.027287181578947908,0.03164977520935644,0.06786917267390485,0.15469691685661083,0.23772508094767467,0.23772508094767467,0.15469691685661083,0.06786917267390485,0.03164977520935644,0.030698232070323118,0.06459876672060864,0.14415753867789116,0.21868882130919604,0.21868882130919604,0.14415753867789116,0.06459876672060864,0.030698232070323118,0.026000479138060525,0.04562343149622019,0.09328303884553046,0.1392901249095908,0.1392901249095908,0.09328303884553046,0.04562343149622019,0.026000479138060525,0.01825988021860722,0.029348627271437198,0.04478242991823673,0.061544350012626155,0.061544350012626155,0.04478242991823673,0.029348627271437198,0.01825988021860722,0.010798942495587563,0.01643937789926418,0.022709239030581974,0.026336052449194864,0.026336052449194864,0.022709239030581974,0.01643937789926418,0.010798942495587563,0.005967080851835068,0.0093445691049777,0.011953407202208218,0.013735166338428396,0.013735166338428396,0.011953407202208218,0.0093445691049777,0.005967080851835068,0.004079496657923838,0.005031801589150094,0.005888802209660821,0.006428199972768527,0.006428199972768527,0.005888802209660821,0.005031801589150094,0.004079496657923838,0.002947326489441426,0.0035326786640254653,0.003791116065132456,0.004057774972802781,0.004057774972802781,0.003791116065132456,0.0035326786640254653,0.002947326489441426,0.002030547879506424,0.0023543288631546347,0.0026197952949315894,0.0027762322369442594,0.0027762322369442594,0.0026197952949315894,0.0023543288631546347,0.002030547879506424
Sensor3,0.006557926520941618,0.013868417453656237,0.025923992406951143,0.0486414530383987,0.1208075077877985,0.17476799220155073,0.17476799220155073,0.1208075077877985,0.008289639638339813,0.01583442396531434,0.02995603543742567,0.06362197869290875,0.16236172283993372,0.2437783026977415,0.2437783026977415,0.16236172283993372,0.008143853961752667,0.01546363196083098,0.029078556329833805,0.06063113543199166,0.15218028119330784,0.22344147843137832,0.22344147843137832,0.15218028119330784,0.006291684738125425,0.012990226872374463,0.024668893121777953,0.04346394942040363,0.09818714600734045,0.14189546674725198,0.14189546674725198,0.09818714600734045,0.005312317933720935,0.00997427006315263,0.01745025844151689,0.028238660779860952,0.0460887738560294,0.06235136053443899,0.06235136053443899,0.0460887738560294,0.004087689271946431,0.005903356750958948,0.01041949159784131,0.01592908076227154,0.02320136457003769,0.026537917810760578,0.026537917810760578,0.02320136457003769,0.0033144977539958363,0.004316035672334602,0.005826376004806829,0.009118964079548634,0.012146858925863237,0.013817438306380717,0.013817438306380717,0.012146858925863237,0.0024697879301410763,0.003281819824664265,0.00400160960622997,0.004953257129750261,0.0059489989387045755,0.006452332984881573,0.006452332984881573,0.0059489989387045755,0.0018309594517805477,0.0023288505378319564,0.0028980394864304326,0.0034855517283659803,0.003821282165402379,0.004069518335898086,0.004069518335898086,0.003821282165402379,0.0012525816484250996,0.001508127714869414,0.0020025193650240734,0.0023288505378319564,0.0026376368798093283,0.0027830563127103696,0.0027830563127103696,0.0026376368798093283
Sensor4,0.049392224597797345,0.06988488809032496,0.0716802416624064,0.05239932079295412,0.03173104033816583,0.019508795398044197,0.010980013178231128,0.005687730447641489,0.10372307647776138,0.1556279150424953,0.16140002495060968,0.11506180192384885,0.04844669756804924,0.02621295561970546,0.014147087688593856,0.006687849787127206,0.15016747592566107,0.22926426055916452,0.23953395962351146,0.16608259956602117,0.06647896669276074,0.0312480491044447,0.01657265000811821,0.008654266933890157,0.15016747592566107,0.22926426055916452,0.23953395962351146,0.16608259956602117,0.06647896669276074,0.0312480491044447,0.01657265000811821,0.008654266933890157,0.10372307647776138,0.1556279150424953,0.16140002495060968,0.11506180192384885,0.04844669756804924,0.02621295561970546,0.014147087688593856,0.006687849787127206,0.04478242991823673,0.061544350012626155,0.06304577542274936,0.04737715495810987,0.029348627271437198,0.01825988021860722,0.010432258451859567,0.005502991163354639,0.025253464942100345,0.029348627271437198,0.02978854251891323,0.025433196943677672,0.01803131066790682,0.011648908644425086,0.006406048273927948,0.004391507934851297,0.013220049381668996,0.015578176159716593,0.015763951671692752,0.013659842518304903,0.010230621694759695,0.0063621011056870114,0.00467430861908218,0.0035784676568574154,0.0063621011056870114,0.008189020261461254,0.008262025533148542,0.006495378044014239,0.005399991532528689,0.004342970129848764,0.003560044434984358,0.002660568215571213,0.004068613111575013,0.004367133464154734,0.004391507934851297,0.00413460462247441,0.0037910600742294843,0.0031425569824808704,0.002513794638689658,0.0019657444876231478
Sensor5,0.019508795398044197,0.03173104033816583,0.049392224597797345,0.06988488809032496,0.06988488809032496,0.049392224597797345,0.03173104033816583,0.019508795398044197,0.02621295561970546,0.04844669756804924,0.10372307647776138,0.1556279150424953,0.1556279150424953,0.10372307647776138,0.04844669756804924,0.02621295561970546,0.0312480491044447,0.06647896669276074,0.15016747592566107,0.22926426055916452,0.22926426055916452,0.15016747592566107,0.06647896669276074,0.0312480491044447,0.0312480491044447,0.06647896669276074,0.15016747592566107,0.22926426055916452,0.22926426055916452,0.15016747592566107,0.06647896669276074,0.0312480491044447,0.02621295561970546,0.04844669756804924,0.10372307647776138,0.1556279150424953,0.1556279150424953,0.10372307647776138,0.04844669756804924,0.02621295561970546,0.01825988021860722,0.029348627271437198,0.04478242991823673,0.061544350012626155,0.061544350012626155,0.04478242991823673,0.029348627271437198,0.01825988021860722,0.011648908644425086,0.01803131066790682,0.025253464942100345,0.029348627271437198,0.029348627271437198,0.025253464942100345,0.01803131066790682,0.011648908644425086,0.0063621011056870114,0.010230621694759695,0.013220049381668996,0.015578176159716593,0.015578176159716593,0.013220049381668996,0.010230621694759695,0.0063621011056870114,0.004342970129848764,0.005399991532528689,0.0063621011056870114,0.008189020261461254,0.008189020261461254,0.0063621011056870114,0.005399991532528689,0.004342970129848764,0.0031425569824808704,0.0037910600742294843,0.004068613111575013,0.004367133464154734,0.004367133464154734,0.004068613111575013,0.0037910600742294843,0.0031425569824808704
Sensor6,0.005487057256610177,0.01048783895813716,0.01862037846304238,0.030486155633331187,0.05090451578512318,0.07084941341551348,0.07084941341551348,0.05090451578512318,0.006430051347986248,0.013443487389881213,0.02582652586907131,0.0460887738560294,0.10935683096478753,0.15871404779811066,0.15871404779811066,0.10935683096478753,0.00822845113078445,0.01567841862157735,0.029585709067655758,0.06235136053443899,0.15871404779811066,0.2346600666798854,0.2346600666798854,0.15871404779811066,0.00822845113078445,0.01567841862157735,0.029585709067655758,0.06235136053443899,0.15871404779811066,0.2346600666798854,0.2346600666798854,0.15871404779811066,0.006430051347986248,0.013443487389881213,0.02582652586907131,0.0460887738560294,0.10935683096478753,0.15871404779811066,0.15871404779811066,0.10935683096478753,0.005312317933720935,0.00997427006315263,0.01745025844151689,0.028238660779860952,0.0460887738560294,0.06235136053443899,0.06235136053443899,0.0460887738560294,0.0042571094309533895,0.006206676838576369,0.011226649874947111,0.01745025844151689,0.02582652586907131,0.029585709067655758,0.029585709067655758,0.02582652586907131,0.00347668353561416,0.004552026805255845,0.006206676838576369,0.00997427006315263,0.013443487389881213,0.01567841862157735,0.01567841862157735,0.013443487389881213,0.0025955020788256695,0.00347668353561416,0.0042571094309533895,0.005312317933720935,0.006430051347986248,0.00822845113078445,0.00822845113078445,0.006430051347986248,0.0019245744445731405,0.0024645335072492375,0.0030882459359359024,0.003738616923736254,0.004102317686157141,0.004380309934290886,0.004380309934290886,0.004102317686157141
Sensor7,0.004068613111575013,0.004367133464154734,0.004391507934851297,0.00413460462247441,0.0037910600742294843,0.0031425569824808704,0.002513794638689658,0.0019657444876231478,0.0063621011056870114,0.008189020261461254,0.008262025533148542,0.006495378044014239,0.005399991532528689,0.004342970129848764,0.003560044434984358,0.002660568215571213,0.013220049381668996,0.015578176159716593,0.015763951671692752,0.013659842518304903,0.010230621694759695,0.0063621011056870114,0.00467430861908218,0.0035784676568574154,0.025253464942100345,0.029348627271437198,0.02978854251891323,0.025433196943677672,0.01803131066790682,0.011648908644425086,0.006406048273927948,0.004391507934851297,0.04478242991823673,0.061544350012626155,0.06304577542274936,0.04737715495810987,0.029348627271437198,0.01825988021860722,0.010432258451859567,0.005502991163354639,0.10372307647776138,0.1556279150424953,0.16140002495060968,0.11506180192384885,0.04844669756804924,0.02621295561970546,0.014147087688593856,0.006687849787127206,0.15016747592566107,0.22926426055916452,0.23953395962351146,0.16608259956602117,0.06647896669276074,0.0312480491044447,0.01657265000811821,0.008654266933890157,0.15016747592566107,0.22926426055916452,0.23953395962351146,0.16608259956602117,0.06647896669276074,0.0312480491044447,0.01657265000811821,0.008654266933890157,0.10372307647776138,0.1556279150424953,0.16140002495060968,0.11506180192384885,0.04844669756804924,0.02621295561970546,0.014147087688593856,0.006687849787127206,0.049392224597797345,0.06988488809032496,0.0716802416624064,0.05239932079295412,0.03173104033816583,0.019508795398044197,0.010980013178231128,0.005687730447641489
Sensor8,0.0031425569824808704,0.0037910600742294843,0.004068613111575013,0.004367133464154734,0.004367133464154734,0.004068613111575013,0.0037910600742294843,0.0031425569824808704,0.004342970129848764,0.005399991532528689,0.0063621011056870114,0.008189020261461254,0.008189020261461254,0.0063621011056870114,0.005399991532528689,0.004342970129848764,0.0063621011056870114,0.010230621694759695,0.013220049381668996,0.015578176159716593,0.015578176159716593,0.013220049381668996,0.010230621694759695,0.0063621011056870114,0.011648908644425086,0.01803131066790682,0.025253464942100345,0.029348627271437198,0.029348627271437198,0.025253464942100345,0.01803131066790682,0.011648908644425086,0.01825988021860722,0.029348627271437198,0.04478242991823673,0.061544350012626155,0.061544350012626155,0.04478242991823673,0.029348627271437198,0.01825988021860722,0.02621295561970546,0.04844669756804924,0.10372307647776138,0.1556279150424953,0.1556279150424953,0.10372307647776138,0.04844669756804924,0.02621295561970546,0.0312480491044447,0.06647896669276074,0.15016747592566107,0.22926426055916452,0.22926426055916452,0.15016747592566107,0.06647896669276074,0.0312480491044447,0.0312480491044447,0.06647896669276074,0.15016747592566107,0.22926426055916452,0.22926426055916452,0.15016747592566107,0.06647896669276074,0.0312480491044447,0.02621295561970546,0.04844669756804924,0.10372307647776138,0.1556279150424953,0.1556279150424953,0.10372307647776138,0.04844669756804924,0.02621295561970546,0.019508795398044197,0.03173104033816583,0.049392224597797345,0.06988488809032496,0.06988488809032496,0.049392224597797345,0.03173104033816583,0.019508795398044197
Sensor9,0.0019245744445731405,0.0024645335072492375,0.0030882459359359024,0.003738616923736254,0.004102317686157141,0.004380309934290886,0.004380309934290886,0.004102317686157141,0.0025955020788256695,0.00347668353561416,0.0042571094309533895,0.005312317933720935,0.006430051347986248,0.00822845113078445,0.00822845113078445,0.006430051347986248,0.00347668353561416,0.004552026805255845,0.006206676838576369,0.00997427006315263,0.013443487389881213,0.01567841862157735,0.01567841862157735,0.013443487389881213,0.0042571094309533895,0.006206676838576369,0.011226649874947111,0.01745025844151689,0.02582652586907131,0.029585709067655758,0.029585709067655758,0.02582652586907131,0.005312317933720935,0.00997427006315263,0.01745025844151689,0.028238660779860952,0.0460887738560294,0.06235136053443899,0.06235136053443899,0.0460887738560294,0.006430051347986248,0.013443487389881213,0.02582652586907131,0.0460887738560294,0.10935683096478753,0.15871404779811066,0.15871404779811066,0.10935683096478753,0.00822845113078445,0.01567841862157735,0.029585709067655758,0.06235136053443899,0.15871404779811066,0.2346600666798854,0.2346600666798854,0.15871404779811066,0.00822845113078445,0.01567841862157735,0.029585709067655758,0.06235136053443899,0.15871404779811066,0.2346600666798854,0.2346600666798854,0.15871404779811066,0.006430051347986248,0.013443487389881213,0.02582652586907131,0.0460887738560294,0.10935683096478753,0.15871404779811066,0.15871404779811066,0.10935683096478753,0.005487057256610177,0.01048783895813716,0.01862037846304238,0.030486155633331187,0.05090451578512318,0.07084941341551348,0.07084941341551348,0.05090451578512318
Sensor10,0.0026197952949315894,0.0027762322369442594,0.00278885047078571,0.0026546846705041904,0.0023543288631546347,0.002030547879506424,0.0016963015026924602,0.0012728285204339884,0.003791116065132456,0.004057774972802781,0.004079496657923838,0.0038501652678167614,0.0035326786640254653,0.002947326489441426,0.002374026616583778,0.0018691048126167995,0.005888802209660821,0.006428199972768527,0.006472863971313042,0.006006831723562685,0.005031801589150094,0.004079496657923838,0.003358143529336635,0.0025300931999490133,0.011953407202208218,0.013735166338428396,0.013887603908428985,0.012333984725675182,0.0093445691049777,0.005967080851835068,0.004428471027623338,0.003409102732964193,0.022709239030581974,0.026336052449194864,0.026710521649587135,0.02368100060736258,0.01643937789926418,0.010798942495587563,0.006087585612817214,0.004213737060706403,0.04478242991823673,0.061544350012626155,0.06304577542274936,0.04737715495810987,0.029348627271437198,0.01825988021860722,0.010432258451859567,0.005502991163354639,0.09328303884553046,0.1392901249095908,0.14415753867789116,0.10313693115713328,0.04562343149622019,0.026000479138060525,0.013659842518304903,0.006540774830941913,0.14415753867789116,0.21868882130919604,0.22767250303233436,0.16041519467339546,0.06459876672060864,0.030698232070323118,0.016340415585763376,0.008563430789043211,0.15469691685661083,0.23772508094767467,0.2405563783018788,0.17126058830660496,0.06786917267390485,0.03164977520935644,0.016741397414442267,0.008719986333302994,0.11439020440139909,0.17126058830660496,0.177828496695812,0.12732838274130787,0.051198357200526554,0.027287181578947908,0.014604371750744085,0.006823870482903033
