,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45,Light46,Light47,Light48,Light49,Light50,Light51,Light52,Light53,Light54,Light55,Light56,Light57,Light58,Light59,Light60,Light61,Light62,Light63,Light64,Light65,Light66,Light67,Light68,Light69,Light70,Light71,Light72,Light73,Light74,Light75,Light76,Light77,Light78,Light79,Light80
Sensor1,0.14731339954026765,0.18891979481496604,0.19307196347199956,0.15638458973496852,0.09642674817911659,0.060102576438640636,0.03806811042708763,0.023856178907335733,0.17787759258678448,0.23763733294561212,0.24300623220665502,0.18891979481496604,0.1130059735622002,0.06750697703702996,0.04095119542143272,0.025443563471786088,0.17065214324159575,0.22606839096029005,0.23168751556786174,0.18169436448115456,0.10934766650253527,0.06591089871299563,0.040216194544119226,0.025090126427041,0.13162769417901174,0.16722849841328846,0.17065214324159575,0.13909914581673113,0.08837111589378678,0.05708075818627195,0.036112749586651546,0.022914704467725748,0.08713602088702962,0.10588097097108495,0.10759127003884848,0.09092936908842536,0.06362951535822164,0.043702299485305754,0.029239472812256934,0.01944587766993779,0.051508770007419526,0.05845699229637866,0.05910630705930706,0.053170080709001845,0.04039793916922176,0.03003735295443097,0.021403439536468654,0.01509105479162669,0.03251914661271343,0.036269517412862974,0.03658632709404908,0.033327923436088765,0.026842447710361574,0.021000691830614236,0.015820429233489176,0.011708132874819999,0.020738861373798816,0.022539781456353703,0.02268856936029555,0.02113358905873918,0.017860759622409787,0.014634168263524438,0.011554468968152355,0.009016775748382784,0.01365013408105167,0.01456016992264003,0.014634168263524438,0.013851917116358553,0.012079704929907746,0.010305643343297512,0.008528555728476668,0.006921704732267344,0.009295806183592029,0.009779827256710512,0.009818730079156426,0.009404035713068921,0.008466676164076961,0.007440442405310489,0.006360541720998921,0.005324205858584119
Sensor2,0.060102576438640636,0.09642674817911659,0.14731339954026765,0.18891979481496604,0.18891979481496604,0.14731339954026765,0.09642674817911659,0.060102576438640636,0.06750697703702996,0.1130059735622002,0.17787759258678448,0.23763733294561212,0.23763733294561212,0.17787759258678448,0.1130059735622002,0.06750697703702996,0.06591089871299563,0.10934766650253527,0.17065214324159575,0.22606839096029005,0.22606839096029005,0.17065214324159575,0.10934766650253527,0.06591089871299563,0.05708075818627195,0.08837111589378678,0.13162769417901174,0.16722849841328846,0.16722849841328846,0.13162769417901174,0.08837111589378678,0.05708075818627195,0.043702299485305754,0.06362951535822164,0.08713602088702962,0.10588097097108495,0.10588097097108495,0.08713602088702962,0.06362951535822164,0.043702299485305754,0.03003735295443097,0.04039793916922176,0.051508770007419526,0.05845699229637866,0.05845699229637866,0.051508770007419526,0.04039793916922176,0.03003735295443097,0.021000691830614236,0.026842447710361574,0.03251914661271343,0.036269517412862974,0.036269517412862974,0.03251914661271343,0.026842447710361574,0.021000691830614236,0.014634168263524438,0.017860759622409787,0.020738861373798816,0.022539781456353703,0.022539781456353703,0.020738861373798816,0.017860759622409787,0.014634168263524438,0.010305643343297512,0.012079704929907746,0.01365013408105167,0.01456016992264003,0.01456016992264003,0.01365013408105167,0.012079704929907746,0.010305643343297512,0.007440442405310489,0.008466676164076961,0.009295806183592029,0.009779827256710512,0.009779827256710512,0.009295806183592029,0.008466676164076961,0.007440442405310489
Sensor3,0.022971799675921258,0.03654648506740997,0.057740303761635595,0.09275963813168944,0.15185978967507646,0.19114878212109276,0.19114878212109276,0.15185978967507646,0.024469180188421518,0.03928330601503994,0.06465889608747138,0.10824442289712628,0.18314276421342063,0.24102823002427323,0.24102823002427323,0.18314276421342063,0.024137025914843423,0.03859572183108079,0.06317042032636302,0.10483468607752662,0.1761750619112912,0.22907471953528516,0.22907471953528516,0.1761750619112912,0.02208470240205417,0.034712441311439496,0.05484478744925859,0.08518853775245998,0.13538063622029434,0.16906802897383952,0.16906802897383952,0.13538063622029434,0.018805264227756902,0.028235884719473428,0.04224165281580296,0.061737028362112666,0.08905218681152742,0.10680176507115735,0.10680176507115735,0.08905218681152742,0.014662072667982497,0.020787556799161253,0.029211604403738742,0.039458291645658186,0.05235187585349216,0.05880725240129375,0.05880725240129375,0.05235187585349216,0.011422649524962155,0.015438747875975852,0.020529934674775197,0.026339162427895354,0.032930808916874485,0.03644057719627959,0.03644057719627959,0.032930808916874485,0.008828548591305599,0.011323827318245126,0.0143687433587569,0.017595846114926626,0.020940225305690712,0.022620181219586553,0.022620181219586553,0.020940225305690712,0.006798380738151131,0.008386548013070781,0.01015453785093057,0.011938177031135741,0.013753236900349098,0.014600177944928818,0.014600177944928818,0.013753236900349098,0.005243322223649377,0.006260059384949247,0.007350742368579191,0.008386548013070781,0.009351172702200804,0.009800868823843302,0.009800868823843302,0.009351172702200804
Sensor4,0.09384109652288272,0.11523453324149725,0.11720327921497148,0.09813386045638128,0.06764282594628143,0.045929540939374715,0.0304295776642583,0.020065530155875082,0.13953505317572595,0.17850387109819132,0.18234456473542893,0.1477937071695128,0.09247844819719707,0.05824313468903651,0.037124241337858986,0.02340406178736256,0.17480319614425668,0.23265439077025876,0.23866663704306101,0.18557976497718734,0.1114574405951801,0.06683436119248569,0.04064233356608169,0.025295337764941896,0.17480319614425668,0.23265439077025876,0.23866663704306101,0.18557976497718734,0.1114574405951801,0.06683436119248569,0.04064233356608169,0.025295337764941896,0.13953505317572595,0.17850387109819132,0.18234456473542893,0.1477937071695128,0.09247844819719707,0.05824313468903651,0.037124241337858986,0.02340406178736256,0.08713602088702962,0.10588097097108495,0.10759127003884848,0.09092936908842536,0.06362951535822164,0.043702299485305754,0.029239472812256934,0.01944587766993779,0.055829330889190065,0.06362951535822164,0.06437547630058936,0.05688361526283997,0.04329132120227204,0.031868808270011796,0.022465969718954995,0.0156950044672932,0.03519442261141786,0.038808493784217545,0.03915288646076914,0.036112749586651546,0.028798612779146873,0.022319496867572494,0.016653336204365293,0.012217012264553908,0.022319496867572494,0.024240046694246016,0.024406347235358863,0.022763551124939493,0.01909996112196938,0.01553022540195332,0.012161790399147682,0.009422270772410191,0.014597094171908588,0.015612267740768036,0.0156950044672932,0.014821815767598511,0.01285198410162531,0.01090141738474191,0.008965955598997256,0.007232826784466485
Sensor5,0.045929540939374715,0.06764282594628143,0.09384109652288272,0.11523453324149725,0.11523453324149725,0.09384109652288272,0.06764282594628143,0.045929540939374715,0.05824313468903651,0.09247844819719707,0.13953505317572595,0.17850387109819132,0.17850387109819132,0.13953505317572595,0.09247844819719707,0.05824313468903651,0.06683436119248569,0.1114574405951801,0.17480319614425668,0.23265439077025876,0.23265439077025876,0.17480319614425668,0.1114574405951801,0.06683436119248569,0.06683436119248569,0.1114574405951801,0.17480319614425668,0.23265439077025876,0.23265439077025876,0.17480319614425668,0.1114574405951801,0.06683436119248569,0.05824313468903651,0.09247844819719707,0.13953505317572595,0.17850387109819132,0.17850387109819132,0.13953505317572595,0.09247844819719707,0.05824313468903651,0.043702299485305754,0.06362951535822164,0.08713602088702962,0.10588097097108495,0.10588097097108495,0.08713602088702962,0.06362951535822164,0.043702299485305754,0.031868808270011796,0.04329132120227204,0.055829330889190065,0.06362951535822164,0.06362951535822164,0.055829330889190065,0.04329132120227204,0.031868808270011796,0.022319496867572494,0.028798612779146873,0.03519442261141786,0.038808493784217545,0.038808493784217545,0.03519442261141786,0.028798612779146873,0.022319496867572494,0.01553022540195332,0.01909996112196938,0.022319496867572494,0.024240046694246016,0.024240046694246016,0.022319496867572494,0.01909996112196938,0.01553022540195332,0.01090141738474191,0.01285198410162531,0.014597094171908588,0.015612267740768036,0.015612267740768036,0.014597094171908588,0.01285198410162531,0.01090141738474191
Sensor6,0.019392385479086352,0.029360727598124223,0.0443483351587955,0.06555379150447048,0.09600760133200129,0.11629407521778756,0.11629407521778756,0.09600760133200129,0.022545949874630083,0.03566162846423781,0.056790004022718436,0.08905218681152742,0.14367885700550967,0.18056632718495194,0.18056632718495194,0.14367885700550967,0.024329900678641176,0.03899443057046061,0.06403181657751816,0.10680176507115735,0.18056632718495194,0.2358635513808848,0.2358635513808848,0.18056632718495194,0.024329900678641176,0.03899443057046061,0.06403181657751816,0.10680176507115735,0.18056632718495194,0.2358635513808848,0.2358635513808848,0.18056632718495194,0.022545949874630083,0.03566162846423781,0.056790004022718436,0.08905218681152742,0.14367885700550967,0.18056632718495194,0.18056632718495194,0.14367885700550967,0.018805264227756902,0.028235884719473428,0.04224165281580296,0.061737028362112666,0.08905218681152742,0.10680176507115735,0.10680176507115735,0.08905218681152742,0.01523851893488938,0.021801085676855785,0.03096200028516208,0.04224165281580296,0.056790004022718436,0.06403181657751816,0.06403181657751816,0.056790004022718436,0.011911520857356087,0.01623931536011126,0.021801085676855785,0.028235884719473428,0.03566162846423781,0.03899443057046061,0.03899443057046061,0.03566162846423781,0.009220348999864451,0.011911520857356087,0.01523851893488938,0.018805264227756902,0.022545949874630083,0.024329900678641176,0.024329900678641176,0.022545949874630083,0.007100509699920734,0.008812123324736947,0.010736112274678624,0.01269572470423113,0.01471189087343034,0.015656996759511096,0.015656996759511096,0.01471189087343034
Sensor7,0.014597094171908588,0.015612267740768036,0.0156950044672932,0.014821815767598511,0.01285198410162531,0.01090141738474191,0.008965955598997256,0.007232826784466485,0.022319496867572494,0.024240046694246016,0.024406347235358863,0.022763551124939493,0.01909996112196938,0.01553022540195332,0.012161790399147682,0.009422270772410191,0.03519442261141786,0.038808493784217545,0.03915288646076914,0.036112749586651546,0.028798612779146873,0.022319496867572494,0.016653336204365293,0.012217012264553908,0.055829330889190065,0.06362951535822164,0.06437547630058936,0.05688361526283997,0.04329132120227204,0.031868808270011796,0.022465969718954995,0.0156950044672932,0.08713602088702962,0.10588097097108495,0.10759127003884848,0.09092936908842536,0.06362951535822164,0.043702299485305754,0.029239472812256934,0.01944587766993779,0.13953505317572595,0.17850387109819132,0.18234456473542893,0.1477937071695128,0.09247844819719707,0.05824313468903651,0.037124241337858986,0.02340406178736256,0.17480319614425668,0.23265439077025876,0.23866663704306101,0.18557976497718734,0.1114574405951801,0.06683436119248569,0.04064233356608169,0.025295337764941896,0.17480319614425668,0.23265439077025876,0.23866663704306101,0.18557976497718734,0.1114574405951801,0.06683436119248569,0.04064233356608169,0.025295337764941896,0.13953505317572595,0.17850387109819132,0.18234456473542893,0.1477937071695128,0.09247844819719707,0.05824313468903651,0.037124241337858986,0.02340406178736256,0.09384109652288272,0.11523453324149725,0.11720327921497148,0.09813386045638128,0.06764282594628143,0.045929540939374715,0.0304295776642583,0.020065530155875082
Sensor8,0.01090141738474191,0.01285198410162531,0.014597094171908588,0.015612267740768036,0.015612267740768036,0.014597094171908588,0.01285198410162531,0.01090141738474191,0.01553022540195332,0.01909996112196938,0.022319496867572494,0.024240046694246016,0.024240046694246016,0.022319496867572494,0.01909996112196938,0.01553022540195332,0.022319496867572494,0.028798612779146873,0.03519442261141786,0.038808493784217545,0.038808493784217545,0.03519442261141786,0.028798612779146873,0.022319496867572494,0.031868808270011796,0.04329132120227204,0.055829330889190065,0.06362951535822164,0.06362951535822164,0.055829330889190065,0.04329132120227204,0.031868808270011796,0.043702299485305754,0.06362951535822164,0.08713602088702962,0.10588097097108495,0.10588097097108495,0.08713602088702962,0.06362951535822164,0.043702299485305754,0.05824313468903651,0.09247844819719707,0.13953505317572595,0.17850387109819132,0.17850387109819132,0.13953505317572595,0.09247844819719707,0.05824313468903651,0.06683436119248569,0.1114574405951801,0.17480319614425668,0.23265439077025876,0.23265439077025876,0.17480319614425668,0.1114574405951801,0.06683436119248569,0.06683436119248569,0.1114574405951801,0.17480319614425668,0.23265439077025876,0.23265439077025876,0.17480319614425668,0.1114574405951801,0.06683436119248569,0.05824313468903651,0.09247844819719707,0.13953505317572595,0.17850387109819132,0.17850387109819132,0.13953505317572595,0.09247844819719707,0.05824313468903651,0.045929540939374715,0.06764282594628143,0.09384109652288272,0.11523453324149725,0.11523453324149725,0.09384109652288272,0.06764282594628143,0.045929540939374715
Sensor9,0.007100509699920734,0.008812123324736947,0.010736112274678624,0.01269572470423113,0.01471189087343034,0.015656996759511096,0.015656996759511096,0.01471189087343034,0.009220348999864451,0.011911520857356087,0.01523851893488938,0.018805264227756902,0.022545949874630083,0.024329900678641176,0.024329900678641176,0.022545949874630083,0.011911520857356087,0.01623931536011126,0.021801085676855785,0.028235884719473428,0.03566162846423781,0.03899443057046061,0.03899443057046061,0.03566162846423781,0.01523851893488938,0.021801085676855785,0.03096200028516208,0.04224165281580296,0.056790004022718436,0.06403181657751816,0.06403181657751816,0.056790004022718436,0.018805264227756902,0.028235884719473428,0.04224165281580296,0.061737028362112666,0.08905218681152742,0.10680176507115735,0.10680176507115735,0.08905218681152742,0.022545949874630083,0.03566162846423781,0.056790004022718436,0.08905218681152742,0.14367885700550967,0.18056632718495194,0.18056632718495194,0.14367885700550967,0.024329900678641176,0.03899443057046061,0.06403181657751816,0.10680176507115735,0.18056632718495194,0.2358635513808848,0.2358635513808848,0.18056632718495194,0.024329900678641176,0.03899443057046061,0.06403181657751816,0.10680176507115735,0.18056632718495194,0.2358635513808848,0.2358635513808848,0.18056632718495194,0.022545949874630083,0.03566162846423781,0.056790004022718436,0.08905218681152742,0.14367885700550967,0.18056632718495194,0.18056632718495194,0.14367885700550967,0.019392385479086352,0.029360727598124223,0.0443483351587955,0.06555379150447048,0.09600760133200129,0.11629407521778756,0.11629407521778756,0.09600760133200129
Sensor10,0.009295806183592029,0.009779827256710512,0.009818730079156426,0.009404035713068921,0.008466676164076961,0.007440442405310489,0.006360541720998921,0.005324205858584119,0.01365013408105167,0.01456016992264003,0.014634168263524438,0.013851917116358553,0.012079704929907746,0.010305643343297512,0.008528555728476668,0.006921704732267344,0.020738861373798816,0.022539781456353703,0.02268856936029555,0.02113358905873918,0.017860759622409787,0.014634168263524438,0.011554468968152355,0.009016775748382784,0.03251914661271343,0.036269517412862974,0.03658632709404908,0.033327923436088765,0.026842447710361574,0.021000691830614236,0.015820429233489176,0.011708132874819999,0.051508770007419526,0.05845699229637866,0.05910630705930706,0.053170080709001845,0.04039793916922176,0.03003735295443097,0.021403439536468654,0.01509105479162669,0.08713602088702962,0.10588097097108495,0.10759127003884848,0.09092936908842536,0.06362951535822164,0.043702299485305754,0.029239472812256934,0.01944587766993779,0.13162769417901174,0.16722849841328846,0.17065214324159575,0.13909914581673113,0.08837111589378678,0.05708075818627195,0.036112749586651546,0.022914704467725748,0.17065214324159575,0.22606839096029005,0.23168751556786174,0.18169436448115456,0.10934766650253527,0.06591089871299563,0.040216194544119226,0.025090126427041,0.17787759258678448,0.23763733294561212,0.24300623220665502,0.18891979481496604,0.1130059735622002,0.06750697703702996,0.04095119542143272,0.025443563471786088,0.14731339954026765,0.18891979481496604,0.19307196347199956,0.15638458973496852,0.09642674817911659,0.060102576438640636,0.03806811042708763,0.023856178907335733
