,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.248241998,0.106976952,0.019940033,0.212588709,0.096538534,0.019075195,0.034008772,0.023917153,0.009614287,0.007752538,0.006520655,0.003642818
Sensor2,0.106976952,0.248241998,0.061417731,0.096538534,0.212588709,0.058584033,0.023917153,0.034008772,0.017327803,0.006520655,0.007752538,0.005581354
Sensor3,0.034312018,0.186886645,0.186886645,0.032310632,0.162552161,0.162552161,0.012343684,0.030381924,0.030381924,0.004415106,0.007346963,0.007346963
Sensor4,0.134130571,0.070366702,0.016479614,0.31756228,0.128757767,0.022308662,0.065581792,0.042247005,0.012569866,0.012496799,0.010744699,0.00539408
Sensor5,0.070366702,0.134130571,0.045309221,0.128757767,0.31756228,0.0693989,0.042247005,0.065581792,0.029239822,0.010744699,0.012496799,0.008828341
Sensor6,0.026566175,0.106429288,0.106429288,0.037747982,0.234647134,0.234647134,0.018056705,0.058231571,0.058231571,0.006841625,0.01170417,0.01170417
Sensor7,0.012496799,0.010744699,0.00539408,0.065581792,0.042247005,0.012569866,0.31756228,0.128757767,0.022308662,0.134130571,0.070366702,0.016479614
Sensor8,0.010744699,0.012496799,0.008828341,0.042247005,0.065581792,0.029239822,0.128757767,0.31756228,0.0693989,0.070366702,0.134130571,0.045309221
Sensor9,0.006841625,0.01170417,0.01170417,0.018056705,0.058231571,0.058231571,0.037747982,0.234647134,0.234647134,0.026566175,0.106429288,0.106429288
Sensor10,0.007752538,0.006520655,0.003642818,0.034008772,0.023917153,0.009614287,0.212588709,0.096538534,0.019075195,0.248241998,0.106976952,0.019940033
Sensor11,0.006520655,0.007752538,0.005581354,0.023917153,0.034008772,0.017327803,0.096538534,0.212588709,0.058584033,0.106976952,0.248241998,0.061417731
Sensor12,0.004415106,0.007346963,0.007346963,0.012343684,0.030381924,0.030381924,0.032310632,0.162552161,0.162552161,0.034312018,0.186886645,0.186886645
