,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.18664811865167935,0.08043379816728266,0.01499250603875851,0.15984113441437275,0.07258536368636463,0.014342251888372353,0.025570505159324745,0.017982821868659366,0.007228787279608197,0.005828976024170933,0.004902747969647836,0.0027389609254428156
Sensor2,0.08043379816728266,0.18664811865167935,0.046178745308904,0.07258536368636463,0.15984113441437275,0.044048145424162494,0.017982821868659366,0.025570505159324745,0.013028423102774474,0.004902747969647836,0.005828976024170933,0.004196506894152948
Sensor3,0.025798509517138052,0.14051627424050595,0.14051627424050595,0.02429370849340443,0.12221966986614102,0.12221966986614102,0.009280965258858869,0.02284355222495854,0.02284355222495854,0.0033196283163107487,0.005524032449731555,0.005524032449731555
Sensor4,0.10085005328246288,0.05290729503133406,0.012390687202335441,0.2387686315159474,0.09681035149021305,0.016773430348851703,0.04930961786008172,0.03176466547593837,0.00945102680929506,0.009396089371508827,0.008078721256197005,0.0040556992051352676
Sensor5,0.05290729503133406,0.10085005328246288,0.03406708330068932,0.09681035149021305,0.2387686315159474,0.05217962442551761,0.03176466547593837,0.04930961786008172,0.021984828832401892,0.008078721256197005,0.009396089371508827,0.006637850064688624
Sensor6,0.019974567350995683,0.08002202082844125,0.08002202082844125,0.028381941053912035,0.17642641676078083,0.17642641676078083,0.013576469934047779,0.04378313600137162,0.04378313600137162,0.005144078768613422,0.00880012782574528,0.00880012782574528
Sensor7,0.009396089371508827,0.008078721256197005,0.0040556992051352676,0.04930961786008172,0.03176466547593837,0.00945102680929506,0.2387686315159474,0.09681035149021305,0.016773430348851703,0.10085005328246288,0.05290729503133406,0.012390687202335441
Sensor8,0.008078721256197005,0.009396089371508827,0.006637850064688624,0.03176466547593837,0.04930961786008172,0.021984828832401892,0.09681035149021305,0.2387686315159474,0.05217962442551761,0.05290729503133406,0.10085005328246288,0.03406708330068932
Sensor9,0.005144078768613422,0.00880012782574528,0.00880012782574528,0.013576469934047779,0.04378313600137162,0.04378313600137162,0.028381941053912035,0.17642641676078083,0.17642641676078083,0.019974567350995683,0.08002202082844125,0.08002202082844125
Sensor10,0.005828976024170933,0.004902747969647836,0.0027389609254428156,0.025570505159324745,0.017982821868659366,0.007228787279608197,0.15984113441437275,0.07258536368636463,0.014342251888372353,0.18664811865167935,0.08043379816728266,0.01499250603875851
Sensor11,0.004902747969647836,0.005828976024170933,0.004196506894152948,0.017982821868659366,0.025570505159324745,0.013028423102774474,0.07258536368636463,0.15984113441437275,0.044048145424162494,0.08043379816728266,0.18664811865167935,0.046178745308904
Sensor12,0.0033196283163107487,0.005524032449731555,0.005524032449731555,0.009280965258858869,0.02284355222495854,0.02284355222495854,0.02429370849340443,0.12221966986614102,0.12221966986614102,0.025798509517138052,0.14051627424050595,0.14051627424050595
