,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.247709301,0.118779026,0.033779967,0.2040605,0.100986883,0.033779967,0.041632672,0.031693235,0.017862746,0.019878875,0.013901092,0.013759885
Sensor2,0.119140625,0.23046875,0.072265625,0.1015625,0.189453125,0.068359375,0.03125,0.037109375,0.02734375,0.015625,0.017578125,0.015625
Sensor3,0.049739089,0.188820367,0.188931056,0.047778305,0.162942758,0.165180266,0.021900696,0.041785262,0.039769133,0.009914611,0.017868438,0.017868438
Sensor4,0.145412698,0.07768254,0.029873016,0.292825397,0.12552381,0.03384127,0.077698413,0.049793651,0.021920635,0.023904762,0.019936508,0.015952381
Sensor5,0.084268038,0.132307569,0.0581713,0.132379881,0.288526434,0.086236542,0.056202796,0.070271573,0.040093203,0.02215973,0.022087418,0.020046601
Sensor6,0.04114312,0.111615078,0.115599142,0.048973337,0.219246093,0.225222188,0.027336807,0.064564818,0.064564818,0.015660435,0.023490653,0.021429666
Sensor7,0.022847817,0.020968118,0.011453051,0.070598007,0.047691904,0.026723786,0.294019934,0.127921548,0.036238853,0.139432885,0.082109343,0.032421169
Sensor8,0.019245847,0.021146763,0.015399636,0.051931242,0.065385583,0.042293525,0.134617376,0.290425894,0.080770426,0.086547138,0.140408882,0.061524579
Sensor9,0.019655545,0.021493667,0.023586654,0.031448872,0.066658943,0.068836886,0.051104418,0.230182268,0.220227062,0.041319123,0.125880445,0.123702502
Sensor10,0.014955357,0.014787946,0.009263393,0.041127232,0.031696429,0.0203125,0.197823661,0.10078125,0.029910714,0.233258929,0.115736607,0.031696429
Sensor11,0.01573831,0.01573831,0.011862341,0.033649037,0.04147912,0.031632908,0.110715179,0.203832208,0.073112028,0.124671793,0.23314141,0.084974369
Sensor12,0.015300898,0.017180597,0.015235072,0.023017173,0.038252245,0.038252245,0.049662093,0.158779731,0.154888681,0.045968521,0.185152278,0.187370176
