,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.247709301,0.118779026,0.033779967,0.2040605,0.100986883,0.033779967,0.041127232,0.031696429,0.0203125,0.014955357,0.014787946,0.009263393
Sensor2,0.119140625,0.23046875,0.072265625,0.1015625,0.189453125,0.068359375,0.033649037,0.04147912,0.031632908,0.01573831,0.01573831,0.011862341
Sensor3,0.049739089,0.188820367,0.188931056,0.047778305,0.162942758,0.165180266,0.023017173,0.038252245,0.038252245,0.015300898,0.017180597,0.015235072
Sensor4,0.145412698,0.07768254,0.029873016,0.292825397,0.12552381,0.03384127,0.070598007,0.047691904,0.026723786,0.022847817,0.020968118,0.011453051
Sensor5,0.084268038,0.132307569,0.0581713,0.132379881,0.288526434,0.086236542,0.051931242,0.065385583,0.042293525,0.019245847,0.021146763,0.015399636
Sensor6,0.04114312,0.111615078,0.115599142,0.048973337,0.219246093,0.225222188,0.031448872,0.066658943,0.068836886,0.019655545,0.021493667,0.023586654
Sensor7,0.022847817,0.020968118,0.011453051,0.070598007,0.047691904,0.026723786,0.292825397,0.12552381,0.03384127,0.145412698,0.07768254,0.029873016
Sensor8,0.019245847,0.021146763,0.015399636,0.051931242,0.065385583,0.042293525,0.132379881,0.288526434,0.086236542,0.084268038,0.132307569,0.0581713
Sensor9,0.019655545,0.021493667,0.023586654,0.031448872,0.066658943,0.068836886,0.048973337,0.219246093,0.225222188,0.04114312,0.111615078,0.115599142
Sensor10,0.014955357,0.014787946,0.009263393,0.041127232,0.031696429,0.0203125,0.2040605,0.100986883,0.033779967,0.247709301,0.118779026,0.033779967
Sensor11,0.01573831,0.01573831,0.011862341,0.033649037,0.04147912,0.031632908,0.1015625,0.189453125,0.068359375,0.119140625,0.23046875,0.072265625
Sensor12,0.015300898,0.017180597,0.015235072,0.023017173,0.038252245,0.038252245,0.047778305,0.162942758,0.165180266,0.049739089,0.188820367,0.188931056
