Step,Power[cd],Power[W]
0,0,0
1,2796.0,106.6272
2,2891.5299999999997,107.47860000000001
3,2900.85,107.47860000000001
4,2973.5693,110.03280000000004
5,2996.8693000000003,110.03280000000004
6,3111.656051,114.7155
7,3132.6260509999997,114.7155
8,3202.67992187,117.26970000000003
9,3209.66992187,117.26970000000003
10,3335.9333811238002,121.52670000000003
11,3359.2333811238004,121.52670000000003
12,3423.338610743248,124.5066
13,3446.638610743248,124.5066
14,3553.1569747795825,127.48650000000002
15,3553.1569747795825,127.48650000000002
16,3741.469458600899,134.72340000000003
17,3750.7894586008993,134.72340000000003
18,3875.5072566840217,138.9804
19,3894.1472566840216,138.9804
20,4019.269236361137,143.2374
21,4033.249236361137,143.2374
22,4158.749168607626,148.34580000000003
23,4184.72711353166,148.34580000000003
24,4299.394637592459,153.02850000000004
25,4336.3794999025395,153.02850000000004
26,4497.706687638537,158.98830000000004
27,4493.689770252488,158.98830000000004
28,4642.468706344703,164.09670000000003
29,4659.769733882687,164.09670000000003
30,4788.903627005753,169.63080000000002
31,4797.580544391802,169.63080000000002
32,4935.560786630219,173.8878
33,4954.200786630219,173.8878
34,5206.746599323213,181.97610000000003
35,5189.010851270436,181.97610000000003
36,5411.872734061036,189.63870000000006
37,5415.155702884431,189.63870000000006
38,5488.933724102503,192.1929
39,5507.202873224483,192.1929
40,5523.4216914202,192.1929
41,5525.1229583879585,192.1929
42,5662.518757101883,198.15270000000004
43,5603.597640398464,198.15270000000004
44,5700.3371611420025,199.0041
45,5724.640454921842,199.0041
46,5861.79464674028,204.9639
47,5762.265427636707,204.9639
48,5791.690100901439,202.40970000000002
49,5808.944533482972,202.40970000000002
50,5802.95565856878,202.83540000000002
51,5796.61856922035,202.83540000000002
52,5840.219099928465,204.1125
53,5887.202818715338,204.1125
54,5924.993603019538,207.09240000000003
55,5904.494035631615,207.09240000000003
56,5989.40385006327,208.79519999999997
57,5919.480939527305,208.79519999999997
58,6117.27018944698,213.0522
59,5965.078762290582,213.0522
60,6086.120494928128,212.20080000000002
61,6016.3970929772695,212.20080000000002
62,6141.243350079251,214.32930000000002
63,6012.188676283866,214.32930000000002
64,5966.159895864919,207.94380000000004
65,5953.262135199528,207.94380000000004
66,5961.349093183725,208.36950000000004
67,5933.637268760638,208.36950000000004
68,5956.5380312346915,208.79520000000002
69,5915.655514936889,208.79520000000002
70,5929.561059579991,207.94380000000004
71,5911.532827253486,207.94380000000004
72,5986.852506924797,210.49800000000002
73,5899.272215964966,210.49800000000002
74,6040.206697614354,211.77509999999998
75,5907.200744598209,211.77509999999998
76,6063.672233739675,213.05220000000003
77,5911.244294201164,213.05220000000003
78,6012.799481772371,210.0723
79,5931.664219696082,210.0723
80,6012.608281512209,210.49800000000002
81,5950.591300570422,210.49800000000002
82,5970.1319946226895,209.22090000000003
83,5958.99614190413,209.22090000000003
84,6053.170867608916,212.62650000000002
85,5958.99614190413,212.62650000000002
86,5993.521185218408,210.07230000000004
87,6006.210397020252,210.07230000000004
88,6231.250878153534,219.01200000000003
89,6027.642742421209,219.01200000000003
90,6116.5317697838445,214.32930000000002
91,6041.145120023812,214.32930000000002
92,6123.796286039634,215.18070000000003
93,6024.81148409223,215.18070000000003
94,6273.721502444687,219.4377
95,6015.63256779798,219.4377
96,6127.673094378397,215.18070000000003
97,6029.125574750526,215.18070000000003
98,6178.001274474621,215.6064
99,6069.931094193758,215.6064
100,6233.637898121207,219.01200000000003
101,6088.090882484292,219.01200000000003
102,6137.738686070036,214.3293
103,6162.705298204175,214.3293
104,6338.111851127357,221.1405
105,6157.747676000858,221.1405
106,6300.558827374119,221.1405
107,6163.775074732637,221.1405
108,6406.414767574492,225.3975
109,6173.4930057755755,225.3975
110,6267.899032319231,219.01200000000003
111,6168.536860943677,219.01200000000003
112,6277.8130173346435,220.2891
113,6183.256611094417,220.2891
114,6331.389330275694,220.71480000000003
115,6193.364172864593,220.71480000000003
116,6333.433316963332,221.1405
117,6193.364172864593,221.1405
118,6135.546439918523,214.755
119,6129.5461926193175,214.755
120,6228.267266841523,218.16060000000002
121,6114.081623110948,218.16060000000002
122,6166.177947726225,215.6064
123,6150.95272093471,215.6064
124,6429.849202124582,224.97180000000003
125,6161.353159414738,224.97180000000003
126,6341.885906859017,221.99190000000002
127,6182.570053913995,221.99190000000002
128,6359.905104899931,222.84329999999997
129,6182.570053913995,222.84329999999997
130,6332.697420750142,221.5662
131,6227.842956188616,221.5662
132,6404.1409258207495,225.39750000000004
133,6256.528197551611,225.39750000000004
134,6334.34229319831,221.99190000000007
135,6256.528197551611,221.99190000000007
136,6342.61241928353,221.99190000000004
137,6250.5042968653825,221.99190000000004
138,6504.420250412707,227.526
139,6280.322605262215,227.526
140,6348.235428326335,222.84330000000003
141,6296.17934230302,222.84330000000003
142,6512.50090501006,227.95170000000002
143,6302.566423961621,227.95170000000002
144,6320.009400878042,221.14050000000003
145,6331.072339711328,221.14050000000003
146,6415.9268152731765,224.97180000000003
147,6351.199311433912,224.97180000000003
148,6298.355950915047,220.71480000000003
149,6284.535430332205,220.71480000000003
150,6350.55175262804,221.9919
151,6276.938623994495,221.9919
152,6436.777496690374,226.24890000000005
153,6310.453386407887,226.24890000000005
154,6262.275191457519,219.43770000000006
155,6274.660011675325,219.43770000000006
156,6438.872035574203,225.3975
157,6295.774311995762,225.3975
158,6454.883286949825,226.6746
159,6295.774311995762,226.6746
160,6425.997418100082,225.3975
161,6324.771284435829,225.3975
