Step,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
0,False,True,True,False,False,True,True,True,False,True,False,False
1,False,True,True,False,False,True,True,True,False,True,False,False
2,False,True,True,False,False,True,True,True,False,True,False,False
3,False,True,True,False,False,True,True,True,False,True,False,False
4,False,True,True,False,False,True,True,True,False,True,False,False
5,False,True,True,False,False,True,True,True,False,True,False,False
6,False,True,True,False,False,True,True,True,False,True,False,False
7,False,True,True,False,False,True,True,True,False,True,False,False
8,False,True,True,False,False,True,True,True,False,True,False,False
9,False,True,True,False,False,True,True,True,False,True,False,False
10,False,True,True,False,False,True,True,True,False,True,False,False
11,False,True,True,False,False,True,True,True,False,True,False,False
12,False,True,True,False,False,True,True,True,False,True,False,False
13,False,True,True,False,False,True,True,True,False,True,False,False
14,False,True,True,False,False,True,True,True,False,True,False,False
15,False,True,True,False,False,True,True,True,False,True,False,False
16,False,True,True,False,False,True,True,True,False,True,False,False
17,False,True,True,False,False,True,True,True,False,True,False,False
18,False,True,True,False,False,True,True,True,False,True,False,False
19,False,True,True,False,False,True,True,True,False,True,False,False
20,False,True,True,False,False,True,True,True,False,True,False,False
21,False,True,True,False,False,True,True,True,False,True,False,False
22,False,True,True,False,False,True,True,True,False,True,False,False
23,False,True,True,False,False,True,True,True,False,True,False,False
24,False,True,True,False,False,True,True,True,False,True,False,False
25,False,True,True,False,False,True,True,True,False,True,False,False
26,False,True,True,False,False,True,True,True,False,True,False,False
27,False,True,True,False,False,True,True,True,False,True,False,False
28,False,True,True,False,False,True,True,True,False,True,False,False
29,False,True,True,False,False,True,True,True,False,True,False,False
30,False,True,True,False,False,True,True,True,False,True,False,False
31,False,True,True,False,False,True,True,True,False,True,False,False
32,False,True,True,False,False,True,True,True,False,True,False,False
33,False,True,True,False,False,True,True,True,False,True,False,False
34,False,True,True,False,False,True,True,True,False,True,False,False
35,False,True,True,False,False,True,True,True,False,True,False,False
36,False,True,True,False,False,True,True,True,False,True,False,False
37,False,True,True,False,False,True,True,True,False,True,False,False
38,False,True,True,False,False,True,True,True,False,True,False,False
39,False,True,True,False,False,True,True,True,False,True,False,False
40,False,True,True,False,False,True,True,True,False,True,False,False
41,False,True,True,False,False,True,True,True,False,True,False,False
42,False,True,True,False,False,True,True,True,False,True,False,False
43,False,True,True,False,False,True,True,True,False,True,False,False
44,False,True,True,False,False,True,True,True,False,True,False,False
45,False,True,True,False,False,True,True,True,False,True,False,False
46,False,True,True,False,False,True,True,True,False,True,False,False
47,False,True,True,False,False,True,True,True,False,True,False,False
48,False,True,True,False,False,True,True,True,False,True,False,False
49,False,True,True,False,False,True,True,True,False,True,False,False
50,False,True,True,False,False,True,True,True,False,True,False,False
51,False,True,True,False,False,True,True,True,False,True,False,False
52,False,True,True,False,False,True,True,True,False,True,False,False
53,False,True,True,False,False,True,True,True,False,True,False,False
