Step,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
0,233,233,233,233,233,233,233,233,233,233,233,233
1,233,233,233,233,233,233,233,233,233,233,233,233
2,253,242,233,233,230,249,233,244,242,260,235,239
3,253,242,233,233,230,249,233,244,242,260,235,239
4,266,252,233,242,230,254,239,242,254,289,261,261
5,266,252,233,242,230,254,239,242,254,289,261,261
6,288,246,228,254,249,267,242,251,269,324,287,274
7,288,246,228,254,249,267,242,251,269,324,287,274
8,308,261,226,269,271,277,244,259,267,334,301,280
9,308,261,226,269,271,277,244,259,267,334,301,280
10,320,274,223,272,293,299,247,262,275,354,325,277
11,320,274,223,272,293,299,247,262,275,354,325,277
12,330,269,239,288,310,299,252,269,272,382,358,288
13,330,269,239,288,310,299,252,269,272,382,358,288
14,336,266,237,308,332,320,254,278,272,405,362,314
15,336,266,237,308,332,320,254,278,272,405,362,314
16,367,274,241,327,339,317,249,283,283,450,369,311
17,367,274,241,327,339,317,249,283,283,450,369,311
18,381,271,251,343,342,324,262,289,302,495,406,348
19,381,271,251,343,342,324,262,289,302,495,406,348
20,385,269,246,336,356,324,267,306,324,539,438,352
21,385,269,251,336,356,324,262,306,324,539,438,352
22,389,282,251,347,388,330,256,309,330,588,464,369
23,389,282,251,347,388,330,262,309,330,588,464,369
24,393,288,248,350,400,353,243,322,340,629,502,377
25,389,288,251,350,400,353,262,322,340,629,502,377
26,393,308,259,357,436,378,267,338,354,635,502,399
27,389,308,251,357,400,378,262,338,354,635,502,399
28,385,327,259,357,404,382,249,361,347,692,507,407
29,389,327,251,357,404,382,262,361,347,692,507,407
30,389,343,256,361,444,428,243,379,371,713,557,440
31,389,327,251,361,404,428,262,379,371,713,557,440
32,389,336,248,386,400,445,249,372,375,749,552,440
33,389,336,251,386,404,445,262,372,371,713,557,440
34,397,346,236,401,440,445,256,368,371,735,602,435
35,389,346,251,401,440,445,262,368,371,735,602,435
36,389,343,236,397,493,476,251,368,375,720,632,466
37,389,346,251,397,440,476,262,368,375,720,632,466
38,377,360,259,401,444,509,254,390,371,706,689,494
39,389,346,251,401,440,509,262,390,371,706,689,494
40,373,367,248,429,466,535,243,418,393,706,703,548
41,389,346,251,401,440,535,262,418,393,706,703,548
42,373,346,241,397,466,556,262,430,401,698,766,543
43,389,346,251,397,440,556,262,430,401,706,766,543
44,401,367,248,417,462,562,249,430,397,698,805,565
45,389,346,251,397,440,562,262,430,397,706,805,565
46,389,350,246,393,440,556,249,460,393,691,853,615
47,389,346,251,393,440,556,262,460,393,706,853,565
48,389,357,253,401,449,606,267,492,413,720,930,593
49,389,346,251,393,440,606,262,492,413,706,930,565
50,401,367,259,405,475,673,259,497,442,684,1023,621
51,389,346,251,405,440,606,262,497,413,706,1023,565
52,389,360,238,397,493,612,243,517,404,691,1094,621
53,389,346,251,397,440,612,262,517,404,706,1094,565
54,401,371,238,425,440,667,267,528,400,698,1160,576
55,389,346,251,397,440,612,262,517,404,706,1094,565
56,393,357,238,409,444,606,262,512,417,720,1193,570
57,389,346,251,397,440,606,262,517,417,706,1094,565
58,397,371,243,413,453,606,254,533,408,684,1182,587
59,389,346,251,397,440,606,262,517,408,706,1094,565
60,389,364,256,389,449,618,256,507,412,677,1083,615
61,389,346,251,389,440,606,256,507,408,677,1083,615
62,389,343,251,389,462,667,254,522,425,664,1192,659
63,389,346,251,389,440,606,256,507,408,677,1083,615
64,401,360,259,416,440,667,249,537,421,684,1181,640
65,389,346,251,389,440,606,256,507,408,677,1083,615
66,377,364,238,416,484,624,244,507,404,670,1148,665
67,389,346,251,416,440,624,256,507,408,677,1148,615
68,369,360,248,429,493,668,262,542,400,657,1148,677
69,389,346,251,429,440,624,256,542,408,677,1148,615
70,389,346,256,437,449,643,249,532,437,650,1263,665
71,389,346,251,429,440,624,256,542,437,677,1148,615
72,397,364,233,433,449,631,264,553,437,698,1263,646
73,389,346,251,429,440,624,256,542,437,677,1148,615
74,389,364,259,429,466,637,251,532,450,670,1148,677
75,389,346,251,429,440,624,256,532,437,677,1148,615
76,393,371,248,459,436,637,241,558,468,657,1217,609
77,389,346,251,429,440,624,256,532,437,677,1148,615
78,369,353,246,420,462,699,256,564,437,664,1183,683
79,389,346,251,420,440,624,256,532,437,677,1148,615
80,401,346,259,446,466,674,244,569,428,664,1206,622
81,389,346,251,420,440,624,256,532,437,677,1148,615
82,397,367,251,429,440,624,264,526,450,677,1275,634
83,389,346,251,420,440,624,256,532,450,677,1148,615
84,397,340,256,416,484,680,259,558,464,657,1263,652
85,389,346,251,416,440,624,256,532,450,677,1148,615
86,377,343,238,441,440,649,259,548,468,684,1263,640
87,389,346,251,416,440,624,256,532,468,677,1148,615
88,369,371,241,445,466,649,254,553,487,691,1263,634
89,389,346,251,416,440,624,256,532,468,677,1148,615
90,389,353,259,408,480,649,241,521,501,650,1263,683
91,389,346,251,408,440,624,256,532,468,677,1148,615
92,389,343,248,432,458,637,241,542,468,684,1137,609
93,389,346,251,408,440,624,241,542,468,684,1137,609
94,401,367,256,436,440,668,241,537,496,684,1194,682
95,389,346,251,408,440,624,241,542,468,684,1137,609
96,397,371,259,416,436,674,229,575,496,650,1194,615
97,389,346,251,408,440,624,241,575,468,684,1194,609
98,373,336,243,408,436,662,243,604,463,684,1265,664
99,373,346,251,408,440,624,241,575,468,684,1194,609
100,381,350,236,400,458,649,234,575,477,677,1254,676
101,373,346,251,400,440,624,241,575,468,684,1194,609
102,355,353,251,400,436,624,248,586,496,670,1280,658
103,355,346,251,400,440,624,241,575,496,684,1194,609
104,365,350,256,396,488,662,231,569,531,677,1254,646
105,355,346,251,396,440,624,241,575,496,684,1194,609
106,347,346,236,415,458,699,236,592,531,684,1280,658
107,355,346,251,415,440,624,241,575,496,684,1194,609
108,355,340,259,403,449,655,226,569,491,677,1182,664
109,355,346,251,403,440,624,226,569,496,677,1182,664
110,337,360,248,395,471,693,229,569,491,698,1253,724
111,355,346,251,395,440,624,226,569,496,677,1182,664
112,340,343,238,395,440,693,220,598,501,650,1280,737
113,355,346,251,395,440,624,226,569,496,677,1182,664
114,340,367,248,415,475,624,224,569,511,677,1280,737
115,355,346,251,415,440,624,226,569,496,677,1182,664
116,337,346,248,431,453,612,231,603,516,657,1241,704
117,355,346,251,431,440,612,226,569,516,677,1182,664
118,355,346,256,427,471,612,231,598,537,677,1276,737
119,355,346,251,427,440,612,226,569,516,677,1182,664
120,351,364,259,427,431,636,220,558,516,670,1280,671
121,355,346,251,427,440,612,226,569,516,677,1182,664
122,337,336,241,448,471,630,211,598,552,643,1182,691
123,355,346,251,448,440,612,211,598,516,677,1182,664
124,344,350,241,435,444,624,217,610,526,691,1170,744
125,344,346,251,435,440,612,211,598,516,677,1182,664
126,351,350,238,457,458,600,196,598,552,657,1265,697
127,344,346,251,435,440,600,211,598,552,677,1182,664
128,344,360,259,422,453,630,198,633,563,691,1265,704
129,344,346,251,422,440,600,211,598,552,677,1182,664
130,344,364,246,426,462,636,213,616,552,670,1241,717
131,344,346,251,422,440,600,211,598,552,677,1182,664
132,344,364,243,413,462,588,213,586,591,677,1182,744
133,344,346,251,413,440,600,211,598,552,677,1182,664
134,351,343,256,405,453,630,217,598,552,657,1265,684
135,344,346,251,405,440,600,211,598,552,677,1182,664
136,327,364,238,417,453,672,217,639,547,691,1276,744
137,344,346,251,417,440,600,211,598,552,677,1182,664
138,337,340,233,426,453,630,198,639,552,684,1280,737
139,344,346,251,426,440,600,211,598,552,677,1182,664
140,340,340,253,417,440,630,213,627,585,643,1170,744
141,340,346,251,417,440,600,213,627,552,677,1170,664
142,337,364,259,413,453,642,200,653,547,657,1182,671
143,340,346,251,413,440,600,200,653,552,677,1182,664
144,351,343,251,400,440,588,188,679,569,684,1264,664
145,340,346,251,413,440,588,200,653,569,677,1182,664
146,344,346,253,413,436,588,198,666,557,698,1194,664
147,340,346,251,413,440,588,200,653,557,677,1182,664
148,330,353,251,421,453,599,194,666,552,650,1217,677
149,340,346,251,421,440,588,194,653,557,677,1182,664
150,340,350,238,425,453,582,180,666,552,664,1217,671
151,340,346,251,425,440,582,180,653,552,677,1182,664
152,344,346,248,434,466,582,168,698,546,643,1280,711
153,340,346,251,425,440,582,180,653,552,677,1182,664
154,330,357,246,413,458,617,186,685,568,657,1280,717
155,340,346,251,413,440,582,180,653,552,677,1182,664
156,347,346,243,400,453,587,173,692,574,643,1280,731
157,340,346,251,400,440,582,180,653,552,677,1182,664
158,337,367,233,396,462,646,182,672,568,657,1229,731
159,340,346,251,396,440,582,180,653,552,677,1182,664
160,351,343,256,388,444,593,173,685,552,670,1170,684
161,340,346,251,388,440,582,173,685,552,677,1170,664
162,347,353,243,388,488,651,175,733,535,643,1205,704
163,340,346,251,388,440,582,173,685,552,677,1170,664
164,347,343,246,392,493,599,173,720,579,643,1252,684
165,340,346,251,388,440,582,173,685,552,677,1170,664
166,347,371,238,388,436,599,166,699,535,698,1252,671
167,340,346,251,388,440,582,173,685,552,677,1170,664
168,351,367,253,396,484,599,178,678,579,664,1158,691
169,340,346,251,388,440,582,178,678,552,677,1158,664
170,340,364,259,388,453,628,169,706,568,643,1280,691
171,340,346,251,388,440,582,178,678,552,677,1158,664
172,330,350,256,388,488,605,171,692,590,698,1193,744
173,340,346,251,388,440,582,178,678,552,677,1158,664
174,337,364,236,380,471,651,178,678,579,650,1158,691
175,340,346,251,388,440,582,178,678,552,677,1158,664
176,344,353,256,412,462,628,168,719,579,698,1216,697
177,340,346,251,388,440,582,178,678,552,677,1158,664
178,330,353,243,388,475,628,175,672,563,657,1228,677
179,340,346,251,388,440,582,178,678,552,677,1158,664
180,347,353,241,415,444,593,182,712,579,698,1216,724
181,340,346,251,388,440,582,178,678,552,677,1158,664
182,337,353,259,415,493,593,169,685,568,670,1205,717
183,340,346,251,388,440,582,178,678,552,677,1158,664
184,330,360,253,396,449,611,184,719,590,677,1251,711
185,340,346,251,388,440,582,178,678,552,677,1158,664
186,340,353,243,404,462,611,184,706,574,670,1274,697
187,340,346,251,388,440,582,178,678,552,677,1158,664
188,330,364,233,384,462,582,184,672,579,698,1239,724
189,340,346,251,388,440,582,178,678,552,677,1158,664
190,351,360,259,384,471,634,176,699,574,657,1216,717
191,340,346,251,388,440,582,178,678,552,677,1158,664
192,327,367,259,404,488,640,175,719,574,657,1193,717
193,340,346,251,388,440,582,178,678,552,677,1158,664
194,337,371,241,388,462,587,166,692,541,664,1280,744
195,340,346,251,388,440,582,178,678,552,677,1158,664
196,327,346,238,380,484,640,180,719,563,698,1274,704
197,340,346,251,388,440,582,178,678,552,677,1158,664
198,334,364,248,408,475,646,182,692,546,664,1193,731
199,340,346,251,388,440,582,178,678,552,677,1158,664
200,334,360,241,396,458,576,168,706,552,691,1262,724
201,340,346,251,388,440,582,178,678,552,677,1158,664
202,323,357,259,404,453,622,176,692,579,677,1205,691
203,340,346,251,388,440,582,178,678,552,677,1158,664
204,351,367,238,400,471,634,176,726,563,657,1262,664
205,340,346,251,388,440,582,178,678,552,677,1158,664
206,323,364,238,415,466,634,184,678,574,677,1239,691
207,340,346,251,388,440,582,178,678,552,677,1158,664
208,330,346,243,412,440,605,176,719,574,657,1216,744
209,340,346,251,388,440,582,178,678,552,677,1158,664
210,334,340,241,396,440,646,178,699,574,698,1216,737
211,340,346,251,388,440,582,178,678,552,677,1158,664
212,344,364,246,384,453,640,168,726,557,691,1158,717
213,340,346,251,388,440,582,178,678,552,677,1158,664
214,351,357,236,388,480,576,171,699,552,698,1280,664
215,340,346,251,388,440,582,178,678,552,677,1158,664
216,337,343,236,388,475,593,168,706,552,684,1170,724
217,340,346,251,388,440,582,178,678,552,677,1158,664
218,327,360,256,415,462,582,176,672,541,657,1193,677
219,340,346,251,388,440,582,176,678,552,677,1158,664
220,330,360,248,396,449,587,182,692,563,698,1228,717
221,340,346,251,388,440,582,176,678,552,677,1158,664
222,337,360,253,408,480,617,168,712,563,657,1274,658
223,340,346,251,388,440,582,176,678,552,677,1158,664
224,344,353,238,396,444,587,168,685,546,691,1274,737
225,340,346,251,388,440,582,176,678,546,677,1158,664
226,337,367,236,380,453,593,176,712,563,650,1280,691
227,340,346,251,388,440,582,176,678,546,677,1158,664
228,344,357,238,396,462,634,176,678,541,698,1170,658
229,340,346,251,388,440,582,176,678,546,677,1158,664
230,337,357,238,412,436,634,182,706,574,670,1147,684
231,340,346,251,388,440,582,176,678,546,677,1158,664
232,330,360,246,412,449,582,169,672,563,684,1216,677
233,340,346,251,388,440,582,176,678,546,677,1158,664
234,340,353,243,408,480,640,169,706,563,677,1262,684
235,340,346,251,388,440,582,176,678,546,677,1158,664
236,323,346,236,396,462,576,173,678,574,664,1193,697
237,340,346,251,396,440,576,176,678,546,677,1158,664
238,340,360,241,412,488,633,166,672,557,698,1205,711
239,340,346,251,396,440,576,176,678,546,677,1158,664
240,337,350,253,424,453,605,178,672,546,664,1216,664
241,340,346,251,396,440,576,176,678,546,677,1158,664
242,323,371,238,408,471,616,169,692,557,691,1274,664
243,340,346,251,408,440,576,176,678,546,677,1158,664
244,340,340,233,420,449,593,171,678,579,691,1158,658
245,340,346,251,420,440,576,176,678,546,677,1158,664
246,334,350,253,437,431,605,166,699,563,643,1262,691
247,340,346,251,420,440,576,176,678,546,677,1158,664
248,351,364,233,416,444,605,175,726,552,670,1170,744
249,340,346,251,420,440,576,176,678,546,677,1158,664
250,351,364,259,408,453,616,173,685,574,677,1205,704
251,340,346,251,408,440,576,176,678,546,677,1158,664
252,347,343,243,399,453,616,173,692,546,691,1147,691
253,340,346,251,399,440,576,176,678,546,677,1158,664
254,323,360,241,411,440,582,171,678,535,664,1274,711
255,340,346,251,411,440,576,176,678,535,677,1158,664
256,351,350,241,403,449,564,176,726,541,698,1280,691
257,340,346,251,411,440,564,176,678,541,677,1158,664
258,323,364,246,411,449,559,169,719,535,684,1158,664
259,323,346,251,411,440,559,176,678,541,677,1158,664
260,327,346,243,440,440,575,168,672,535,650,1251,737
261,323,346,251,411,440,559,176,678,541,677,1158,664
262,333,353,238,440,475,609,176,699,541,670,1228,717
263,323,346,251,411,440,559,176,678,541,677,1158,664
264,314,353,241,407,449,581,164,712,546,670,1280,737
265,323,346,251,411,440,559,176,678,541,677,1158,664
266,330,371,241,424,480,620,175,706,541,691,1216,664
267,323,346,251,411,440,559,176,678,541,677,1158,664
268,330,353,253,407,453,575,176,712,546,650,1228,744
269,323,346,251,411,440,559,176,678,541,677,1158,664
270,314,364,241,436,475,564,182,706,579,698,1205,658
271,323,346,251,411,440,559,176,678,541,677,1158,664
272,333,340,259,424,475,620,175,692,530,657,1181,658
273,323,346,251,411,440,559,176,678,541,677,1158,664
274,323,360,243,432,449,626,175,678,535,691,1193,664
275,323,346,251,411,440,559,176,678,541,677,1158,664
276,327,357,241,403,493,598,176,678,535,657,1280,731
277,323,346,251,411,440,559,176,678,541,677,1158,664
278,320,360,236,407,458,559,175,719,530,684,1170,731
279,323,346,251,411,440,559,176,678,541,677,1158,664
280,310,371,259,403,444,559,175,665,579,650,1262,664
281,323,346,251,403,440,559,176,678,541,677,1158,664
282,314,367,236,415,436,575,168,672,552,664,1262,744
283,323,346,251,403,440,559,176,678,541,677,1158,664
284,310,350,246,427,449,559,176,685,530,698,1216,671
285,323,346,251,403,440,559,176,678,541,677,1158,664
286,327,343,238,399,488,570,171,719,557,691,1251,744
287,323,346,251,403,440,559,176,678,541,677,1158,664
288,314,343,251,399,449,620,166,706,535,650,1216,664
289,323,346,251,399,440,559,176,678,541,677,1158,664
290,323,350,253,419,484,609,168,706,552,684,1262,717
291,323,346,251,399,440,559,176,678,541,677,1158,664
292,310,364,248,399,458,575,178,692,562,698,1216,737
293,323,346,251,399,440,559,176,678,541,677,1158,664
294,323,353,243,391,453,598,176,665,557,657,1205,724
295,323,346,251,391,440,559,176,678,541,677,1158,664
296,327,360,253,407,453,603,173,699,573,670,1280,731
297,323,346,251,391,440,559,176,678,541,677,1158,664
298,327,350,246,391,484,609,180,712,557,684,1158,677
299,323,346,251,391,440,559,176,678,541,677,1158,664
300,314,360,246,383,493,592,180,712,573,657,1262,724
301,323,346,251,391,440,559,176,678,541,677,1158,664
302,327,357,248,411,475,587,168,685,535,698,1147,658
303,323,346,251,391,440,559,176,678,541,677,1158,664
304,314,346,241,395,458,581,164,665,546,670,1274,717
305,323,346,251,395,440,559,176,678,541,677,1158,664
306,323,357,233,403,493,564,171,672,557,650,1274,724
307,323,346,251,395,440,559,176,678,541,677,1158,664
308,327,353,241,395,440,620,166,678,557,657,1274,724
309,323,346,251,395,440,559,176,678,541,677,1158,664
310,307,340,246,395,488,615,166,719,568,698,1228,737
311,323,346,251,395,440,559,176,678,541,677,1158,664
312,320,353,259,387,493,598,164,685,557,643,1216,691
313,323,346,251,395,440,559,164,678,541,677,1158,664
314,320,357,233,387,480,609,161,719,541,657,1274,737
315,323,346,251,395,440,559,164,678,541,677,1158,664
316,310,360,256,419,440,620,153,699,579,650,1193,658
317,323,346,251,395,440,559,153,678,541,677,1158,664
318,314,364,259,415,462,575,154,706,546,657,1280,677
319,323,346,251,395,440,559,153,678,541,677,1158,664
320,320,357,248,395,471,553,143,665,541,650,1280,717
321,323,346,251,395,440,553,153,678,541,677,1158,664
322,320,343,251,407,484,597,153,706,541,650,1205,737
323,323,346,251,395,440,553,153,678,541,677,1158,664
324,333,360,259,415,436,619,153,678,568,664,1147,658
325,323,346,251,395,440,553,153,678,541,664,1147,658
326,317,353,233,423,484,570,154,665,568,644,1193,690
327,323,346,251,395,440,553,153,678,541,664,1147,658
328,314,346,256,399,488,564,148,692,557,657,1135,704
329,323,346,251,399,440,553,153,692,541,664,1135,658
330,307,346,248,403,449,608,151,720,568,637,1158,677
331,323,346,251,403,440,553,153,692,541,664,1135,658
332,307,340,243,395,493,548,150,720,579,644,1237,723
333,323,346,251,395,440,553,153,692,541,664,1135,658
334,327,371,236,415,453,575,150,734,530,677,1181,671
335,323,346,251,395,440,553,153,692,541,664,1135,658
336,314,346,253,387,471,570,145,713,546,684,1271,730
337,323,346,251,387,440,553,153,692,541,664,1135,658
338,327,350,238,402,462,581,146,678,535,644,1147,671
339,323,346,251,402,440,553,146,678,541,644,1147,671
340,320,340,246,394,449,608,149,692,557,631,1238,698
341,323,346,251,394,440,553,146,678,541,644,1147,671
342,323,340,241,398,444,553,136,671,541,631,1250,691
343,323,346,251,398,440,553,146,678,541,644,1147,671
344,327,360,251,426,484,553,149,678,546,618,1261,711
345,323,346,251,398,440,553,146,678,541,644,1147,671
346,320,353,251,394,484,592,139,692,535,637,1192,671
347,323,346,251,394,440,553,146,678,541,644,1147,671
348,307,364,241,406,475,570,149,685,546,663,1250,745
349,323,346,251,394,440,553,146,678,541,644,1147,671
350,307,350,233,386,484,553,151,678,535,657,1158,731
351,323,346,251,386,440,553,146,678,541,644,1147,671
352,317,350,248,410,466,564,144,726,552,612,1204,691
353,323,346,251,386,440,553,146,678,541,644,1147,671
354,333,371,233,386,444,553,151,692,546,657,1273,745
355,323,346,251,386,440,553,146,678,546,644,1147,671
356,317,350,253,414,484,564,139,719,535,650,1250,677
357,323,346,251,386,440,553,146,678,546,644,1147,671
358,320,340,259,386,466,586,151,671,541,644,1261,751
359,323,346,251,386,440,553,146,678,546,644,1147,671
360,320,360,251,414,488,586,139,719,573,663,1227,677
361,323,346,251,386,440,553,146,678,546,644,1147,671
362,314,340,251,379,449,581,144,726,579,644,1135,745
