Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,417,407,359,458,467,363,647,645,519,508,604,472
10,414,348,301,521,406,320,337,498,680,318,545,700
11,198,299,297,179,248,231,129,150,148,120,141,130
12,109,118,121,113,130,122,113,128,127,106,125,117
13,173,204,259,191,263,310,281,486,683,288,544,702
14,400,324,300,517,374,286,452,389,293,400,377,274
15,301,289,283,339,372,337,628,664,713,489,595,621
16,339,369,349,430,519,434,492,676,788,424,603,708
17,447,386,343,585,500,402,501,603,728,410,572,684
18,439,380,328,563,484,364,411,638,631,389,683,706
19,179,224,315,192,261,310,274,460,663,290,548,702
20,109,118,121,113,130,122,113,128,127,106,125,117
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
