Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,False,True,False,False,False,True,False,False,False,False,False,False
10,False,False,True,False,False,False,False,False,False,True,True,False
11,False,False,False,False,False,False,False,False,False,False,False,False
12,False,False,False,False,False,False,False,False,False,False,False,False
13,False,False,False,False,False,False,False,False,False,False,False,False
14,True,True,True,False,False,True,False,False,False,True,False,False
15,True,False,False,False,False,False,False,False,False,False,False,False
16,False,False,True,False,False,True,True,False,False,False,False,False
17,False,False,False,False,False,False,False,False,False,False,True,False
18,False,False,True,False,False,False,False,False,False,False,False,False
19,True,False,False,False,False,False,False,False,False,False,False,False
20,False,False,False,False,False,False,False,False,False,False,False,False
21,False,False,False,False,False,False,False,False,False,False,False,False
22,False,False,False,False,False,False,False,False,False,False,False,False
