Step,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
0,300,300,300,500,500,300,500,700,500,300,500,700
1,300,300,300,500,500,300,500,700,500,300,500,700
2,300,300,300,500,500,300,500,700,500,300,500,700
3,300,300,300,500,500,300,500,700,500,300,500,700
4,300,300,300,500,500,300,500,700,500,300,500,700
5,300,300,300,500,500,300,500,700,500,300,500,700
6,300,300,300,500,500,300,500,700,500,300,500,700
7,300,300,300,500,500,300,500,700,500,300,500,700
8,300,300,300,500,500,300,500,700,500,300,500,700
9,300,300,300,500,500,300,500,700,500,300,500,700
10,300,300,300,500,500,300,500,700,500,300,500,700
11,300,300,300,500,500,300,500,700,500,300,500,700
12,300,300,300,500,500,300,500,700,500,300,500,700
13,300,300,300,500,500,300,500,700,500,300,500,700
14,300,300,300,500,500,300,500,700,500,300,500,700
15,300,300,300,500,500,300,500,700,500,300,500,700
16,300,300,300,500,500,300,500,700,500,300,500,700
17,300,300,300,500,500,300,500,700,500,300,500,700
18,300,300,300,500,500,300,500,700,500,300,500,700
19,300,300,300,500,500,300,500,700,500,300,500,700
20,300,300,300,500,500,300,500,700,500,300,500,700
21,300,300,300,500,500,300,500,700,500,300,500,700
22,300,300,300,500,500,300,500,700,500,300,500,700
23,300,300,300,500,500,300,500,700,500,300,500,700
24,300,300,300,500,500,300,500,700,500,300,500,700
25,300,300,300,500,500,300,500,700,500,300,500,700
26,300,300,300,500,500,300,500,700,500,300,500,700
27,300,300,300,500,500,300,500,700,500,300,500,700
28,300,300,300,500,500,300,500,700,500,300,500,700
29,300,300,300,500,500,300,500,700,500,300,500,700
30,300,300,300,500,500,300,500,700,500,300,500,700
31,300,300,300,500,500,300,500,700,500,300,500,700
32,300,300,300,500,500,300,500,700,500,300,500,700
33,300,300,300,500,500,300,500,700,500,300,500,700
34,300,300,300,500,500,300,500,700,500,300,500,700
35,300,300,300,500,500,300,500,700,500,300,500,700
36,300,300,300,500,500,300,500,700,500,300,500,700
37,300,300,300,500,500,300,500,700,500,300,500,700
38,300,300,300,500,500,300,500,700,500,300,500,700
39,300,300,300,500,500,300,500,700,500,300,500,700
40,300,300,300,500,500,300,500,700,500,300,500,700
41,300,300,300,500,500,300,500,700,500,300,500,700
42,300,300,300,500,500,300,500,700,500,300,500,700
43,300,300,300,500,500,300,500,700,500,300,500,700
44,300,300,300,500,500,300,500,700,500,300,500,700
45,300,300,300,500,500,300,500,700,500,300,500,700
46,300,300,300,500,500,300,500,700,500,300,500,700
47,300,300,300,500,500,300,500,700,500,300,500,700
48,300,300,300,500,500,300,500,700,500,300,500,700
49,300,300,300,500,500,300,500,700,500,300,500,700
50,300,300,300,500,500,300,500,700,500,300,500,700
51,300,300,300,500,500,300,500,700,500,300,500,700
52,300,300,300,500,500,300,500,700,500,300,500,700
53,300,300,300,500,500,300,500,700,500,300,500,700
54,300,300,300,500,500,300,500,700,500,300,500,700
55,300,300,300,500,500,300,500,700,500,300,500,700
56,300,300,300,500,500,300,500,700,500,300,500,700
57,300,300,300,500,500,300,500,700,500,300,500,700
58,300,300,300,500,500,300,500,700,500,300,500,700
59,300,300,300,500,500,300,500,700,500,300,500,700
60,300,300,300,500,500,300,500,700,500,300,500,700
61,300,300,300,500,500,300,500,700,500,300,500,700
62,300,300,300,500,500,300,500,700,500,300,500,700
63,300,300,300,500,500,300,500,700,500,300,500,700
64,300,300,300,500,500,300,500,700,500,300,500,700
65,300,300,300,500,500,300,500,700,500,300,500,700
66,300,300,300,500,500,300,500,700,500,300,500,700
67,300,300,300,500,500,300,500,700,500,300,500,700
68,300,300,300,500,500,300,500,700,500,300,500,700
69,300,300,300,500,500,300,500,700,500,300,500,700
70,300,300,300,500,500,300,500,700,500,300,500,700
71,300,300,300,500,500,300,500,700,500,300,500,700
