Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5873636,2796,5870840,9429407,2796,9426611,1198727,2796,1195931,10931675,2796,10928879,7384485,2796,7381689,548065,2796,545269,10289812,2796,10287016,9611065,2796,9608269,542666,2796,539870,9611065,2796,9608269,9979612,2796,9976816,6656178,2796,6653382
2,5307894,2910,5304984,8494560,2910,8491650,1021298,2910,1018388,9868023,2910,9865113,6564249,2910,6561339,477292,2910,474381,9408796,2910,9405886,8786227,2910,8783317,466626,2910,463715,8786227,2910,8783317,9091310,2910,9088400,6132773,2910,6129862
3,5307894,2910,5304984,8494560,2910,8491650,1021298,2910,1018388,9868023,2910,9865113,6564249,2910,6561339,477292,2910,474381,9408796,2910,9405886,8786227,2910,8783317,466626,2910,463715,8786227,2910,8783317,9091310,2910,9088400,6132773,2910,6129862
4,4817570,3006,4814564,7615714,3006,7612708,787129,3006,784123,9297895,3006,9294889,5777662,3006,5774656,357622,3006,354615,8765986,3006,8762980,8433485,3006,8430479,351265,3006,348258,8433485,3006,8430479,8721073,3006,8718067,5894482,3006,5891476
5,4817570,3006,4814564,7615714,3006,7612708,787129,3006,784123,9297895,3006,9294889,5777662,3006,5774656,357622,3006,354615,8765986,3006,8762980,8433485,3006,8430479,351265,3006,348258,8433485,3006,8430479,8721073,3006,8718067,5894482,3006,5891476
6,4169156,3197,4165959,6464783,3197,6461586,461988,3197,458791,8186867,3197,8183670,4735760,3197,4732563,204474,3197,201277,7819966,3197,7816769,7472335,3197,7469138,195161,3197,191964,7472335,3197,7469138,7746806,3197,7743609,5193344,3197,5190147
7,4169156,3197,4165959,6464783,3197,6461586,461988,3197,458791,8186867,3197,8183670,4735760,3197,4732563,204474,3197,201277,7819966,3197,7816769,7472335,3197,7469138,195161,3197,191964,7472335,3197,7469138,7746806,3197,7743609,5193344,3197,5190147
8,3685345,3303,3682041,5697349,3303,5694045,346178,3303,342874,7407850,3303,7404546,4106312,3303,4103008,161263,3303,157959,7053428,3303,7050124,6777177,3303,6773873,152465,3303,149161,6777177,3303,6773873,7061744,3303,7058440,4656859,3303,4653555
9,3685345,3303,3682041,5697349,3303,5694045,346178,3303,342874,7407850,3303,7404546,4106312,3303,4103008,161263,3303,157959,7053428,3303,7050124,6777177,3303,6773873,152465,3303,149161,6777177,3303,6773873,7061744,3303,7058440,4656859,3303,4653555
10,3281248,3449,3277798,5025475,3449,5022025,198588,3449,195138,6500454,3449,6497004,3519873,3449,3516424,92555,3449,89105,6358322,3449,6354873,6031337,3449,6027888,97749,3449,94299,6031337,3449,6027888,6234491,3449,6231041,4219635,3449,4216185
