Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,12,32,14,102,25,33,12,48,56,12,71,90
10,38,21,21,85,25,45,14,31,86,31,55,84
11,23,12,12,53,91,18,40,58,79,36,68,21
12,12,12,12,12,12,12,12,12,12,12,12,12
13,33,29,21,44,41,26,89,54,105,17,35,53
14,22,19,18,30,39,37,97,72,75,28,51,44
15,35,25,24,48,35,48,63,63,27,17,29,54
16,34,45,25,51,30,28,77,37,61,30,21,33
17,12,16,12,84,28,12,26,72,102,26,62,56
18,12,12,12,19,97,29,105,49,36,26,67,18
19,12,32,12,105,28,22,12,105,12,12,41,12
20,12,12,12,12,12,12,12,39,12,28,105,12
21,12,12,12,12,12,12,12,12,12,12,12,12
22,12,12,12,12,12,12,12,12,12,12,12,12
