Step,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
0,20,20,20,20,20,20,20,20,20,20,20,20
1,20,20,20,20,20,20,20,20,20,20,20,20
2,21,21,20,21,21,20,20,20,20,21,20,20
3,21,21,20,21,21,20,20,20,20,21,20,20
4,23,23,22,22,21,21,21,20,21,23,21,21
5,23,23,22,22,21,21,21,20,21,23,21,21
6,24,23,22,24,21,23,23,20,22,25,21,23
7,24,23,22,24,21,23,23,20,22,25,21,23
8,25,23,24,25,21,25,23,20,22,27,23,24
9,25,23,24,25,21,25,23,20,22,27,23,24
10,25,25,25,25,21,28,25,21,24,30,24,27
11,25,25,25,25,21,28,25,21,24,30,24,27
12,25,28,25,26,21,29,26,22,25,30,24,27
13,25,28,25,26,21,29,26,22,25,30,24,27
14,26,30,27,29,22,31,28,23,25,33,26,28
15,26,30,27,29,22,31,28,23,25,33,26,28
16,26,32,26,28,23,34,31,23,27,33,25,30
17,26,32,26,28,23,34,31,23,27,33,25,30
18,29,34,27,28,24,35,34,24,30,37,25,30
19,29,34,27,28,24,35,34,24,30,37,25,30
20,29,37,27,30,25,37,37,24,32,41,26,32
21,29,37,27,30,25,37,37,24,32,41,26,32
22,30,36,28,31,24,40,38,26,36,44,28,35
23,30,36,28,31,24,40,38,26,36,44,28,35
24,30,34,27,31,25,41,42,26,39,49,27,37
25,30,34,27,31,25,41,42,26,39,49,27,37
26,34,35,26,32,24,42,46,26,41,55,29,39
27,34,35,26,32,24,42,46,26,41,55,29,39
28,37,36,27,33,24,46,51,27,45,59,31,41
29,37,36,27,33,24,46,51,27,45,59,31,41
30,38,38,27,34,25,43,57,27,46,60,32,43
31,38,38,27,34,25,43,57,27,46,60,32,43
32,40,36,26,37,23,43,53,27,50,58,35,44
33,40,36,26,37,23,43,53,27,50,58,35,44
34,41,37,28,35,25,43,56,28,50,60,36,46
35,41,37,28,35,25,43,56,28,50,60,36,46
36,39,34,27,35,25,42,60,29,55,57,36,47
37,39,34,27,35,25,42,60,29,55,57,36,47
38,37,38,27,37,25,40,53,29,56,60,40,52
39,37,38,27,37,25,40,53,29,56,60,40,52
40,39,35,26,35,25,40,59,29,62,60,41,57
41,39,35,26,35,25,40,59,29,62,60,41,57
42,38,37,26,36,25,42,54,29,69,57,41,63
43,38,37,26,36,25,42,54,29,69,57,41,63
44,39,34,26,35,24,42,57,31,73,60,42,63
45,39,34,26,35,24,42,57,31,73,60,42,63
46,38,37,28,34,24,40,54,31,74,60,45,66
47,38,37,28,34,24,40,54,31,74,60,45,66
48,38,35,28,36,24,42,60,29,74,58,43,68
49,38,35,28,36,24,42,60,29,74,58,43,68
50,38,36,27,34,25,43,58,30,73,56,43,70
51,38,36,27,34,25,43,58,30,73,56,43,70
52,37,36,27,36,24,42,55,31,77,59,42,69
53,37,36,27,36,24,42,55,31,77,59,42,69
54,38,34,27,36,25,42,59,29,83,57,42,62
55,38,34,27,36,25,42,59,29,83,57,42,62
56,41,35,26,35,24,40,60,31,75,57,43,66
57,41,35,26,35,24,40,60,31,75,57,43,66
58,39,36,28,38,25,41,60,29,75,59,45,64
59,39,36,28,38,25,41,60,29,75,59,45,64
60,41,34,26,34,23,42,56,31,77,56,44,64
61,41,34,26,34,23,42,56,31,77,56,44,64
62,38,37,26,35,24,41,58,30,81,57,46,65
63,38,37,26,35,24,41,58,30,81,57,46,65
64,39,36,28,35,25,41,54,30,77,60,41,64
65,39,36,28,35,25,41,54,30,77,60,41,64
66,42,35,27,34,24,41,60,30,80,56,45,68
67,42,35,27,34,24,41,60,30,80,56,45,68
68,37,35,26,36,23,42,55,31,81,56,44,68
69,37,35,26,36,23,42,55,31,81,56,44,68
70,37,37,27,36,24,41,61,31,83,60,41,66
71,37,37,27,36,24,41,61,31,83,60,41,66
72,40,37,26,37,23,43,61,29,84,56,44,67
73,40,37,26,37,23,43,61,29,84,56,44,67
74,41,37,27,37,24,41,57,31,82,56,41,68
75,41,37,27,37,24,41,57,31,82,56,41,68
76,39,34,26,37,25,43,64,30,89,58,45,62
77,39,34,26,37,25,43,64,30,89,58,45,62
78,40,34,28,37,23,41,61,30,91,57,43,65
79,40,34,28,37,23,41,61,30,91,57,43,65
80,38,37,27,35,23,41,60,30,89,57,46,63
81,38,37,27,35,23,41,60,30,89,57,46,63
82,42,34,28,37,25,40,61,29,88,59,45,65
83,42,34,28,37,25,40,61,29,88,59,45,65
