Step,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
0,199,214,221,207,237,222,206,233,232,193,228,214
1,199,214,221,207,237,222,206,233,232,193,228,214
2,206,219,228,214,243,231,217,245,243,201,239,224
3,206,219,228,214,243,231,217,245,243,201,239,224
4,214,227,235,223,254,240,222,252,250,207,248,233
5,214,227,235,223,254,240,222,252,250,207,248,233
6,225,241,250,234,269,254,232,263,259,215,259,242
7,225,241,250,234,269,254,232,263,259,215,259,242
8,233,251,261,243,281,266,249,277,273,229,276,258
9,233,251,261,243,281,266,249,277,273,229,276,258
10,248,263,271,259,293,275,268,294,287,245,294,275
11,248,263,271,259,293,275,268,294,287,245,294,275
12,257,278,290,270,309,295,278,310,305,255,308,290
13,257,278,290,270,309,295,278,310,305,255,308,290
14,273,291,304,284,321,307,289,320,314,266,318,298
15,273,291,304,284,321,307,289,320,314,266,318,298
16,287,306,317,297,336,319,300,330,322,275,325,304
17,287,306,317,297,336,319,300,330,322,275,325,304
18,307,326,333,317,358,335,312,348,339,287,344,321
19,307,325,331,317,357,334,312,348,339,287,344,320
20,326,350,356,335,383,360,330,370,357,300,361,335
21,326,349,355,335,383,359,330,370,357,300,361,335
22,353,374,375,361,408,380,356,400,381,320,390,359
23,353,374,375,361,408,380,356,400,381,320,390,359
24,372,390,387,378,424,391,376,422,402,340,415,382
25,372,391,389,379,424,393,377,423,402,340,416,382
26,395,411,409,404,447,414,406,454,429,367,448,408
27,385,400,396,397,439,402,404,451,425,365,446,406
28,399,417,413,414,457,419,425,473,447,384,471,429
29,395,409,404,411,452,411,424,472,445,383,470,428
30,421,437,428,437,479,436,441,498,470,401,495,450
31,406,416,409,427,462,418,438,494,466,398,492,447
32,427,434,424,447,484,436,455,513,483,413,511,463
33,412,421,412,435,469,422,452,509,479,411,509,460
34,441,450,433,467,502,444,473,544,511,431,541,490
35,416,425,417,441,476,429,467,537,506,427,537,487
36,436,451,441,460,504,452,482,558,526,442,564,513
37,418,426,419,443,479,431,477,550,516,438,557,502
38,457,459,443,483,516,456,501,579,546,457,588,535
39,421,429,422,447,484,436,492,567,533,451,578,520
40,443,450,440,468,509,457,528,609,572,481,625,564
41,427,434,428,456,493,444,525,603,563,479,619,552
42,450,455,440,479,515,456,553,632,584,497,640,570
43,432,438,432,464,501,450,551,628,580,497,638,565
44,454,460,450,488,531,472,581,672,620,525,685,609
45,435,441,435,468,505,453,567,647,596,513,665,586
46,447,453,441,483,521,462,575,666,617,519,684,607
47,435,442,436,469,507,456,569,654,607,517,677,598
48,447,453,446,483,523,468,590,687,634,533,708,626
49,436,443,437,470,508,456,576,657,607,521,679,599
50,452,450,439,488,518,460,591,669,614,529,686,604
51,438,444,438,473,510,457,587,661,608,529,683,600
52,442,446,440,476,513,460,591,677,626,532,696,618
53,438,444,438,473,510,458,586,663,612,529,685,603
54,447,453,445,481,517,460,594,681,628,539,711,626
55,438,444,438,472,510,457,584,662,610,527,684,602
56,453,457,447,490,531,471,620,713,654,558,740,651
57,438,444,438,472,510,457,584,662,610,527,684,602
58,445,445,439,481,512,460,590,670,622,532,697,619
59,438,444,438,473,510,458,586,663,613,529,686,604
60,454,459,453,492,529,474,608,689,638,545,714,631
61,440,445,439,476,513,459,599,669,615,537,690,606
62,446,453,445,485,528,469,620,706,649,560,736,648
63,440,446,440,476,513,460,599,669,616,537,691,607
64,460,461,448,498,532,471,623,695,640,555,720,635
65,440,446,440,476,513,460,599,670,618,538,691,608
66,461,463,454,499,533,476,620,698,648,555,726,642
67,440,446,440,476,513,460,599,670,618,538,691,608
68,453,455,450,489,527,473,625,697,644,560,726,642
69,440,446,440,476,513,460,599,670,618,538,691,608
70,448,457,451,488,531,474,626,702,645,558,719,632
71,440,446,440,476,513,460,599,670,618,538,691,608
72,449,459,452,487,527,472,612,699,645,554,728,642
73,439,445,439,475,512,459,594,667,616,534,689,607
74,465,467,453,503,537,474,626,705,644,556,717,629
75,439,445,439,475,512,459,594,667,616,534,689,607
76,456,462,453,495,530,472,619,690,633,556,718,630
77,439,445,439,475,512,459,594,667,616,534,689,607
78,452,460,451,490,530,472,605,689,639,544,712,630
79,439,445,439,475,512,459,594,667,616,534,689,607
80,448,452,447,486,521,468,603,692,644,544,716,636
81,439,445,440,474,512,460,589,667,620,531,689,609
82,449,452,446,487,522,469,608,693,644,543,713,632
83,439,446,440,474,513,461,590,668,623,532,690,612
84,453,463,455,487,531,476,601,692,645,539,713,633
85,439,446,441,475,513,461,592,669,624,533,691,612
86,450,450,441,489,519,461,611,687,635,547,707,625
87,439,444,437,474,511,457,592,668,620,533,689,609
88,450,458,451,485,527,472,615,711,658,556,738,651
89,439,444,437,474,511,457,592,668,620,533,689,609
90,457,461,447,491,530,467,609,709,661,552,738,654
91,439,445,438,474,512,459,588,668,628,531,690,614
92,455,459,446,488,525,465,598,700,655,541,723,643
93,438,444,438,473,511,458,583,666,627,527,688,614
94,453,459,448,489,528,470,596,691,648,536,706,632
95,438,444,438,473,511,458,585,667,627,529,689,614
96,449,454,443,482,517,460,581,668,636,523,691,624
97,438,444,438,472,511,459,578,665,632,521,688,618
98,446,450,439,481,520,462,587,673,635,529,700,626
99,438,444,438,473,511,459,582,666,630,524,689,616
100,448,451,439,484,518,459,599,684,646,539,708,634
101,439,446,440,475,513,461,590,671,636,529,693,621
102,456,455,445,494,525,468,610,684,648,542,702,632
103,439,446,440,475,513,461,590,671,636,529,693,621
104,442,448,442,481,521,467,610,710,673,545,731,656
105,440,447,442,476,515,464,592,675,646,531,696,628
106,449,453,445,484,526,471,596,695,670,534,717,650
107,440,448,443,476,516,466,588,676,655,529,697,634
108,448,454,450,483,526,476,602,709,694,543,740,680
109,440,448,443,476,516,466,588,676,655,529,697,634
110,461,460,448,497,531,471,614,704,679,554,739,671
111,440,448,443,476,516,466,588,676,655,529,697,634
112,452,461,458,488,537,485,623,729,700,560,755,683
113,440,448,443,476,516,466,588,676,655,529,697,634
114,452,460,452,491,530,474,603,705,681,542,722,658
115,440,448,443,476,516,466,588,676,655,529,697,634
116,446,453,449,483,528,478,604,714,695,544,738,675
117,440,448,443,476,516,466,588,676,655,529,697,634
118,451,457,451,486,530,475,611,702,681,551,734,665
119,440,448,443,476,516,466,588,676,655,529,697,634
120,460,465,457,496,535,480,609,691,665,541,709,646
121,440,448,443,476,516,466,588,676,655,529,697,634
122,453,460,456,492,536,483,621,716,686,555,736,665
123,440,448,443,476,516,466,588,676,655,529,697,634
124,452,461,452,489,529,474,596,689,674,534,713,656
125,441,448,443,476,516,467,591,678,655,530,698,634
126,444,454,450,480,522,473,607,697,674,545,724,656
127,441,448,443,476,516,467,591,678,655,530,698,634
128,451,462,454,486,532,479,609,702,675,545,719,654
129,441,448,443,476,516,467,591,678,655,530,698,634
130,453,459,452,491,527,474,615,695,669,549,717,652
131,441,448,443,476,516,467,591,678,655,530,698,634
132,454,461,454,491,533,479,605,705,689,542,724,666
133,441,448,443,476,516,467,591,678,655,530,698,634
134,449,450,441,482,519,465,593,687,667,531,705,645
135,440,447,441,475,515,463,588,677,657,529,698,635
136,458,464,452,494,535,476,595,699,679,533,714,651
137,439,446,440,474,514,463,584,675,656,525,696,635
138,449,462,455,485,533,478,604,710,691,545,736,671
139,439,446,440,474,514,463,584,675,656,525,696,635
140,452,462,454,485,531,475,612,719,693,551,746,674
141,439,446,440,474,514,463,584,675,656,525,696,635
142,444,457,452,479,526,474,594,702,683,533,717,657
143,439,446,440,474,514,463,584,675,656,525,696,635
144,445,452,442,481,523,466,592,682,661,529,702,640
145,440,447,441,476,515,463,591,678,657,530,699,636
146,444,452,444,484,526,471,615,701,676,549,722,657
147,440,447,441,476,515,463,591,678,657,530,699,636
148,441,451,447,479,522,471,607,709,689,543,723,660
149,440,447,441,476,515,463,591,678,657,530,699,636
150,448,450,443,480,519,467,598,704,687,539,729,669
151,440,447,442,475,516,465,587,678,663,528,699,639
152,460,462,450,495,529,471,611,705,682,547,724,659
153,440,447,442,475,516,465,587,678,663,528,699,639
154,459,457,447,495,528,472,609,714,691,550,743,674
155,440,447,441,475,515,464,586,677,661,528,698,638
156,454,459,451,487,526,474,600,699,684,541,719,657
157,440,447,441,475,515,464,586,677,661,528,698,638
158,442,449,444,477,520,470,595,691,671,530,707,646
159,440,447,441,475,515,464,586,677,661,528,698,638
160,446,453,445,482,524,469,600,713,692,542,742,675
161,440,447,441,475,515,464,586,677,659,527,698,637
162,452,456,446,487,529,472,592,697,682,531,719,661
163,440,447,441,474,515,464,584,676,659,526,697,637
164,450,453,444,487,525,469,608,699,675,548,730,660
165,440,447,441,474,515,464,584,676,659,526,697,637
166,449,452,441,482,525,468,592,700,681,536,732,666
167,439,446,441,473,514,464,579,674,660,523,696,637
168,457,460,451,491,529,476,589,696,688,531,715,664
169,439,446,441,473,514,463,577,673,659,521,695,637
170,452,453,444,487,525,469,600,710,691,544,738,671
171,439,447,441,473,515,465,578,675,664,522,697,640
172,447,453,444,477,520,467,582,688,682,528,720,663
173,439,447,443,473,516,467,577,677,672,521,698,646
174,458,466,458,492,537,483,601,708,699,543,733,676
175,439,447,443,473,516,467,577,677,672,521,698,646
176,453,459,452,487,532,480,600,704,701,539,724,672
177,439,447,443,473,516,467,577,677,672,521,698,646
178,445,451,441,483,521,466,596,699,691,536,718,664
179,439,446,440,473,514,463,577,678,674,521,699,647
180,451,451,439,489,522,462,604,700,687,545,728,666
181,438,445,436,472,512,459,576,676,670,521,697,644
182,443,452,441,479,519,461,586,684,676,529,707,651
183,439,445,437,472,513,460,576,677,673,521,698,646
184,449,455,445,484,523,468,586,700,696,533,722,670
185,438,445,437,471,512,459,572,675,672,518,697,646
186,455,463,450,491,532,473,587,690,687,528,716,663
187,439,446,437,473,514,460,581,679,674,524,700,647
188,450,458,448,486,530,473,592,695,688,537,724,667
189,439,446,437,473,514,460,581,679,674,524,700,647
190,441,452,443,475,518,462,582,681,672,526,707,650
191,439,446,437,473,514,460,581,679,674,524,700,647
192,454,456,441,488,527,464,593,690,677,533,708,649
193,440,447,438,475,515,461,588,682,675,529,703,648
194,447,457,448,481,528,472,596,693,684,535,710,654
195,440,447,438,475,515,461,588,682,675,529,703,648
196,449,456,443,484,523,465,589,693,684,529,712,655
197,439,446,438,474,514,460,583,680,674,526,701,647
198,451,457,444,487,528,467,591,694,689,533,720,666
199,439,446,438,474,514,460,583,680,674,526,701,647
200,451,456,444,486,521,463,591,681,677,526,698,646
201,441,447,439,477,516,461,594,685,676,533,705,649
202,444,452,442,481,524,467,592,686,676,533,710,652
203,441,447,439,476,516,462,592,688,680,534,711,655
204,463,468,457,503,547,485,627,734,722,564,759,696
205,441,447,439,476,516,462,592,688,680,534,711,655
206,456,457,444,494,533,471,617,718,708,556,748,687
207,441,447,439,476,516,462,592,688,680,534,711,655
208,455,459,446,496,538,475,612,729,720,553,753,692
209,441,447,439,476,516,462,592,688,680,534,711,655
210,446,456,446,481,525,468,594,699,701,535,729,679
211,441,447,439,476,516,461,590,686,679,532,711,654
212,456,466,455,490,538,480,608,716,705,549,742,683
213,441,447,439,476,516,461,590,686,679,532,711,654
214,452,457,444,488,529,468,610,700,690,547,726,667
215,441,447,439,476,516,461,590,686,679,532,711,654
216,447,454,444,485,530,471,613,717,702,549,743,679
217,441,447,439,476,516,461,590,686,679,532,711,654
218,444,453,444,482,528,470,607,705,691,544,735,672
219,441,447,439,476,516,461,590,686,679,532,711,654
220,453,463,452,495,542,480,630,724,706,562,745,680
221,441,447,439,476,516,461,590,686,679,532,711,654
222,449,456,447,489,531,472,616,722,709,552,744,681
223,441,447,439,476,516,461,590,686,679,532,711,654
224,455,461,449,489,536,475,609,706,690,545,724,662
225,441,447,439,476,516,461,590,686,679,532,711,654
226,450,460,451,486,533,476,619,735,727,557,765,702
227,441,447,439,476,516,461,590,686,679,532,711,654
228,455,458,443,495,533,469,623,711,695,558,740,677
229,441,447,439,476,516,461,590,686,679,532,711,654
230,449,462,453,485,537,479,612,722,712,555,753,691
231,441,447,439,476,516,461,590,686,679,532,711,654
232,448,462,453,483,532,475,598,695,686,537,721,664
233,441,447,439,476,516,461,590,686,679,532,711,654
234,456,460,447,492,529,468,626,719,701,557,742,678
235,441,447,439,476,516,461,590,686,679,532,711,654
236,455,458,444,489,526,465,605,697,683,540,719,658
237,441,447,439,476,516,461,590,686,679,532,711,654
238,451,462,452,485,532,474,602,709,701,545,735,675
239,441,447,439,476,516,461,590,686,679,532,711,654
240,450,459,450,488,536,479,603,721,719,543,741,689
241,441,447,439,476,516,461,590,686,679,532,711,654
242,456,466,455,491,541,481,619,726,708,554,751,684
243,441,447,439,476,516,461,590,686,679,532,711,654
244,455,457,445,491,528,469,611,699,686,545,719,658
245,441,447,439,476,516,461,590,686,679,532,711,654
246,448,452,442,487,525,467,621,716,705,560,752,688
247,441,447,439,476,516,461,590,686,679,532,711,654
248,444,451,440,480,524,466,604,702,693,541,724,666
249,441,447,439,476,516,461,590,686,679,532,711,654
250,448,455,443,484,524,465,618,717,701,556,749,682
251,441,447,439,476,516,461,590,686,679,532,711,654
252,462,466,451,499,543,478,620,734,720,559,759,693
253,441,447,439,476,516,461,590,686,679,532,711,654
254,453,455,447,491,527,472,601,705,702,540,726,673
255,441,447,439,476,516,461,590,686,679,532,711,654
256,458,465,454,497,541,480,614,729,712,552,756,689
257,441,447,439,476,516,461,590,686,679,532,711,654
258,461,466,452,501,543,478,629,731,708,562,750,682
259,441,447,439,476,516,461,590,686,679,532,711,654
260,462,469,454,497,541,476,626,721,703,563,750,683
261,441,447,439,476,516,461,590,686,679,532,711,654
262,453,459,447,488,533,473,618,725,718,552,742,687
263,441,447,439,476,516,461,590,686,679,532,711,654
264,458,468,456,495,541,479,618,720,710,558,748,685
265,441,447,439,476,516,461,590,686,679,532,711,654
266,462,471,457,496,544,482,609,715,707,542,730,674
267,441,447,439,476,516,461,590,686,679,532,711,654
268,450,463,450,485,536,474,597,709,695,535,727,668
269,441,447,439,476,516,461,590,686,679,532,711,654
270,448,454,441,484,524,465,597,699,694,540,730,672
271,441,447,439,476,516,461,590,686,679,532,711,654
272,458,464,449,494,536,474,627,724,710,559,743,682
273,441,447,439,476,516,461,590,686,679,532,711,654
274,456,466,453,495,543,479,625,739,728,560,765,702
275,441,447,439,476,516,461,590,686,679,532,711,654
276,460,469,456,494,541,480,603,712,706,544,736,678
277,441,447,439,476,516,461,590,686,679,532,711,654
278,457,466,454,489,536,476,615,716,699,555,743,677
279,441,447,439,476,516,461,590,686,679,532,711,654
280,461,461,447,499,536,472,622,712,697,556,744,680
281,441,447,439,476,516,461,590,686,679,532,711,654
282,455,461,452,489,534,478,610,715,708,546,733,674
283,441,447,439,476,516,461,590,686,679,532,711,654
284,458,465,451,496,538,475,631,729,708,564,759,688
285,441,447,439,476,516,461,590,686,679,532,711,654
286,455,468,457,495,545,482,628,731,715,565,760,692
287,441,447,439,476,516,461,590,686,679,532,711,654
288,459,456,444,497,530,469,632,733,712,569,763,691
289,441,447,439,476,516,461,590,686,679,532,711,654
290,461,463,448,494,531,469,600,707,695,542,734,673
291,440,447,438,475,515,461,587,685,679,530,710,654
292,453,462,451,488,531,474,607,701,687,544,721,659
293,440,447,438,475,515,461,587,685,679,530,710,654
294,452,458,442,487,528,466,591,694,685,531,713,659
295,440,447,438,475,515,461,587,685,679,530,710,654
296,456,460,447,489,527,469,606,703,693,542,722,664
297,440,447,438,475,515,461,587,685,679,530,710,654
298,446,451,440,480,520,464,586,693,693,529,720,670
299,440,446,438,474,514,461,583,683,678,527,708,653
300,456,463,448,495,536,472,610,710,698,548,733,672
301,440,446,438,474,514,461,583,683,678,527,708,653
302,449,455,445,482,525,468,603,703,697,548,736,679
303,440,446,438,474,514,461,583,683,678,527,708,653
304,452,459,444,491,529,466,603,702,689,541,727,666
305,440,446,438,474,514,461,583,683,678,527,708,653
306,450,458,448,488,526,469,602,696,691,542,721,667
307,440,446,438,474,514,461,583,683,678,527,708,653
308,444,457,448,479,526,470,596,700,694,538,730,675
309,440,446,438,474,514,461,583,683,678,527,708,653
310,445,450,439,484,521,463,590,686,681,530,711,658
311,441,447,439,476,516,462,592,687,679,533,711,655
312,451,461,450,493,539,477,617,713,696,547,728,666
313,441,447,439,476,516,462,592,687,679,533,711,655
314,453,454,443,491,527,468,620,730,711,559,759,691
315,441,447,439,476,516,462,592,687,679,533,711,655
316,455,467,457,494,541,482,610,721,715,547,737,681
317,441,447,439,476,516,462,592,687,679,533,711,655
318,459,460,448,496,535,473,617,724,715,555,756,694
319,441,447,439,476,516,462,592,687,679,533,711,655
320,455,465,455,492,541,481,604,715,706,546,742,683
321,441,447,439,476,516,462,592,687,679,533,711,655
322,447,457,447,486,530,472,614,718,708,553,745,684
323,441,447,439,476,516,462,592,687,679,533,711,655
324,446,455,445,485,529,470,603,711,704,542,734,680
325,441,447,439,476,516,462,592,687,679,533,711,655
326,455,457,446,492,529,470,626,716,703,558,735,676
327,441,447,439,476,516,462,592,687,679,533,711,655
328,454,456,444,490,530,472,605,713,704,543,735,676
329,441,447,439,476,516,462,592,687,679,533,711,655
330,453,456,445,494,529,469,625,710,696,556,730,669
331,441,447,439,476,516,462,592,687,679,533,711,655
332,462,464,451,499,533,473,615,701,689,548,723,662
333,441,447,439,476,516,462,592,687,679,533,711,655
334,459,461,450,495,537,478,604,714,709,543,738,683
335,441,447,439,476,516,462,592,687,679,533,711,655
336,456,462,451,489,532,475,607,713,708,547,734,678
337,441,447,439,476,516,462,592,687,679,533,711,655
338,465,467,449,504,540,473,631,726,704,562,743,676
339,441,447,439,476,516,462,592,687,679,533,711,655
340,455,459,447,489,530,472,602,703,699,545,734,679
341,441,447,439,476,516,462,592,687,679,533,711,655
342,459,463,450,500,537,475,634,728,713,564,754,692
343,441,447,439,476,516,462,592,687,679,533,711,655
344,453,453,438,494,526,462,622,715,696,552,732,670
345,440,446,435,475,514,457,591,686,676,533,710,653
346,456,466,450,497,540,473,620,709,690,555,734,667
347,440,446,435,475,514,457,591,686,676,533,710,653
348,442,448,435,478,518,457,594,702,692,534,727,671
349,440,445,435,475,514,456,589,685,676,531,709,652
350,449,452,437,482,518,456,598,698,684,538,728,667
351,439,445,434,474,513,455,588,683,671,531,708,649
352,449,455,443,486,528,466,612,701,682,549,725,659
353,439,445,434,474,513,455,588,683,671,531,708,649
354,449,451,435,486,524,458,603,699,680,541,720,659
355,439,445,434,474,513,455,588,683,671,531,708,649
356,449,450,434,485,520,455,602,685,668,540,708,645
357,439,445,434,474,513,455,588,683,671,531,708,649
358,453,458,442,487,527,463,595,695,688,533,714,662
359,440,445,434,475,513,455,590,684,671,532,709,649
360,446,451,439,486,526,463,615,708,687,550,734,669
361,440,445,434,475,513,455,590,684,671,532,709,649
362,452,455,440,485,524,462,596,690,676,536,711,650
363,440,445,434,475,514,455,593,685,671,534,709,649
