Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,424,411,303,550,483,133,741,722,1280,219,845,704
10,474,344,315,365,556,395,920,606,1213,475,607,454
11,384,305,276,613,520,530,641,546,1146,514,750,656
12,128,128,128,128,128,128,128,128,128,128,128,128
13,529,550,274,439,434,356,683,589,1280,558,695,546
14,311,335,316,604,548,521,822,734,1047,337,677,531
15,494,358,307,479,576,466,735,627,1236,480,533,621
16,460,353,383,483,470,503,791,635,1103,569,586,542
17,406,393,304,564,417,531,822,522,910,340,672,752
18,437,266,226,601,519,259,591,882,976,476,715,666
19,213,128,214,271,907,337,937,830,696,391,578,128
20,678,204,338,172,156,666,129,128,131,850,128,128
21,830,219,128,185,129,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
