,worker1,worker2,worker3,worker4,worker5,worker6,worker7,worker8,worker9,worker10,worker11,worker12
1,0,0,0,0,0,0,1,1,0,0,1,1
1,0,0,0,0,0,0,1,1,0,0,1,1
1,0,0,0,0,0,0,1,1,0,0,1,1
1,0,0,0,0,0,0,1,1,0,0,1,1
1,0,0,0,0,0,0,1,1,0,0,1,1
1,0,0,0,0,0,0,1,1,0,0,1,1
2,1,0,1,0,0,1,0,0,0,0,0,0
2,1,0,1,0,0,1,0,0,0,0,0,0
2,1,0,1,0,0,1,0,0,0,0,0,0
2,1,0,1,0,0,1,0,0,0,0,0,0
2,1,0,1,0,0,1,0,0,0,0,0,0
2,1,0,1,0,0,1,0,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,1,0,0
3,0,1,0,0,0,0,1,0,0,1,0,0
3,0,1,0,0,0,0,1,0,0,1,0,0
3,0,1,0,0,0,0,1,0,0,1,0,0
3,0,1,0,0,0,0,1,0,0,1,0,0
3,0,1,0,0,0,0,1,0,0,1,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,0,0,0,1,0,1,0,0,0
5,0,1,0,0,0,0,1,0,1,0,0,0
5,0,1,0,0,0,0,1,0,1,0,0,0
5,0,1,0,0,0,0,1,0,1,0,0,0
5,0,1,0,0,0,0,1,0,1,0,0,0
5,0,1,0,0,0,0,1,0,1,0,0,0
6,1,0,0,0,0,0,1,1,1,0,0,0
6,1,0,0,0,0,0,1,1,1,0,0,0
6,1,0,0,0,0,0,1,1,1,0,0,0
6,1,0,0,0,0,0,1,1,1,0,0,0
6,1,0,0,0,0,0,1,1,1,0,0,0
6,1,0,0,0,0,0,1,1,1,0,0,0
7,0,1,0,1,0,0,0,1,1,1,0,0
7,0,1,0,1,0,0,0,1,1,1,0,0
7,0,1,0,1,0,0,0,1,1,1,0,0
7,0,1,0,1,0,0,0,1,1,1,0,0
7,0,1,0,1,0,0,0,1,1,1,0,0
7,0,1,0,1,0,0,0,1,1,1,0,0
8,1,0,1,1,0,0,1,1,1,1,0,0
8,1,0,1,1,0,0,1,1,1,1,0,0
8,1,0,1,1,0,0,1,1,1,1,0,0
8,1,0,1,1,0,0,1,1,1,1,0,0
8,1,0,1,1,0,0,1,1,1,1,0,0
8,1,0,1,1,0,0,1,1,1,1,0,0
9,0,1,0,0,1,1,0,0,0,1,0,0
9,0,1,0,0,1,1,0,0,0,1,0,0
9,0,1,0,0,1,1,0,0,0,1,0,0
9,0,1,0,0,1,1,0,0,0,1,0,0
9,0,1,0,0,1,1,0,0,0,1,0,0
9,0,1,0,0,1,1,0,0,0,1,0,0
10,0,0,0,0,0,1,0,0,0,0,0,1
10,0,0,0,0,0,1,0,0,0,0,0,1
10,0,0,0,0,0,1,0,0,0,0,0,1
10,0,0,0,0,0,1,0,0,0,0,0,1
10,0,0,0,0,0,1,0,0,0,0,0,1
10,0,0,0,0,0,1,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
