Step,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
0,256,256,256,256,256,256,256,256,256,256,256,256
1,256,256,256,256,256,256,256,256,256,256,256,256
2,276,271,263,281,253,261,273,261,258,271,250,250
3,276,271,256,281,253,256,256,256,256,256,256,256
4,282,265,268,315,268,258,258,258,286,261,273,261
5,282,265,268,315,268,258,258,258,286,261,273,261
6,304,271,274,328,300,274,279,253,309,276,282,276
7,304,271,274,328,300,274,279,253,309,276,282,276
8,322,279,274,367,300,271,284,260,337,298,301,282
9,322,279,274,367,300,271,284,260,337,298,301,282
10,361,293,268,393,318,293,316,255,357,331,310,279
11,361,293,268,393,318,293,316,255,357,331,310,279
12,401,296,266,397,322,325,335,266,382,368,323,299
13,401,296,266,397,322,325,335,266,382,368,323,299
14,449,317,271,412,335,361,355,266,401,368,316,302
15,449,317,271,412,335,361,355,266,401,368,316,302
16,494,332,282,450,358,397,394,266,397,394,313,302
17,494,332,282,450,358,397,394,266,397,394,313,302
18,499,326,296,450,401,401,414,268,441,394,332,296
19,499,326,296,450,401,401,414,268,441,394,332,296
20,519,345,314,472,441,425,443,284,494,421,332,298
21,519,345,314,472,441,425,443,284,494,421,332,298
22,581,359,323,472,459,420,496,287,489,459,355,307
23,519,359,323,472,459,420,496,287,489,459,355,307
24,571,377,336,482,463,450,535,296,509,514,352,311
25,519,377,336,482,463,450,535,296,509,514,352,311
26,540,404,359,496,468,481,562,293,519,535,373,326
27,540,404,359,496,468,481,562,293,519,535,373,326
28,561,428,363,556,473,491,607,310,514,583,380,320
29,540,404,363,496,473,491,607,310,514,583,380,320
30,599,432,370,556,515,506,680,317,545,601,403,332
31,540,404,370,496,515,506,680,317,545,601,403,332
32,545,408,363,506,562,521,687,332,599,607,427,342
33,545,408,363,506,562,521,687,332,599,607,427,342
34,540,436,381,521,584,537,721,356,593,655,419,335
35,545,408,381,506,562,537,721,356,593,655,419,335
36,518,404,381,496,567,601,736,381,617,701,415,329
37,518,404,381,496,567,601,736,381,617,701,415,329
38,497,404,381,476,630,613,758,392,629,701,406,325
39,497,404,381,476,630,613,758,392,629,701,406,325
40,512,432,408,485,630,681,743,396,699,694,419,348
41,497,404,408,476,630,681,743,396,699,694,419,348
42,487,404,396,471,617,701,757,400,741,666,431,355
43,487,404,396,471,617,701,757,400,741,666,431,355
44,482,420,388,481,636,764,773,420,763,660,453,366
45,487,420,388,471,636,764,773,420,763,660,453,366
46,492,424,395,471,648,787,765,450,778,673,448,384
47,487,420,388,471,636,764,773,450,778,673,448,384
48,463,399,376,462,604,833,773,477,809,686,448,388
