Step,Power[cd],Power[W]
0,0,0
1,3072.0,106.6272
2,3174.4,107.90430000000002
3,3130.88,107.90430000000002
4,3259.3408,110.8842
5,3259.3408,110.8842
6,3430.9662719999997,115.99260000000002
7,3430.9662719999997,115.99260000000002
8,3582.48231936,121.5267
9,3582.48231936,121.5267
10,3780.6638406656,126.20940000000003
11,3780.6638406656,126.20940000000003
12,3982.786591983616,134.72340000000003
13,3982.786591983616,134.72340000000003
14,4157.328175897784,140.25750000000002
15,4157.328175897784,140.25750000000002
16,4383.37129515472,148.3458
17,4383.37129515472,148.3458
18,4521.687583445169,152.6028
19,4521.687583445169,152.6028
20,4794.388420332372,161.11680000000004
21,4794.388420332372,161.11680000000004
22,5014.645503999226,168.3537
23,4952.31779240939,168.3537
24,5201.279597032941,175.1649
25,5149.339837374744,175.1649
26,5362.024883043067,179.84760000000003
27,5362.024883043067,179.84760000000003
28,5591.911179462281,187.93590000000003
29,5486.48494886521,187.93590000000003
30,5861.534194452022,196.4499
31,5714.25535326319,196.4499
32,5905.226261129652,197.727
33,5905.226261129652,197.727
34,6084.664976487428,204.1125
35,6023.873919737941,204.1125
36,6150.574221748483,206.241
37,6150.574221748483,206.241
38,6218.761878166721,208.3695
39,6218.761878166721,208.3695
40,6451.765063818946,216.4578
41,6399.029268120086,216.4578
42,6432.437344587645,215.60640000000004
43,6432.437344587645,215.60640000000004
44,6609.9168410631155,221.1405
45,6605.359831895368,221.1405
46,6721.831701296487,225.39749999999998
47,6677.0559054828755,225.39749999999998
48,6723.060981088629,226.6746
49,6709.59538603483,226.6746
50,6748.12699992873,226.24890000000002
51,6748.12699992873,226.24890000000002
52,6792.9569164600525,227.95170000000002
53,6753.775258785479,227.95170000000002
54,6853.114947945114,230.08020000000005
55,6853.114947945114,230.08020000000005
56,7019.209003504338,236.04000000000002
57,6999.802902206309,236.04000000000002
58,7013.0600648699165,235.61430000000001
59,7004.34261466922,235.61430000000001
60,7026.256449441145,235.1886
61,7026.256449441145,235.1886
62,7148.770782688451,239.4456
63,7139.53462317578,239.4456
64,7302.591702783279,244.9797
65,7214.402942367586,244.9797
66,7208.405182843077,241.1484
67,7208.405182843077,241.1484
68,7200.389620440417,241.57410000000002
69,7200.389620440417,241.57410000000002
70,7140.155303246147,238.59420000000003
71,7115.10301384532,238.59420000000003
72,7007.1873842040895,235.18860000000004
73,7018.77581971798,235.18860000000004
74,7078.249318149391,237.3171
75,7078.249318149391,237.3171
76,7219.105576247187,242.4255
77,7241.939446006326,242.4255
78,7255.254728381788,243.7026
79,7284.066628323946,243.7026
80,7280.292883523724,244.12830000000002
81,7284.066628323946,244.12830000000002
82,7259.192411280427,243.70260000000002
83,7290.514746159184,243.70260000000002
84,7252.066331509665,243.2769
85,7290.514746159184,243.2769
86,7266.165908829669,244.1283
87,7290.514746159184,244.1283
88,7244.0034671168505,243.70260000000002
89,7244.0034671168505,243.70260000000002
90,7254.588190552455,243.2769
91,7244.0034671168505,243.2769
92,7197.324173855933,241.14840000000004
93,7197.324173855933,241.14840000000004
94,7218.073926853966,241.9998
95,7197.324173855933,241.9998
96,7106.512586298208,239.0199
97,7092.559994171491,239.0199
98,7093.369208530854,238.1685
99,7153.053546403446,238.1685
100,7204.230735990342,241.57410000000004
101,7215.6128534303225,241.57410000000004
102,7183.378829148499,241.14840000000007
103,7167.8282319488435,241.14840000000007
104,7167.483356195403,241.1484
105,7167.483356195403,241.1484
106,7230.993179031119,242.8512
107,7167.483356195403,242.8512
108,7137.496125692172,239.87130000000002
109,7160.284997131274,239.87130000000002
110,7295.893508424653,244.55399999999997
111,7286.752573934494,244.55399999999997
112,7315.875626339957,245.8311
113,7286.752573934494,245.8311
114,7293.718228140785,245.4054
115,7293.718228140785,245.4054
116,7362.810908931764,246.68250000000003
117,7278.350733784097,246.68250000000003
118,7345.037859148417,246.68250000000003
119,7266.271133532515,246.68250000000003
120,7170.639457819739,240.72270000000003
121,7170.639457819739,240.72270000000003
122,7229.840957412551,242.85119999999998
123,7170.639457819739,242.85119999999998
124,7196.562367515209,241.1484
125,7196.562367515209,241.1484
126,7248.956401286885,243.27690000000004
127,7196.562367515209,243.27690000000004
128,7289.206184713982,244.554
129,7289.206184713982,244.554
130,7309.667771830922,245.40540000000004
131,7289.206184713982,245.40540000000004
132,7237.649878493143,242.4255
133,7237.649878493143,242.4255
134,7297.803251846714,244.9797
135,7237.649878493143,244.9797
136,7173.427780568434,240.7227
137,7173.427780568434,240.7227
138,7203.250450654651,241.99980000000002
139,7183.708533861517,241.99980000000002
140,7270.526528482985,243.70260000000002
141,7183.708533861517,243.70260000000002
