Step,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
0,20,20,20,20,20,20,20,20,20,20,20,20
1,20,20,20,20,20,20,20,20,20,20,20,20
2,21,21,20,22,19,20,21,20,20,21,19,19
3,21,21,20,22,19,20,21,20,20,21,19,19
4,22,20,21,24,20,20,20,20,22,20,21,20
5,22,20,21,24,20,20,20,20,22,20,21,20
6,23,21,21,25,23,21,21,19,24,21,22,21
7,23,21,21,25,23,21,21,19,24,21,22,21
8,25,21,21,28,23,21,22,20,26,23,23,22
9,25,21,21,28,23,21,22,20,26,23,23,22
10,28,22,20,30,24,22,24,19,27,25,24,21
11,28,22,20,30,24,22,24,19,27,25,24,21
12,31,23,20,31,25,25,26,20,29,28,25,23
13,31,23,20,31,25,25,26,20,29,28,25,23
14,35,24,21,32,26,28,27,20,31,28,24,23
15,35,24,21,32,26,28,27,20,31,28,24,23
16,38,26,22,35,28,31,30,20,31,30,24,23
17,38,26,22,35,28,31,30,20,31,30,24,23
18,39,25,23,35,31,31,32,20,34,30,25,23
19,39,25,23,35,31,31,32,20,34,30,25,23
20,40,27,24,36,34,33,34,22,38,32,25,23
21,40,27,24,36,34,33,34,22,38,32,25,23
22,45,28,25,36,35,32,38,22,38,35,27,24
23,45,28,25,36,35,32,38,22,38,35,27,24
24,44,29,26,37,36,35,41,23,39,40,27,24
25,44,29,26,37,36,35,41,23,39,40,27,24
26,42,31,28,38,36,37,43,22,40,41,29,25
27,42,31,28,38,36,37,43,22,40,41,29,25
28,43,33,28,43,36,38,47,24,40,45,29,25
29,43,33,28,43,36,38,47,24,40,45,29,25
30,46,33,28,43,40,39,53,24,42,46,31,26
31,46,33,28,43,40,39,53,24,42,46,31,26
32,42,31,28,39,43,40,53,26,46,47,33,26
33,42,31,28,39,43,40,53,26,46,47,33,26
34,42,34,29,40,45,41,56,27,46,51,32,26
35,42,34,29,40,45,41,56,27,46,51,32,26
36,40,31,29,38,44,47,57,29,48,54,32,25
37,40,31,29,38,44,47,57,29,48,54,32,25
38,38,31,29,37,49,47,59,30,49,54,31,25
39,38,31,29,37,49,47,59,30,49,54,31,25
40,40,33,31,37,49,53,58,30,54,54,32,27
41,40,33,31,37,49,53,58,30,54,54,32,27
42,38,31,30,36,48,54,59,31,57,52,33,27
43,38,31,30,36,48,54,59,31,57,52,33,27
44,37,32,30,37,49,59,60,32,59,51,35,28
45,37,32,30,37,49,59,60,32,59,51,35,28
46,38,33,30,36,50,61,59,35,60,52,35,30
47,38,33,30,36,50,61,59,35,60,52,35,30
48,36,31,29,36,47,65,60,37,63,53,35,30
49,36,31,29,36,47,65,60,37,63,53,35,30
50,35,30,27,36,48,65,61,38,64,51,35,31
51,35,30,27,36,48,65,61,38,64,51,35,31
52,34,30,27,35,50,68,61,37,68,48,35,32
53,34,30,27,35,50,68,61,37,68,48,35,32
54,34,29,25,36,49,71,58,39,75,46,34,34
55,34,29,25,36,49,71,58,39,75,46,34,34
56,33,28,25,37,48,78,59,41,76,47,36,36
57,33,28,25,37,48,78,59,41,76,47,36,36
58,31,26,23,38,48,82,57,43,76,46,37,36
59,31,26,23,38,48,82,57,43,76,46,37,36
60,32,27,25,36,47,82,54,42,79,46,36,36
61,32,27,25,36,47,82,54,42,79,46,36,36
62,32,27,23,36,48,82,55,42,85,46,37,39
63,32,27,23,36,48,82,55,42,85,46,37,39
64,31,26,22,37,49,87,53,45,89,46,39,41
65,31,26,22,37,49,87,53,45,89,46,39,41
66,30,26,22,34,46,83,52,43,97,44,37,42
67,30,26,22,34,46,83,52,43,97,44,37,42
68,30,25,22,33,46,83,54,42,96,43,40,43
69,30,25,22,33,46,83,54,42,96,43,40,43
70,28,25,20,31,46,82,53,44,95,45,39,42
71,28,25,20,31,46,82,53,44,95,45,39,42
72,29,23,21,30,45,79,52,43,94,44,39,43
73,29,23,21,30,45,79,52,43,94,44,39,43
74,29,23,21,29,47,81,50,43,94,45,40,45
75,29,23,21,29,47,81,50,43,94,45,40,45
76,29,24,21,28,45,84,53,43,100,45,40,47
77,29,24,21,28,45,84,53,43,100,45,40,47
78,30,22,20,29,46,84,54,44,100,43,40,50
79,30,22,20,29,46,84,54,44,100,43,40,50
80,29,22,20,30,43,85,54,46,100,43,40,51
81,29,22,20,30,43,85,54,46,100,43,40,51
82,29,25,20,29,45,83,50,44,100,46,41,50
83,29,25,20,29,45,83,50,44,100,46,41,50
