Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,745394,3072,742322,1039976,3072,1036904,1301671,3072,1298599,901288,3072,898216,1404527,3072,1401455,1415064,3072,1411992,1660885,3072,1657813,1701398,3072,1698326,2721617,3072,2718545,1630454,3072,1627382,1745274,3072,1742202,2643349,3072,2640277
2,736734,3174,733560,1037566,3174,1034392,1305434,3174,1302260,891650,3174,888475,1402810,3174,1399635,1421487,3174,1418313,1669584,3174,1666410,1721678,3174,1718504,2771471,3174,2768297,1642765,3174,1639591,1769505,3174,1766331,2697448,3174,2694274
3,735680,3130,732549,1037167,3130,1034036,1305435,3130,1302304,891142,3130,888012,1402781,3130,1399650,1421517,3130,1418386,1672248,3130,1669117,1723171,3130,1720040,2772142,3130,2769011,1647319,3130,1644188,1771876,3130,1768745,2698270,3130,2695140
4,677568,3259,674309,977556,3259,974297,1245797,3259,1242538,826777,3259,823518,1324484,3259,1321224,1353851,3259,1350592,1601559,3259,1598300,1648600,3259,1645340,2654569,3259,2651309,1580571,3259,1577311,1698090,3259,1694831,2585904,3259,2582645
5,674733,3259,671474,975078,3259,971818,1243307,3259,1240048,823642,3259,820383,1321238,3259,1317979,1350548,3259,1347289,1594129,3259,1590870,1641630,3259,1638371,2642908,3259,2639649,1574986,3259,1571727,1691387,3259,1688128,2574499,3259,2571240
6,607126,3430,603695,878252,3430,874821,1135525,3430,1132094,746903,3430,743472,1189644,3430,1186213,1234062,3430,1230631,1532178,3430,1528747,1566272,3430,1562841,2527738,3430,2524307,1517339,3430,1513908,1621301,3430,1617870,2469320,3430,2465889
7,604951,3430,601520,876723,3430,873292,1134349,3430,1130918,743919,3430,740488,1187362,3430,1183931,1232905,3430,1229475,1521128,3430,1517697,1560518,3430,1557088,2525199,3430,2521768,1504604,3430,1501173,1614390,3430,1610959,2466650,3430,2463219
8,526416,3582,522834,785661,3582,782078,1034458,3582,1030876,647214,3582,643632,1060405,3582,1056823,1115747,3582,1112165,1310026,3582,1306444,1374652,3582,1371070,2257788,3582,2254206,1298598,3582,1295015,1421357,3582,1417775,2202581,3582,2198999
9,524913,3582,521331,782838,3582,779256,1032089,3582,1028507,645315,3582,641733,1055986,3582,1052404,1112540,3582,1108958,1309344,3582,1305761,1373649,3582,1370067,2256882,3582,2253300,1298152,3582,1294570,1420738,3582,1417156,2202011,3582,2198429
