Step,Sensor1,Sensor3,Sensor4,Sensor5,Sensor7,Sensor9,Sensor10,Sensor12
0,194,152,262,354,276,205,204,156
1,192,150,261,351,273,204,204,161
2,203,159,285,375,294,219,212,168
3,206,163,285,377,294,217,210,167
4,223,163,299,393,303,223,222,169
5,218,163,300,387,300,221,219,172
6,229,170,319,414,327,231,228,181
7,232,171,316,409,324,236,233,181
8,237,179,336,433,338,246,242,186
9,236,183,335,430,335,247,241,186
10,253,196,351,454,350,259,251,196
11,256,191,351,455,357,259,255,197
12,270,205,371,482,378,276,272,205
13,275,202,371,482,380,273,277,206
14,290,215,401,517,410,290,292,220
15,283,211,388,506,412,289,292,217
16,295,223,406,536,423,300,303,227
17,289,221,396,530,420,300,303,228
18,305,231,415,555,436,313,321,233
19,296,235,404,548,433,314,316,229
20,302,236,416,565,451,322,321,244
21,291,235,408,550,445,320,323,244
22,309,240,428,580,459,330,332,248
23,295,230,408,558,454,330,333,240
24,309,237,425,576,477,345,348,259
25,307,237,422,575,474,352,350,253
26,310,241,443,604,512,359,371,268
27,307,241,425,582,510,357,369,269
28,310,245,441,615,523,380,386,284
29,306,236,440,587,520,379,381,285
30,314,253,446,623,541,397,400,292
31,316,253,441,610,540,394,396,290
32,312,264,444,629,552,414,413,303
33,317,266,448,633,557,416,410,306
34,319,267,452,639,558,418,418,309
35,318,265,450,634,558,414,409,305
36,321,273,458,654,588,430,439,314
37,318,270,452,641,571,428,437,310
38,321,275,462,658,605,444,459,330
39,322,272,458,646,582,445,443,326
40,318,272,459,654,609,458,467,337
41,321,271,458,649,586,461,444,337
42,333,289,474,682,625,491,478,357
43,325,278,467,662,594,485,450,352
44,338,288,476,683,628,500,474,363
45,329,280,465,662,595,490,453,356
46,335,288,477,678,611,495,465,364
47,333,280,467,666,597,496,459,354
48,331,285,468,675,618,502,473,362
49,324,278,468,664,599,496,458,362
50,330,295,475,696,632,534,483,386
51,337,283,467,675,611,523,463,378
52,336,295,478,699,605,527,461,378
53,325,285,471,677,608,525,464,378
54,333,285,479,682,619,529,464,385
55,334,284,468,674,614,534,470,386
