Step,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
0,256,256,256,256,256,256,256,256,256,256,256,256
1,256,256,256,256,256,256,256,256,256,256,256,256
2,276,268,261,284,281,284,281,273,273,268,250,273
3,276,268,261,284,281,284,281,273,273,268,250,273
4,309,276,261,315,278,292,284,271,290,279,255,276
5,309,276,261,315,278,292,284,271,290,279,255,276
6,318,279,268,337,309,301,318,287,304,293,268,279
7,318,279,268,337,309,301,318,287,304,293,268,279
8,325,299,282,364,306,337,334,298,329,296,282,273
9,325,299,282,364,306,337,334,298,329,296,282,273
10,354,302,293,375,333,371,337,316,349,320,282,287
11,354,302,293,375,333,371,337,316,349,320,282,287
12,382,323,296,382,360,408,374,335,366,345,299,293
13,382,323,296,382,360,408,374,335,366,345,299,293
14,425,316,317,425,367,433,419,359,399,366,302,305
15,425,316,317,382,367,433,419,359,399,366,302,305
16,425,329,320,428,397,467,419,373,399,410,296,326
17,425,329,320,382,397,467,419,373,399,410,296,326
18,454,329,323,394,409,523,440,377,435,439,296,329
19,425,329,323,382,397,523,440,377,435,439,296,329
20,412,352,327,386,444,534,467,392,435,443,307,349
21,425,329,323,382,397,523,467,392,435,443,307,349
22,446,336,317,405,440,560,472,412,461,452,314,349
23,425,329,317,382,397,523,472,412,461,452,314,349
24,446,352,310,382,437,529,505,412,516,479,320,366
25,425,352,310,382,437,529,505,412,516,479,320,366
26,416,370,304,409,471,544,560,436,527,532,333,377
27,425,352,310,382,437,529,560,436,527,532,333,377
28,412,377,310,379,480,555,583,450,590,532,346,396
29,425,352,310,382,437,529,583,450,590,532,346,396
30,425,359,329,371,463,592,583,472,637,591,339,392
31,425,352,329,382,437,592,583,472,637,591,339,392
32,408,370,336,363,432,651,594,477,695,596,356,408
33,425,352,336,382,437,651,594,477,695,596,356,408
34,429,366,346,375,450,658,588,482,688,620,363,400
35,425,352,336,382,437,651,588,482,688,620,363,400
36,412,349,353,394,471,677,635,472,729,676,385,396
37,425,352,353,382,437,651,588,472,729,676,385,396
38,408,373,345,375,458,658,618,505,765,751,408,420
39,425,352,353,382,437,651,588,505,765,676,408,420
40,412,363,353,375,437,645,624,515,834,737,404,428
41,425,352,353,382,437,651,588,515,834,676,404,428
42,437,377,370,363,432,710,635,525,935,757,408,449
43,425,352,370,382,437,651,588,525,935,676,408,449
44,433,363,374,382,437,703,659,552,953,703,428,449
45,425,352,370,382,437,651,588,525,953,676,428,449
46,437,345,389,390,454,671,600,531,953,703,450,445
47,425,352,370,382,437,651,588,525,953,676,450,445
48,412,363,366,379,454,677,618,541,963,724,441,445
