Step,Power[cd],Power[W]
0,0,0
1,3072.0,106.6272
2,3279.3600000000006,112.16130000000003
3,3279.3600000000006,112.16130000000003
4,3392.5888,114.28980000000004
5,3392.5888,114.28980000000004
6,3568.4643840000003,119.82390000000001
7,3568.4643840000003,119.82390000000001
8,3730.54298368,126.63510000000001
9,3730.54298368,126.63510000000001
10,3924.8280393983996,133.0206
11,3924.8280393983996,133.0206
12,4170.56765404032,140.6832
13,4170.56765404032,140.6832
14,4437.803281408465,149.19720000000004
15,4395.6798698106,149.19720000000004
16,4595.22688437189,155.58270000000002
17,4549.274071719674,155.58270000000002
18,4754.455994043814,159.83970000000002
19,4701.292208088988,159.83970000000002
20,4854.396079658608,163.67100000000002
21,4778.86210349631,163.67100000000002
22,4969.038288265736,167.07659999999998
23,4837.846505603571,167.07659999999998
24,5060.124193451524,170.48220000000003
25,5038.869131433656,170.48220000000003
26,5286.64172550166,177.7191
27,5206.0926495722815,177.7191
28,5415.374931087346,182.40179999999998
29,5337.118779115316,182.40179999999998
30,5558.469318908665,187.0845
31,5536.684219129882,187.0845
32,5692.026488808627,190.4901
33,5714.916129345056,190.4901
34,5770.0379440067345,194.3214
35,5729.625877553218,194.3214
36,5955.122355393802,199.00410000000005
37,5851.771006564115,199.00410000000005
38,6089.905034918459,204.11249999999998
39,5968.223723294336,204.11249999999998
40,6131.471324858997,206.241
41,6051.58928372937,206.241
42,6406.106869742857,215.1807
43,6205.21324005213,215.1807
44,6443.301336373004,216.0321
45,6244.339781727167,216.0321
46,6374.317491218372,213.4779
47,6261.286019209483,213.4779
48,6388.2491952610135,214.32930000000005
49,6258.110139058884,214.32930000000005
50,6568.630189389266,220.28910000000002
51,6419.222335705281,220.28910000000002
52,6504.637595216395,218.16060000000004
53,6419.222335705281,218.16060000000004
54,6495.360362503334,217.73490000000004
55,6490.506774701324,217.73490000000004
56,6810.2075920463185,227.526
57,6668.219638974174,227.526
58,6942.092247927785,232.63440000000003
59,6772.242567311472,232.63440000000003
60,6842.994168873749,229.6545
61,6782.865353241219,229.6545
62,7038.720702256332,236.4657
63,6820.788699010412,236.4657
64,6875.035666457262,230.5059
65,6814.991844728549,230.5059
66,6973.497384544278,233.4858
67,6855.164044901855,233.4858
68,6969.142608955686,233.91150000000005
69,6855.164044901855,233.91150000000005
70,7063.258002552227,236.4657
71,6892.007691346516,236.4657
72,6967.140055499279,233.06009999999998
73,6892.007691346516,233.06009999999998
74,7040.112519325728,236.04000000000002
75,6918.0438681674095,236.04000000000002
76,7099.757668905849,238.59419999999997
77,6958.660304008004,238.59419999999997
78,7058.840156712935,237.3171
79,7001.713725999033,237.3171
80,7220.549493223294,241.99980000000002
81,7054.9564578612735,241.99980000000002
82,7124.097176970792,238.5942
83,7054.9564578612735,238.5942
84,7222.710834188248,241.99980000000005
85,7103.787649083499,241.99980000000005
86,7146.695562665825,239.8713
87,7112.414492866092,239.8713
88,7198.037308994361,241.14840000000004
89,7112.414492866092,241.14840000000004
90,7321.372968667447,245.40540000000007
91,7155.980053968187,245.40540000000007
92,7292.456878855711,244.9797
93,7155.980053968187,244.9797
94,7382.5566013532025,247.10820000000004
95,7210.872660956828,247.10820000000004
96,7207.392139554957,241.57410000000002
97,7164.158914526874,241.57410000000002
98,7382.009061278825,247.10819999999998
99,7202.94969013218,247.10819999999998
100,7235.2890399643275,242.85119999999998
101,7171.286298120962,242.85119999999998
102,7300.747858689694,245.40540000000001
103,7171.286298120962,245.40540000000001
104,7322.233984202183,245.4054
105,7201.5431030931,245.4054
106,7292.25763364167,243.7026
107,7292.25763364167,243.7026
108,7310.802400992588,245.8311
109,7286.635347461575,245.8311
110,7364.367715799442,247.53390000000002
111,7319.587149633416,247.53390000000002
112,7332.330690696396,245.83110000000002
113,7316.909815139929,245.83110000000002
114,7521.749411633366,252.21660000000003
115,7358.8386078582935,252.21660000000003
116,7527.570754834899,252.64229999999998
117,7358.8386078582935,252.64229999999998
118,7449.82683744301,250.5138
119,7358.8386078582935,250.5138
120,7478.553191300578,250.9395
121,7358.8386078582935,250.9395
122,7595.772342839611,254.7708
123,7358.8386078582935,254.7708
124,7396.451032108139,247.53390000000002
125,7346.038607858293,247.53390000000002
126,7465.768282569667,250.51380000000003
127,7358.8386078582935,250.51380000000003
128,7460.482744939802,250.08810000000003
129,7358.8386078582935,250.08810000000003
130,7451.774320130504,250.08810000000005
131,7346.038607858293,250.08810000000005
132,7533.55006400668,253.068
133,7346.038607858293,253.068
134,7374.519365016748,247.9596
135,7355.094293854453,247.9596
136,7442.221592786465,249.23670000000004
137,7355.094293854453,249.23670000000004
138,7481.623633264521,251.36520000000002
