Step,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
0,20,20,20,20,20,20,20,20,20,20,20,20
1,20,20,20,20,20,20,20,20,20,20,20,20
2,21,21,20,22,22,22,22,21,21,21,19,21
3,21,21,20,22,22,22,22,21,21,21,19,21
4,24,21,20,24,21,22,22,21,22,21,19,21
5,24,21,20,24,21,22,22,21,22,21,19,21
6,24,21,21,26,24,23,24,22,23,22,20,21
7,24,21,21,26,24,23,24,22,23,22,20,21
8,25,23,22,28,23,26,26,23,25,23,22,21
9,25,23,22,28,23,26,26,23,25,23,22,21
10,27,23,22,29,26,29,26,24,27,25,22,22
11,27,23,22,29,26,29,26,24,27,25,22,22
12,29,25,23,29,28,31,29,26,28,27,23,22
13,29,25,23,29,28,31,29,26,28,27,23,22
14,33,24,24,33,28,33,32,28,31,28,23,23
15,33,24,24,33,28,33,32,28,31,28,23,23
16,33,25,25,33,31,36,32,29,31,32,23,25
17,33,25,25,33,31,36,32,29,31,32,23,25
18,35,25,25,30,31,40,34,29,34,34,23,25
19,35,25,25,30,31,40,34,29,34,34,23,25
20,32,27,25,30,34,41,36,30,34,34,24,27
21,32,27,25,30,34,41,36,30,34,34,24,27
22,34,26,24,31,34,43,36,32,36,35,24,27
23,34,26,24,31,34,43,36,32,36,35,24,27
24,34,27,24,29,34,41,39,32,40,37,25,28
25,34,27,24,29,34,41,39,32,40,37,25,28
26,32,28,23,32,36,42,43,34,41,41,26,29
27,32,28,23,32,36,42,43,34,41,41,26,29
28,32,29,24,29,37,43,45,35,46,41,27,30
29,32,29,24,29,37,43,45,35,46,41,27,30
30,33,28,25,29,36,46,45,36,49,46,26,30
31,33,28,25,29,36,46,45,36,49,46,26,30
32,31,28,26,28,33,50,46,37,54,46,27,31
33,31,28,26,28,33,50,46,37,54,46,27,31
34,33,28,27,29,35,51,46,37,53,48,28,31
35,33,28,27,29,35,51,46,37,53,48,28,31
36,32,27,27,30,36,52,49,36,56,52,30,30
37,32,27,27,30,36,52,49,36,56,52,30,30
38,31,29,27,29,35,51,48,39,59,58,31,32
39,31,29,27,29,35,51,48,39,59,58,31,32
40,32,28,27,29,34,50,48,40,65,57,31,33
41,32,28,27,29,34,50,48,40,65,57,31,33
42,34,29,28,28,33,55,49,41,73,59,31,35
43,34,29,28,28,33,55,49,41,73,59,31,35
44,33,28,29,29,34,54,51,43,74,54,33,35
45,33,28,29,29,34,54,51,43,74,54,33,35
46,34,26,30,30,35,52,46,41,74,54,35,34
47,34,26,30,30,35,52,46,41,74,54,35,34
48,32,28,28,29,35,52,48,42,75,56,34,34
49,32,28,28,29,35,52,48,42,75,56,34,34
50,32,27,29,29,35,56,48,43,82,56,34,36
51,32,27,29,29,35,56,48,43,82,56,34,36
52,32,27,29,30,36,56,45,43,83,51,34,36
53,32,27,29,30,36,56,45,43,83,51,34,36
54,32,26,29,30,36,50,46,42,84,51,37,38
55,32,26,29,30,36,50,46,42,84,51,37,38
56,31,27,29,28,36,57,47,45,94,55,36,39
57,31,27,29,28,36,57,47,45,94,55,36,39
58,32,27,30,30,36,57,46,48,100,52,37,41
59,32,27,30,30,36,57,46,48,100,52,37,41
60,32,28,28,30,34,50,47,47,100,53,38,42
61,32,28,28,30,34,50,47,47,100,53,38,42
62,32,28,31,29,36,57,46,48,100,55,38,45
63,32,28,31,29,36,57,46,48,100,55,38,45
64,32,28,28,30,34,50,48,46,100,52,39,44
65,32,28,28,30,34,50,48,46,100,52,39,44
66,32,27,30,30,38,51,45,45,100,55,38,47
67,32,27,30,30,38,51,45,45,100,55,38,47
68,33,27,29,29,34,52,47,46,100,55,39,48
69,33,27,29,29,34,52,47,46,100,55,39,48
70,34,28,30,30,34,54,47,48,100,53,37,50
71,34,28,30,30,34,54,47,48,100,53,37,50
72,31,29,29,29,36,50,47,45,100,54,37,50
73,31,29,29,29,36,50,47,45,100,54,37,50
74,31,28,28,30,37,54,47,44,100,53,40,52
75,31,28,28,30,37,54,47,44,100,53,40,52
76,34,28,30,28,37,54,46,44,100,53,40,56
77,34,28,30,28,37,54,46,44,100,53,40,56
78,32,29,28,29,36,51,46,47,100,52,38,59
79,32,29,28,29,36,51,46,47,100,52,38,59
80,32,27,30,30,34,52,47,48,100,55,40,63
81,32,27,30,30,34,52,47,48,100,55,40,63
82,33,26,30,30,34,54,46,47,100,51,37,62
83,33,26,30,30,34,54,46,47,100,51,37,62
