Step,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
0,300,0,500,300,500,0,500,0,700,500,0,700
1,300,0,500,300,500,0,500,0,700,500,0,700
2,300,0,500,300,500,0,500,0,700,500,0,700
3,300,0,500,300,500,0,500,0,700,500,0,700
4,300,0,500,300,500,0,500,0,700,500,0,700
5,300,0,500,300,500,0,500,0,700,500,0,700
6,300,0,500,300,500,0,500,0,700,500,0,700
7,300,0,500,300,500,0,500,0,700,500,0,700
8,300,0,500,300,500,0,500,0,700,500,0,700
9,300,0,500,300,500,0,500,0,700,500,0,700
10,300,0,500,300,500,0,500,0,700,500,0,700
11,300,0,500,300,500,0,500,0,700,500,0,700
12,300,0,500,300,500,0,500,0,700,500,0,700
13,300,0,500,300,500,0,500,0,700,500,0,700
14,300,0,500,300,500,0,500,0,700,500,0,700
15,300,0,500,300,500,0,500,0,700,500,0,700
16,300,0,500,300,500,0,500,0,700,500,0,700
17,300,0,500,300,500,0,500,0,700,500,0,700
18,300,0,500,300,500,0,500,0,700,500,0,700
19,300,0,500,300,500,0,500,0,700,500,0,700
20,300,0,500,300,500,0,500,0,700,500,0,700
21,300,0,500,300,500,0,500,0,700,500,0,700
22,300,0,500,300,500,0,500,0,700,500,0,700
23,300,0,500,300,500,0,500,0,700,500,0,700
24,300,0,500,300,500,0,500,0,700,500,0,700
25,300,0,500,300,500,0,500,0,700,500,0,700
26,300,0,500,300,500,0,500,0,700,500,0,700
27,300,0,500,300,500,0,500,0,700,500,0,700
28,300,0,500,300,500,0,500,0,700,500,0,700
29,300,0,500,300,500,0,500,0,700,500,0,700
30,300,0,500,300,500,0,500,0,700,500,0,700
31,300,0,500,300,500,0,500,0,700,500,0,700
32,300,0,500,300,500,0,500,0,700,500,0,700
33,300,0,500,300,500,0,500,0,700,500,0,700
34,300,0,500,300,500,0,500,0,700,500,0,700
35,300,0,500,300,500,0,500,0,700,500,0,700
36,300,0,500,300,500,0,500,0,700,500,0,700
37,300,0,500,300,500,0,500,0,700,500,0,700
38,300,0,500,300,500,0,500,0,700,500,0,700
39,300,0,500,300,500,0,500,0,700,500,0,700
40,300,0,500,300,500,0,500,0,700,500,0,700
41,300,0,500,300,500,0,500,0,700,500,0,700
42,300,0,500,300,500,0,500,0,700,500,0,700
43,300,0,500,300,500,0,500,0,700,500,0,700
44,300,0,500,300,500,0,500,0,700,500,0,700
45,300,0,500,300,500,0,500,0,700,500,0,700
46,300,0,500,300,500,0,500,0,700,500,0,700
47,300,0,500,300,500,0,500,0,700,500,0,700
48,300,0,500,300,500,0,500,0,700,500,0,700
49,300,0,500,300,500,0,500,0,700,500,0,700
50,300,0,500,300,500,0,500,0,700,500,0,700
51,300,0,500,300,500,0,500,0,700,500,0,700
52,300,0,500,300,500,0,500,0,700,500,0,700
53,300,0,500,300,500,0,500,0,700,500,0,700
54,300,0,500,300,500,0,500,0,700,500,0,700
55,300,0,500,300,500,0,500,0,700,500,0,700
56,300,0,500,300,500,0,500,0,700,500,0,700
57,300,0,500,300,500,0,500,0,700,500,0,700
58,300,0,500,300,500,0,500,0,700,500,0,700
59,300,0,500,300,500,0,500,0,700,500,0,700
60,300,0,500,300,500,0,500,0,700,500,0,700
61,300,0,500,300,500,0,500,0,700,500,0,700
62,300,0,500,300,500,0,500,0,700,500,0,700
63,300,0,500,300,500,0,500,0,700,500,0,700
64,300,0,500,300,500,0,500,0,700,500,0,700
65,300,0,500,300,500,0,500,0,700,500,0,700
66,300,0,500,300,500,0,500,0,700,500,0,700
67,300,0,500,300,500,0,500,0,700,500,0,700
68,300,0,500,300,500,0,500,0,700,500,0,700
69,300,0,500,300,500,0,500,0,700,500,0,700
70,300,0,500,300,500,0,500,0,700,500,0,700
71,300,0,500,300,500,0,500,0,700,500,0,700
72,300,0,500,300,500,0,500,0,700,500,0,700
73,300,0,500,300,500,0,500,0,700,500,0,700
74,300,0,500,300,500,0,500,0,700,500,0,700
75,300,0,500,300,500,0,500,0,700,500,0,700
76,300,0,500,300,500,0,500,0,700,500,0,700
77,300,0,500,300,500,0,500,0,700,500,0,700
78,300,0,500,300,500,0,500,0,700,500,0,700
79,300,0,500,300,500,0,500,0,700,500,0,700
80,300,0,500,300,500,0,500,0,700,500,0,700
81,300,0,500,300,500,0,500,0,700,500,0,700
82,300,0,500,300,500,0,500,0,700,500,0,700
83,300,0,500,300,500,0,500,0,700,500,0,700
84,300,0,500,300,500,0,500,0,700,500,0,700
85,300,0,500,300,500,0,500,0,700,500,0,700
86,300,0,500,300,500,0,500,0,700,500,0,700
87,300,0,500,300,500,0,500,0,700,500,0,700
88,300,0,500,300,500,0,500,0,700,500,0,700
89,300,0,500,300,500,0,500,0,700,500,0,700
90,300,0,500,300,500,0,500,0,700,500,0,700
91,300,0,500,300,500,0,500,0,700,500,0,700
92,300,0,500,300,500,0,500,0,700,500,0,700
93,300,0,500,300,500,0,500,0,700,500,0,700
94,300,0,500,300,500,0,500,0,700,500,0,700
95,300,0,500,300,500,0,500,0,700,500,0,700
96,300,0,500,300,500,0,500,0,700,500,0,700
97,300,0,500,300,500,0,500,0,700,500,0,700
98,300,0,500,300,500,0,500,0,700,500,0,700
99,300,0,500,300,500,0,500,0,700,500,0,700
100,300,0,500,300,500,0,500,0,700,500,0,700
101,300,0,500,300,500,0,500,0,700,500,0,700
102,300,0,500,300,500,0,500,0,700,500,0,700
103,300,0,500,300,500,0,500,0,700,500,0,700
104,300,0,500,300,500,0,500,0,700,500,0,700
105,300,0,500,300,500,0,500,0,700,500,0,700
106,300,0,500,300,500,0,500,0,700,500,0,700
107,300,0,500,300,500,0,500,0,700,500,0,700
108,300,0,500,300,500,0,500,0,700,500,0,700
109,300,0,500,300,500,0,500,0,700,500,0,700
110,300,0,500,300,500,0,500,0,700,500,0,700
111,300,0,500,300,500,0,500,0,700,500,0,700
