Step,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
0,True,False,True,True,True,False,True,False,True,True,False,True
1,True,False,True,True,True,False,True,False,True,True,False,True
2,True,False,True,True,True,False,True,False,True,True,False,True
3,True,False,True,True,True,False,True,False,True,True,False,True
4,True,False,True,True,True,False,True,False,True,True,False,True
5,True,False,True,True,True,False,True,False,True,True,False,True
6,True,False,True,True,True,False,True,False,True,True,False,True
7,True,False,True,True,True,False,True,False,True,True,False,True
8,True,False,True,True,True,False,True,False,True,True,False,True
9,True,False,True,True,True,False,True,False,True,True,False,True
10,True,False,True,True,True,False,True,False,True,True,False,True
11,True,False,True,True,True,False,True,False,True,True,False,True
12,True,False,True,True,True,False,True,False,True,True,False,True
13,True,False,True,True,True,False,True,False,True,True,False,True
14,True,False,True,True,True,False,True,False,True,True,False,True
15,True,False,True,True,True,False,True,False,True,True,False,True
16,True,False,True,True,True,False,True,False,True,True,False,True
17,True,False,True,True,True,False,True,False,True,True,False,True
18,True,False,True,True,True,False,True,False,True,True,False,True
19,True,False,True,True,True,False,True,False,True,True,False,True
20,True,False,True,True,True,False,True,False,True,True,False,True
21,True,False,True,True,True,False,True,False,True,True,False,True
22,True,False,True,True,True,False,True,False,True,True,False,True
23,True,False,True,True,True,False,True,False,True,True,False,True
24,True,False,True,True,True,False,True,False,True,True,False,True
25,True,False,True,True,True,False,True,False,True,True,False,True
26,True,False,True,True,True,False,True,False,True,True,False,True
27,True,False,True,True,True,False,True,False,True,True,False,True
28,True,False,True,True,True,False,True,False,True,True,False,True
29,True,False,True,True,True,False,True,False,True,True,False,True
30,True,False,True,True,True,False,True,False,True,True,False,True
31,True,False,True,True,True,False,True,False,True,True,False,True
32,True,False,True,True,True,False,True,False,True,True,False,True
33,True,False,True,True,True,False,True,False,True,True,False,True
34,True,False,True,True,True,False,True,False,True,True,False,True
35,True,False,True,True,True,False,True,False,True,True,False,True
36,True,False,True,True,True,False,True,False,True,True,False,True
37,True,False,True,True,True,False,True,False,True,True,False,True
38,True,False,True,True,True,False,True,False,True,True,False,True
39,True,False,True,True,True,False,True,False,True,True,False,True
40,True,False,True,True,True,False,True,False,True,True,False,True
41,True,False,True,True,True,False,True,False,True,True,False,True
42,True,False,True,True,True,False,True,False,True,True,False,True
43,True,False,True,True,True,False,True,False,True,True,False,True
44,True,False,True,True,True,False,True,False,True,True,False,True
45,True,False,True,True,True,False,True,False,True,True,False,True
46,True,False,True,True,True,False,True,False,True,True,False,True
47,True,False,True,True,True,False,True,False,True,True,False,True
48,True,False,True,True,True,False,True,False,True,True,False,True
49,True,False,True,True,True,False,True,False,True,True,False,True
50,True,False,True,True,True,False,True,False,True,True,False,True
51,True,False,True,True,True,False,True,False,True,True,False,True
52,True,False,True,True,True,False,True,False,True,True,False,True
53,True,False,True,True,True,False,True,False,True,True,False,True
54,True,False,True,True,True,False,True,False,True,True,False,True
55,True,False,True,True,True,False,True,False,True,True,False,True
56,True,False,True,True,True,False,True,False,True,True,False,True
57,True,False,True,True,True,False,True,False,True,True,False,True
58,True,False,True,True,True,False,True,False,True,True,False,True
59,True,False,True,True,True,False,True,False,True,True,False,True
60,True,False,True,True,True,False,True,False,True,True,False,True
61,True,False,True,True,True,False,True,False,True,True,False,True
62,True,False,True,True,True,False,True,False,True,True,False,True
63,True,False,True,True,True,False,True,False,True,True,False,True
64,True,False,True,True,True,False,True,False,True,True,False,True
65,True,False,True,True,True,False,True,False,True,True,False,True
66,True,False,True,True,True,False,True,False,True,True,False,True
67,True,False,True,True,True,False,True,False,True,True,False,True
68,True,False,True,True,True,False,True,False,True,True,False,True
69,True,False,True,True,True,False,True,False,True,True,False,True
70,True,False,True,True,True,False,True,False,True,True,False,True
71,True,False,True,True,True,False,True,False,True,True,False,True
72,True,False,True,True,True,False,True,False,True,True,False,True
73,True,False,True,True,True,False,True,False,True,True,False,True
74,True,False,True,True,True,False,True,False,True,True,False,True
75,True,False,True,True,True,False,True,False,True,True,False,True
76,True,False,True,True,True,False,True,False,True,True,False,True
77,True,False,True,True,True,False,True,False,True,True,False,True
78,True,False,True,True,True,False,True,False,True,True,False,True
79,True,False,True,True,True,False,True,False,True,True,False,True
80,True,False,True,True,True,False,True,False,True,True,False,True
