Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,627771,3072,624699,887281,3072,884209,1374843,3072,1371771,696311,3072,693239,1067624,3072,1064552,1330449,3072,1327377,1408605,3072,1405533,1683201,3072,1680129,3044868,3072,3041796,1501861,3072,1498789,1811485,3072,1808413,3049123,3072,3046051
2,555076,3279,551796,799089,3279,795810,1274099,3279,1270819,611925,3279,608646,950754,3279,947475,1221800,3279,1218521,1273398,3279,1270118,1567111,3279,1563832,2882976,3279,2879697,1386434,3279,1383154,1703056,3279,1699777,2910350,3279,2907071
3,547770,3279,544491,789543,3279,786264,1257429,3279,1254150,606758,3279,603478,943310,3279,940031,1212351,3279,1209071,1277560,3279,1274280,1573150,3279,1569871,2897520,3279,2894241,1393863,3279,1390583,1710762,3279,1707483,2924347,3279,2921068
4,502986,3392,499594,745750,3392,742358,1220558,3392,1217165,563027,3392,559634,883991,3392,880598,1165963,3392,1162570,1200751,3392,1197358,1512132,3392,1508740,2823793,3392,2820400,1311308,3392,1307915,1647653,3392,1644260,2862067,3392,2858675
5,515096,3392,511704,757771,3392,754378,1230201,3392,1226808,574494,3392,571101,900396,3392,897003,1178408,3392,1175016,1220585,3392,1217192,1523721,3392,1520329,2832422,3392,2829029,1331013,3392,1327620,1657332,3392,1653939,2859948,3392,2856555
6,458193,3568,454624,685947,3568,682378,1147454,3568,1143885,508229,3568,504660,804448,3568,800879,1090484,3568,1086916,1083046,3568,1079478,1416022,3568,1412454,2697802,3568,2694233,1210751,3568,1207183,1552248,3568,1548679,2732199,3568,2728631
7,454871,3568,451303,684565,3568,680997,1142283,3568,1138715,507898,3568,504330,805037,3568,801468,1085749,3568,1082180,1079157,3568,1075589,1406443,3568,1402875,2673133,3568,2669564,1197065,3568,1193497,1539786,3568,1536218,2715794,3568,2712226
8,418136,3730,414406,631642,3730,627912,1072906,3730,1069176,465298,3730,461567,735685,3730,731954,1014987,3730,1011257,994557,3730,990827,1332005,3730,1328274,2567778,3730,2564047,1114704,3730,1110974,1465717,3730,1461986,2624398,3730,2620667
9,419944,3730,416213,630702,3730,626971,1063745,3730,1060014,468040,3730,464309,737742,3730,734011,1010606,3730,1006875,1005069,3730,1001338,1334701,3730,1330971,2562487,3730,2558756,1123349,3730,1119618,1467765,3730,1464034,2618953,3730,2615223
